User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
U_1,0.519650655021834,0.05,0,0,Greedy,"[0.8333333333333334, 0.28225806451612906, 0.7272727272727273]"
U_1,0.6056338028169014,0.1,0,0,Greedy,"[0.8, 0.675, 0.0]"
U_1,0.6984126984126984,0.2,0,0,Greedy,"[0.7894736842105263, 0.6857142857142857, 0.5555555555555556]"
U_1,0.6909090909090909,0.3,0,0,Greedy,"[0.7894736842105263, 0.6666666666666666, 0.5]"
U_1,0.6808510638297872,0.4,0,0,Greedy,"[0.8125, 0.64, 0.5]"
U_1,0.6923076923076923,0.5,0,0,Greedy,"[0.8125, 0.65, 0.3333333333333333]"
U_1,0.7096774193548387,0.6,0,0,Greedy,"[0.8571428571428571, 0.6428571428571429, 0.3333333333333333]"
U_1,0.7391304347826086,0.7,0,0,Greedy,"[0.8333333333333334, 0.6666666666666666, 0.5]"
U_1,0.7333333333333333,0.8,0,0,Greedy,"[0.875, 0.6666666666666666, 0.0]"
U_1,0.7142857142857143,0.9,0,0,Greedy,"[0.75, 0.6666666666666666, 0]"
U_10,0.806,0.05,0,0,Greedy,"[0.8214285714285714, 0.7355769230769231, 0.8777777777777778]"
U_10,0.37579617834394907,0.1,0,0,Greedy,"[0.19444444444444445, 0.7301587301587301, 0.10344827586206896]"
U_10,0.6474820143884892,0.2,0,0,Greedy,"[0.19444444444444445, 0.6862745098039216, 0.9230769230769231]"
U_10,0.639344262295082,0.3,0,0,Greedy,"[0.15151515151515152, 0.6842105263157895, 0.9215686274509803]"
U_10,0.6057692307692307,0.4,0,0,Greedy,"[0.15625, 0.6857142857142857, 0.918918918918919]"
U_10,0.813953488372093,0.5,0,0,Greedy,"[0.8260869565217391, 0.6666666666666666, 0.9166666666666666]"
U_10,0.8260869565217391,0.6,0,0,Greedy,"[0.8235294117647058, 0.6666666666666666, 0.9354838709677419]"
U_10,0.8823529411764706,0.7,0,0,Greedy,"[0.8571428571428571, 0.6666666666666666, 0.9642857142857143]"
U_10,0.8823529411764706,0.8,0,0,Greedy,"[0.5, 0.6, 0.9629629629629629]"
U_10,0.75,0.9,0,0,Greedy,"[0.5, 0.6, 0.8888888888888888]"
U_11,0.5480769230769231,0.05,0,0,Greedy,"[0.6666666666666666, 0.8913043478260869, 0.0]"
U_11,0.03125,0.1,0,0,Greedy,"[0.0, 0.07142857142857142, 0.0]"
U_11,0.07142857142857142,0.2,0,0,Greedy,"[0.25, 0.07142857142857142, 0.0]"
U_11,0.041666666666666664,0.3,0,0,Greedy,"[0.5, 0.0, 0.0]"
U_11,0.47619047619047616,0.4,0,0,Greedy,"[0, 0.9090909090909091, 0.0]"
U_11,0.35294117647058826,0.5,0,0,Greedy,"[0, 0.8571428571428571, 0.0]"
U_11,0.15384615384615385,0.6,0,0,Greedy,"[0, 0.6666666666666666, 0.0]"
U_11,0.0,0.7,0,0,Greedy,"[0, 0, 0.0]"
U_11,1.0,0.8,0,0,Greedy,"[0, 0, 1.0]"
U_11,1.0,0.9,0,0,Greedy,"[0, 0, 1.0]"
U_12,0.5627906976744186,0.05,0,0,Greedy,"[0.22807017543859648, 0.7608695652173914, 0.15]"
U_12,0.19402985074626866,0.1,0,0,Greedy,"[0.7857142857142857, 0.0, 0.3333333333333333]"
U_12,0.7288135593220338,0.2,0,0,Greedy,"[0.7692307692307693, 0.7804878048780488, 0.2]"
U_12,0.7307692307692307,0.3,0,0,Greedy,"[0.7272727272727273, 0.7837837837837838, 0.25]"
U_12,0.7045454545454546,0.4,0,0,Greedy,"[0.7777777777777778, 0.7419354838709677, 0.25]"
U_12,0.7222222222222222,0.5,0,0,Greedy,"[0.7777777777777778, 0.75, 0.3333333333333333]"
U_12,0.7241379310344828,0.6,0,0,Greedy,"[0.75, 0.7727272727272727, 0.3333333333333333]"
