User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
U_1,0.22666666666666666,0.05,0,0,Greedy,"[0.7727272727272727, 0.0, 0.0]",0.0
U_1,0.6056338028169014,0.1,0,0,Greedy,"[0.8, 0.675, 0.0]",0.0
U_1,0.42857142857142855,0.2,0,0,Greedy,"[0.7894736842105263, 0.2, 0.5555555555555556]",0.0
U_1,0.43636363636363634,0.3,0,0,Greedy,"[0.7894736842105263, 0.2, 0.5]",0.0
U_1,0.6808510638297872,0.4,0,0,Greedy,"[0.8125, 0.64, 0.5]",0.0
U_1,0.6923076923076923,0.5,0,0,Greedy,"[0.8125, 0.65, 0.3333333333333333]",0.0
U_1,0.7096774193548387,0.6,0,0,Greedy,"[0.8571428571428571, 0.6428571428571429, 0.3333333333333333]",0.0
U_1,0.7391304347826086,0.7,0,0,Greedy,"[0.8333333333333334, 0.6666666666666666, 0.5]",0.0
U_1,0.8,0.8,0,0,Greedy,"[0.875, 0.6666666666666666, 1.0]",0.0
U_1,0.7142857142857143,0.9,0,0,Greedy,"[0.75, 0.6666666666666666, 0]",0.0
U_10,0.4879518072289157,0.05,0,0,Greedy,"[0.8055555555555556, 0.7428571428571429, 0.0]",0.0
U_10,0.8089171974522293,0.1,0,0,Greedy,"[0.8055555555555556, 0.7301587301587301, 0.896551724137931]",0.0
U_10,0.8057553956834532,0.2,0,0,Greedy,"[0.8055555555555556, 0.6862745098039216, 0.9230769230769231]",0.0
U_10,0.8278688524590164,0.3,0,0,Greedy,"[0.8484848484848485, 0.6842105263157895, 0.9215686274509803]",0.0
U_10,0.8173076923076923,0.4,0,0,Greedy,"[0.84375, 0.6857142857142857, 0.918918918918919]",0.0
U_10,0.813953488372093,0.5,0,0,Greedy,"[0.8260869565217391, 0.6666666666666666, 0.9166666666666666]",0.0
U_10,0.8260869565217391,0.6,0,0,Greedy,"[0.8235294117647058, 0.6666666666666666, 0.9354838709677419]",0.0
U_10,0.8823529411764706,0.7,0,0,Greedy,"[0.8571428571428571, 0.6666666666666666, 0.9642857142857143]",0.0
U_10,0.8823529411764706,0.8,0,0,Greedy,"[0.5, 0.6, 0.9629629629629629]",0.0
U_10,0.75,0.9,0,0,Greedy,"[0.5, 0.6, 0.8888888888888888]",0.0
U_11,0.0,0.05,0,0,Greedy,"[0.0, 0.0, 0.0]",0.0
U_11,0.21875,0.1,0,0,Greedy,"[0.75, 0.07142857142857142, 0.0]",0.0
U_11,0.07142857142857142,0.2,0,0,Greedy,"[0.25, 0.07142857142857142, 0.0]",0.0
U_11,0.041666666666666664,0.3,0,0,Greedy,"[0.5, 0.0, 0.0]",0.0
U_11,0.0,0.4,0,0,Greedy,"[0, 0.0, 0.0]",0.0
U_11,0.35294117647058826,0.5,0,0,Greedy,"[0, 0.8571428571428571, 0.0]",0.0
U_11,0.15384615384615385,0.6,0,0,Greedy,"[0, 0.6666666666666666, 0.0]",0.0
U_11,0.0,0.7,0,0,Greedy,"[0, 0, 0.0]",0.0
U_11,1.0,0.8,0,0,Greedy,"[0, 0, 1.0]",0.0
U_11,1.0,0.9,0,0,Greedy,"[0, 0, 1.0]",0.0
U_12,0.15492957746478872,0.05,0,0,Greedy,"[0.6470588235294118, 0.0, 0.0]",0.0
U_12,0.22388059701492538,0.1,0,0,Greedy,"[0.7857142857142857, 0.0, 0.6666666666666666]",0.0
