Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro1_bcf_p2,0.05,0.0001,0.1,,0.38461538461538464,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.1,0.0001,0.5,,0.36,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.2,0.01,0.5,,0.18181818181818182,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.3,0.01,0.05,,0.6842105263157895,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.4,0.001,0.2,,0.7647058823529411,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.5,0.001,0.2,,0.6428571428571429,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.6,0.001,0.1,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.7,0.01,0.2,,0.5555555555555556,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.8,0.001,0.05,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro1_bcf_p2,0.9,0.01,0.8,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.05,0.0001,0.2,,0.35714285714285715,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.1,0.0001,0.9,,0.37037037037037035,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.2,0.01,0.99,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.3,0.0001,0.9,,0.3333333333333333,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.4,1.0,0.9,,0.5,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.5,0.01,0.8,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.6,0.001,0.5,,0.75,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.7,0.01,0.05,,0.5555555555555556,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.8,0.01,0.8,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro26_bde_p2,0.9,0.01,0.05,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.05,0.0001,0.2,,0.41935483870967744,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.1,0.0001,0.8,,0.4482758620689655,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.2,0.01,0.1,,0.7692307692307693,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.3,0.001,0.2,,0.6956521739130435,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.4,0.001,0.5,,0.7,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.5,0.001,0.1,,0.75,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.6,0.0001,0.05,,0.5384615384615384,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.7,0.01,0.5,,0.9,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.8,0.1,0.1,,1.0,"[None, None, None]",0
Reinforce,pro16_bce_p2,0.9,0.001,0.2,,1.0,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.05,0.0001,0.9,,0.3055555555555556,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.1,0.01,0.9,,0.14705882352941177,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.2,0.0001,0.05,,0.3,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.3,0.001,0.1,,0.3076923076923077,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.4,0.001,0.05,,0.391304347826087,"[None, None, None]",0
Reinforce,pro28_bce_p2,0.5,0.001,0.8,,0.42105263157894735,"[None, None, None]",0
