Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro1_bcf_p4,0.05,0.001,0.8,0,0.41935483870967744,0,1.0053475935828877,0.7
QLearn,pro1_bcf_p4,0.1,0.01,0.1,0,0.5454545454545454,0,1.0056497175141241,0.5
QLearn,pro1_bcf_p4,0.2,0.001,0.8,0,0.6923076923076923,0,1.0063694267515921,0.1
QLearn,pro1_bcf_p4,0.3,0.001,0.99,0,0.7352941176470589,0,1.0072992700729926,0.1
QLearn,pro1_bcf_p4,0.4,0.5,0.05,0,0.7457627118644068,0,1.0084033613445378,0.01
QLearn,pro1_bcf_p4,0.5,0.5,0.5,0,0.7755102040816326,0,1.0101010101010102,0.1
QLearn,pro1_bcf_p4,0.6,1.0,0.1,0,0.8205128205128205,0,1.0126582278481016,0.05
QLearn,pro1_bcf_p4,0.7,0.5,0.05,0,0.8333333333333334,0,1.0163934426229517,0.05
QLearn,pro1_bcf_p4,0.8,0.5,0.05,0,0.8,0,1.0243902439024388,0.05
QLearn,pro1_bcf_p4,0.9,0.5,0.1,0,0.7,0,1.0476190476190477,0.05
QLearn,pro16_bce_p4,0.05,0.0001,0.99,0,0.6764705882352942,0,1.004878048780488,0.01
QLearn,pro16_bce_p4,0.1,0.0001,0.05,0,0.6597938144329897,0,1.005128205128205,0.01
QLearn,pro16_bce_p4,0.2,0.0001,0.05,0,0.5813953488372093,0,1.0057803468208093,0.01
QLearn,pro16_bce_p4,0.3,0.0001,0.99,0,0.4666666666666667,0,1.0066225165562914,0.05
QLearn,pro16_bce_p4,0.4,0.0001,0.99,0,0.46153846153846156,0,1.0076335877862594,0.05
QLearn,pro16_bce_p4,0.5,0.0001,0.2,0,0.5555555555555556,0,1.0091743119266057,0.01
QLearn,pro16_bce_p4,0.6,0.5,0.1,0,0.5116279069767442,0,1.011494252873563,0.1
QLearn,pro16_bce_p4,0.7,0.0001,0.2,0,0.42424242424242425,0,1.0149253731343282,0.1
QLearn,pro16_bce_p4,0.8,0.1,0.99,0,0.5909090909090909,0,1.022222222222222,0.05
QLearn,pro16_bce_p4,0.9,0.5,0.2,0,0.6363636363636364,0,1.0434782608695652,0.05
QLearn,pro27_bcf_p4,0.05,0.0001,0.1,0,0.42735042735042733,0,1.004255319148936,0.5
QLearn,pro27_bcf_p4,0.1,0.0001,0.99,0,0.44144144144144143,0,1.0044843049327359,0.1
QLearn,pro27_bcf_p4,0.2,0.0001,0.5,0,0.47474747474747475,0,1.0050251256281406,0.1
QLearn,pro27_bcf_p4,0.3,0.001,0.5,0,0.42528735632183906,0,1.0057142857142862,0.05
QLearn,pro27_bcf_p4,0.4,0.001,0.8,0,0.47297297297297297,0,1.0067114093959733,0.05
QLearn,pro27_bcf_p4,0.5,0.0001,0.2,0,0.41935483870967744,0,1.0080000000000005,0.05
QLearn,pro27_bcf_p4,0.6,0.5,0.05,0,0.46,0,1.0099009900990101,0.05
QLearn,pro27_bcf_p4,0.7,0.5,0.05,0,0.4594594594594595,0,1.0133333333333336,0.05
QLearn,pro27_bcf_p4,0.8,0.0001,0.5,0,0.44,0,1.0196078431372548,0.05
QLearn,pro27_bcf_p4,0.9,0.0001,0.2,0,0.5384615384615384,0,1.0370370370370368,0.05
QLearn,pro14_bdf_p4,0.05,0.0001,0.9,0,0.6287878787878788,0,1.0037735849056606,0.1
QLearn,pro14_bdf_p4,0.1,0.0001,0.1,0,0.648,0,1.00398406374502,0.05
QLearn,pro14_bdf_p4,0.2,0.0001,0.5,0,0.6306306306306306,0,1.0044843049327354,0.05
QLearn,pro14_bdf_p4,0.3,0.5,0.05,0,0.5360824742268041,0,1.005128205128205,0.1
QLearn,pro14_bdf_p4,0.4,0.01,0.1,0,0.5903614457831325,0,1.0059880239520957,0.1
QLearn,pro14_bdf_p4,0.5,0.001,0.05,0,0.5362318840579711,0,1.0071942446043163,0.05
QLearn,pro14_bdf_p4,0.6,0.5,0.2,0,0.5892857142857143,0,1.0088495575221241,0.1
QLearn,pro14_bdf_p4,0.7,0.0001,0.1,0,0.5238095238095238,0,1.0117647058823525,0.1
QLearn,pro14_bdf_p4,0.8,0.0001,0.8,0,0.42857142857142855,0,1.0175438596491229,0.05
QLearn,pro14_bdf_p4,0.9,0.5,0.1,0,0.5,0,1.0344827586206897,0.1
