User,Accuracy,Algorithm,StateAccuracy,GranularPredictions,Predictions,GroundTruth,Threshold
pro13_ace_p2,0.2692307692307692,Bayesian,,"defaultdict(None, {'modify-1': (7, 0.0), 'same': (15, 0.4666666666666667), 'modify-2': (2, 0.0), 'modify-3': (2, 0.0)})","['same', 'modify-3', 'same', 'same', 'modify-2', 'modify-2', 'same', 'modify-3', 'same', 'same', 'modify-3', 'modify-2', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same']","['modify-1', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.1
pro13_ace_p2,0.391304347826087,Bayesian,,"defaultdict(None, {'modify-1': (6, 0.16666666666666666), 'same': (13, 0.5384615384615384), 'modify-2': (2, 0.5), 'modify-3': (2, 0.0)})","['same', 'modify-3', 'same', 'same', 'modify-2', 'modify-2', 'same', 'modify-1', 'modify-2', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same']","['modify-1', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.2
pro13_ace_p2,0.25,Bayesian,,"defaultdict(None, {'modify-1': (4, 0.0), 'modify-2': (2, 0.0), 'same': (12, 0.4166666666666667), 'modify-3': (2, 0.0)})","['same', 'modify-2', 'modify-3', 'modify-1', 'same', 'modify-2', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'modify-3', 'same', 'modify-1', 'modify-3', 'same', 'same', 'same']","['modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.3
pro13_ace_p2,0.35294117647058826,Bayesian,,"defaultdict(None, {'modify-2': (1, 0.0), 'modify-1': (2, 0.0), 'same': (12, 0.5), 'modify-3': (2, 0.0)})","['same', 'modify-2', 'modify-2', 'modify-2', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'same', 'modify-3', 'same', 'same', 'same', 'same']","['modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.4
pro13_ace_p2,0.21428571428571427,Bayesian,,"defaultdict(None, {'modify-1': (1, 0.0), 'same': (11, 0.2727272727272727), 'modify-3': (2, 0.0)})","['modify-2', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-3', 'modify-3', 'modify-3', 'same', 'same']","['modify-1', 'same', 'same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.5
pro13_ace_p2,0.5,Bayesian,,"defaultdict(None, {'same': (10, 0.5), 'modify-3': (2, 0.5)})","['same', 'same', 'same', 'modify-3', 'modify-1', 'modify-3', 'modify-3', 'same', 'modify-1', 'modify-1', 'same', 'same']","['same', 'same', 'modify-3', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.6
pro13_ace_p2,0.7777777777777778,Bayesian,,"defaultdict(None, {'modify-3': (1, 1.0), 'same': (8, 0.75)})","['modify-3', 'modify-3', 'same', 'same', 'same', 'modify-3', 'same', 'same', 'same']","['modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']",0.7
pro13_ace_p2,0.8333333333333334,Bayesian,,"defaultdict(None, {'same': (6, 0.8333333333333334)})","['same', 'same', 'same', 'modify-3', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same']",0.8
pro13_ace_p2,0.6666666666666666,Bayesian,,"defaultdict(None, {'same': (3, 0.6666666666666666)})","['modify-3', 'same', 'same']","['same', 'same', 'same']",0.9
pro15_ade_p2,0.6444444444444445,Bayesian,,"defaultdict(None, {'modify-1': (6, 0.0), 'same': (31, 0.8709677419354839), 'modify-2': (7, 0.2857142857142857), 'modify-3': (1, 0.0)})","['same', 'modify-3', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-3', 'same', 'modify-2', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-3', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same']","['modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same']",0.1
pro15_ade_p2,0.65,Bayesian,,"defaultdict(None, {'same': (28, 0.8928571428571429), 'modify-2': (7, 0.14285714285714285), 'modify-1': (4, 0.0), 'modify-3': (1, 0.0)})","['same', 'same', 'same', 'same', 'same', 'modify-3', 'same', 'modify-2', 'same', 'modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same']",0.2
pro15_ade_p2,0.6571428571428571,Bayesian,,"defaultdict(None, {'modify-2': (6, 0.5), 'same': (24, 0.8333333333333334), 'modify-1': (4, 0.0), 'modify-3': (1, 0.0)})","['modify-2', 'modify-2', 'modify-2', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-3', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same']","['modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-2', 'modify-3', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same']",0.3
