Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro24_adf_p3,0.05,0.01,0.8,,0.5,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.1,0.0001,0.1,,0.3,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.2,0.01,0.05,,0.3870967741935484,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.3,0.01,0.2,,0.4074074074074074,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.4,0.01,0.5,,0.6595744680851063,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.5,0.01,0.1,,0.5128205128205128,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.6,0.01,0.5,,0.6774193548387096,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.7,0.01,0.5,,0.2916666666666667,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.8,0.01,0.2,,0.8125,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.9,0.01,0.05,,0.75,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.05,0.01,0.05,,0.43137254901960786,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.1,0.01,0.1,,0.422680412371134,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.2,0.01,0.05,,0.4069767441860465,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.3,0.01,0.05,,0.3466666666666667,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.4,0.01,0.05,,0.5846153846153846,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.5,0.01,0.2,,0.6481481481481481,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.6,0.01,0.1,,0.6046511627906976,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.7,0.1,0.1,,0.5454545454545454,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.8,0.1,0.1,,0.7272727272727273,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.9,0.01,0.1,,0.8181818181818182,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.05,0.1,0.1,,0.4583333333333333,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.1,0.01,0.05,,0.6929824561403509,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.2,0.01,0.2,,0.7128712871287128,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.3,0.01,0.05,,0.7415730337078652,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.4,0.01,0.05,,0.47368421052631576,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.5,0.01,0.05,,0.7301587301587301,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.6,0.01,0.2,,0.7450980392156863,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.7,0.01,0.05,,0.7105263157894737,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.8,0.1,0.05,,0.6923076923076923,"[None, None, None]",0
Reinforce,pro25_acf_p3,0.9,0.01,0.05,,0.7692307692307693,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.05,0.01,0.5,,0.43103448275862066,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.1,0.01,0.05,,0.44545454545454544,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.2,0.01,0.05,,0.37755102040816324,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.3,0.01,0.2,,0.3488372093023256,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.4,0.01,0.05,,0.43243243243243246,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.5,0.01,0.2,,0.4262295081967213,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.6,0.01,0.05,,0.40816326530612246,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.7,0.01,0.05,,0.35135135135135137,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.8,0.01,0.2,,0.56,"[None, None, None]",0
Reinforce,pro18_adf_p3,0.9,0.01,0.1,,0.7692307692307693,"[None, None, None]",0
Reinforce,pro13_ace_p3,0.05,0.01,0.05,,0.639344262295082,"[None, None, None]",0
Reinforce,pro13_ace_p3,0.1,0.01,0.1,,0.6379310344827587,"[None, None, None]",0
Reinforce,pro13_ace_p3,0.2,0.01,0.05,,0.6310679611650486,"[None, None, None]",0
Reinforce,pro13_ace_p3,0.3,0.01,0.8,,0.6111111111111112,"[None, None, None]",0
Reinforce,pro13_ace_p3,0.4,0.01,0.05,,0.5974025974025974,"[None, None, None]",0
