User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
U_1,0.4666666666666667,0.05,0,0,Momentum,"[0.6666666666666666, 0.4186046511627907, 0.2727272727272727]",0.0
U_1,0.5352112676056338,0.1,0,0,Momentum,"[0.65, 0.525, 0.36363636363636365]",0.0
U_1,0.4603174603174603,0.2,0,0,Momentum,"[0.42105263157894735, 0.5142857142857142, 0.3333333333333333]",0.0
U_1,0.4727272727272727,0.3,0,0,Momentum,"[0.47368421052631576, 0.4666666666666667, 0.5]",0.0
U_1,0.5106382978723404,0.4,0,0,Momentum,"[0.625, 0.48, 0.3333333333333333]",0.0
U_1,0.4358974358974359,0.5,0,0,Momentum,"[0.5625, 0.35, 0.3333333333333333]",0.0
U_1,0.4838709677419355,0.6,0,0,Momentum,"[0.6428571428571429, 0.35714285714285715, 0.3333333333333333]",0.0
U_1,0.5652173913043478,0.7,0,0,Momentum,"[0.6363636363636364, 0.5, 0.5]",0.0
U_1,0.6,0.8,0,0,Momentum,"[0.75, 0.42857142857142855, 0]",0.0
U_1,0.42857142857142855,0.9,0,0,Momentum,"[0.6666666666666666, 0.25, 0]",0.0
U_10,0.5602409638554217,0.05,0,0,Momentum,"[0.5277777777777778, 0.4927536231884058, 0.6557377049180327]",0.0
U_10,0.5859872611464968,0.1,0,0,Momentum,"[0.6388888888888888, 0.46774193548387094, 0.6779661016949152]",0.0
U_10,0.6115107913669064,0.2,0,0,Momentum,"[0.5277777777777778, 0.48, 0.7924528301886793]",0.0
U_10,0.5901639344262295,0.3,0,0,Momentum,"[0.6875, 0.3684210526315789, 0.6923076923076923]",0.0
U_10,0.5769230769230769,0.4,0,0,Momentum,"[0.5625, 0.42857142857142855, 0.7297297297297297]",0.0
U_10,0.6627906976744186,0.5,0,0,Momentum,"[0.7391304347826086, 0.46153846153846156, 0.7567567567567568]",0.0
U_10,0.6376811594202898,0.6,0,0,Momentum,"[0.5294117647058824, 0.38095238095238093, 0.8709677419354839]",0.0
U_10,0.7058823529411765,0.7,0,0,Momentum,"[0.5714285714285714, 0.375, 0.8620689655172413]",0.0
U_10,0.7352941176470589,0.8,0,0,Momentum,"[0.0, 0.2, 0.8888888888888888]",0.0
U_10,0.4375,0.9,0,0,Momentum,"[0.0, 0.2, 0.6666666666666666]",0.0
U_11,0.7058823529411765,0.05,0,0,Momentum,"[0.5, 0.6666666666666666, 0.9090909090909091]",0.0
U_11,0.65625,0.1,0,0,Momentum,"[0.42857142857142855, 0.6428571428571429, 0.8181818181818182]",0.0
U_11,0.7857142857142857,0.2,0,0,Momentum,"[0.5, 0.7692307692307693, 0.9090909090909091]",0.0
U_11,0.7083333333333334,0.3,0,0,Momentum,"[0.0, 0.75, 0.7272727272727273]",0.0
U_11,0.8571428571428571,0.4,0,0,Momentum,"[0, 0.9, 0.8181818181818182]",0.0
U_11,0.9411764705882353,0.5,0,0,Momentum,"[0, 0.8333333333333334, 1.0]",0.0
U_11,0.6153846153846154,0.6,0,0,Momentum,"[0, 0.5, 0.6363636363636364]",0.0
U_11,0.9,0.7,0,0,Momentum,"[0, 0, 0.9]",0.0
U_11,1.0,0.8,0,0,Momentum,"[0, 0, 1.0]",0.0
U_11,1.0,0.9,0,0,Momentum,"[0, 0, 1.0]",0.0
U_12,0.5774647887323944,0.05,0,0,Momentum,"[0.47058823529411764, 0.6170212765957447, 0.5714285714285714]",0.0
U_12,0.6119402985074627,0.1,0,0,Momentum,"[0.5714285714285714, 0.6595744680851063, 0.3333333333333333]",0.0
U_12,0.5254237288135594,0.2,0,0,Momentum,"[0.42857142857142855, 0.5853658536585366, 0.25]",0.0
U_12,0.5384615384615384,0.3,0,0,Momentum,"[0.36363636363636365, 0.6216216216216216, 0.25]",0.0
U_12,0.5681818181818182,0.4,0,0,Momentum,"[0.4, 0.6333333333333333, 0.5]",0.0
U_12,0.5,0.5,0,0,Momentum,"[0.5, 0.5652173913043478, 0.0]",0.0
