User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
U_1,0.3333333333333333,0.05,0,0,Naive,"[0.7142857142857143, 0.11627906976744186, 0.45454545454545453]"
U_1,0.6901408450704225,0.1,0,0,Naive,"[0.75, 0.725, 0.45454545454545453]"
U_1,0.5396825396825397,0.2,0,0,Naive,"[0.21052631578947367, 0.7142857142857143, 0.5555555555555556]"
U_1,0.7272727272727273,0.3,0,0,Naive,"[0.7894736842105263, 0.7, 0.6666666666666666]"
U_1,0.2553191489361702,0.4,0,0,Naive,"[0.1875, 0.2, 0.6666666666666666]"
U_1,0.20512820512820512,0.5,0,0,Naive,"[0.1875, 0.15, 0.6666666666666666]"
U_1,0.1935483870967742,0.6,0,0,Naive,"[0.14285714285714285, 0.14285714285714285, 0.6666666666666666]"
U_1,0.5217391304347826,0.7,0,0,Naive,"[0.8181818181818182, 0.2, 0.5]"
U_1,0.5333333333333333,0.8,0,0,Naive,"[0.875, 0.14285714285714285, 0]"
U_1,0.14285714285714285,0.9,0,0,Naive,"[0.3333333333333333, 0.0, 0]"
U_10,0.13855421686746988,0.05,0,0,Naive,"[0.19444444444444445, 0.10144927536231885, 0.14754098360655737]"
U_10,0.535031847133758,0.1,0,0,Naive,"[0.8055555555555556, 0.7580645161290323, 0.13559322033898305]"
U_10,0.5107913669064749,0.2,0,0,Naive,"[0.8055555555555556, 0.72, 0.11320754716981132]"
U_10,0.12295081967213115,0.3,0,0,Naive,"[0.15625, 0.13157894736842105, 0.09615384615384616]"
U_10,0.5384615384615384,0.4,0,0,Naive,"[0.84375, 0.7142857142857143, 0.10810810810810811]"
U_10,0.6395348837209303,0.5,0,0,Naive,"[0.17391304347826086, 0.6923076923076923, 0.8918918918918919]"
U_10,0.8260869565217391,0.6,0,0,Naive,"[0.8235294117647058, 0.7142857142857143, 0.9032258064516129]"
U_10,0.8235294117647058,0.7,0,0,Naive,"[0.8571428571428571, 0.25, 0.9655172413793104]"
U_10,0.8235294117647058,0.8,0,0,Naive,"[0.5, 0.2, 0.9629629629629629]"
U_10,0.1875,0.9,0,0,Naive,"[0.5, 0.2, 0.1111111111111111]"
U_11,0.08823529411764706,0.05,0,0,Naive,"[0.25, 0.06666666666666667, 0.0]"
U_11,0.1875,0.1,0,0,Naive,"[0.7142857142857143, 0.07142857142857142, 0.0]"
U_11,0.8214285714285714,0.2,0,0,Naive,"[0.25, 0.8461538461538461, 1.0]"
U_11,0.9166666666666666,0.3,0,0,Naive,"[0.0, 0.9166666666666666, 1.0]"
U_11,0.9523809523809523,0.4,0,0,Naive,"[0, 0.9, 1.0]"
U_11,0.058823529411764705,0.5,0,0,Naive,"[0, 0.16666666666666666, 0.0]"
U_11,0.9230769230769231,0.6,0,0,Naive,"[0, 0.5, 1.0]"
U_11,1.0,0.7,0,0,Naive,"[0, 0, 1.0]"
U_11,0.0,0.8,0,0,Naive,"[0, 0, 0.0]"
U_11,0.0,0.9,0,0,Naive,"[0, 0, 0.0]"
U_12,0.19718309859154928,0.05,0,0,Naive,"[0.29411764705882354, 0.0851063829787234, 0.7142857142857143]"
U_12,0.2835820895522388,0.1,0,0,Naive,"[0.7857142857142857, 0.0851063829787234, 0.6666666666666666]"
U_12,0.7796610169491526,0.2,0,0,Naive,"[0.7857142857142857, 0.8292682926829268, 0.25]"
U_12,0.2692307692307692,0.3,0,0,Naive,"[0.7272727272727273, 0.08108108108108109, 0.75]"
U_12,0.75,0.4,0,0,Naive,"[0.8, 0.8, 0.25]"
U_12,0.3055555555555556,0.5,0,0,Naive,"[0.8, 0.08695652173913043, 0.3333333333333333]"
U_12,0.6896551724137931,0.6,0,0,Naive,"[0.25, 0.8181818181818182, 0.3333333333333333]"
U_12,0.6190476190476191,0.7,0,0,Naive,"[0.25, 0.8, 0.0]"
U_12,0.2857142857142857,0.8,0,0,Naive,"[0.75, 0.1111111111111111, 0.0]"
U_12,0.3333333333333333,0.9,0,0,Naive,"[1.0, 0.25, 0.0]"
U_13,0.32727272727272727,0.05,0,0,Naive,"[0.5, 0.125, 0.6923076923076923]"
U_13,0.25,0.1,0,0,Naive,"[0.5, 0.16129032258064516, 0.2727272727272727]"
U_13,0.3695652173913043,0.2,0,0,Naive,"[0.5555555555555556, 0.15384615384615385, 0.7272727272727273]"
U_13,0.675,0.3,0,0,Naive,"[0.4, 0.7083333333333334, 0.7272727272727273]"
U_13,0.20588235294117646,0.4,0,0,Naive,"[0.4, 0.15, 0.2222222222222222]"
U_13,0.7142857142857143,0.5,0,0,Naive,"[0.6666666666666666, 0.6875, 0.7777777777777778]"
U_13,0.45454545454545453,0.6,0,0,Naive,"[0.6666666666666666, 0.16666666666666666, 0.8571428571428571]"
U_13,0.125,0.7,0,0,Naive,"[0.0, 0.125, 0.14285714285714285]"
U_13,0.3,0.8,0,0,Naive,"[1.0, 0.16666666666666666, 0.3333333333333333]"
U_13,0.25,0.9,0,0,Naive,"[0, 0.5, 0.0]"
U_14,0.18604651162790697,0.05,0,0,Naive,"[0.3, 0.13636363636363635, 0.18181818181818182]"
U_14,0.2682926829268293,0.1,0,0,Naive,"[0.75, 0.13636363636363635, 0.18181818181818182]"
U_14,0.3611111111111111,0.2,0,0,Naive,"[0.25, 0.11764705882352941, 0.8181818181818182]"
U_14,0.5161290322580645,0.3,0,0,Naive,"[0.75, 0.14285714285714285, 0.8888888888888888]"
U_14,0.3333333333333333,0.4,0,0,Naive,"[0.75, 0.2, 0.1111111111111111]"
U_14,0.45454545454545453,0.5,0,0,Naive,"[0.16666666666666666, 0.14285714285714285, 0.8888888888888888]"
U_14,0.35294117647058826,0.6,0,0,Naive,"[0.8333333333333334, 0.14285714285714285, 0.0]"
U_14,0.3076923076923077,0.7,0,0,Naive,"[0.8, 0.0, 0.0]"
U_14,0.375,0.8,0,0,Naive,"[0, 0.75, 0.0]"
U_14,0.0,0.9,0,0,Naive,"[0, 0, 0.0]"
U_15,0.17391304347826086,0.05,0,0,Naive,"[0.36363636363636365, 0.06, 0.625]"
U_15,0.8,0.1,0,0,Naive,"[0.6363636363636364, 0.8695652173913043, 0.625]"
U_15,0.7758620689655172,0.2,0,0,Naive,"[0.6363636363636364, 0.8461538461538461, 0.625]"
U_15,0.8,0.3,0,0,Naive,"[0.6363636363636364, 0.8611111111111112, 0.6666666666666666]"
U_15,0.2558139534883721,0.4,0,0,Naive,"[0.6363636363636364, 0.06896551724137931, 0.6666666666666666]"
U_15,0.7142857142857143,0.5,0,0,Naive,"[0.375, 0.8333333333333334, 0.6666666666666666]"
U_15,0.21428571428571427,0.6,0,0,Naive,"[0.375, 0.11764705882352941, 0.3333333333333333]"
U_15,0.23809523809523808,0.7,0,0,Naive,"[1.0, 0.0625, 0.6666666666666666]"
U_15,0.15384615384615385,0.8,0,0,Naive,"[0.0, 0.1111111111111111, 0.5]"
U_15,0.16666666666666666,0.9,0,0,Naive,"[0, 0.2, 0.0]"
U_16,0.2545454545454545,0.05,0,0,Naive,"[0.5714285714285714, 0.1282051282051282, 0.5555555555555556]"
U_16,0.21153846153846154,0.1,0,0,Naive,"[0.42857142857142855, 0.1111111111111111, 0.4444444444444444]"
U_16,0.6521739130434783,0.2,0,0,Naive,"[0.5714285714285714, 0.7419354838709677, 0.375]"
U_16,0.65,0.3,0,0,Naive,"[0.6, 0.7407407407407407, 0.375]"
U_16,0.7058823529411765,0.4,0,0,Naive,"[0.6, 0.7391304347826086, 0.6666666666666666]"
U_16,0.2857142857142857,0.5,0,0,Naive,"[0.5, 0.1111111111111111, 0.6666666666666666]"
U_16,0.3181818181818182,0.6,0,0,Naive,"[0.5, 0.15384615384615385, 0.6]"
U_16,0.625,0.7,0,0,Naive,"[0.5, 0.7, 0.5]"
U_16,0.2,0.8,0,0,Naive,"[0.5, 0.14285714285714285, 0.0]"
U_16,0.5,0.9,0,0,Naive,"[1.0, 0.3333333333333333, 0]"
U_17,0.5679012345679012,0.05,0,0,Naive,"[0.2631578947368421, 0.7446808510638298, 0.4]"
U_17,0.36363636363636365,0.1,0,0,Naive,"[0.7368421052631579, 0.11627906976744186, 0.6]"
U_17,0.22058823529411764,0.2,0,0,Naive,"[0.2222222222222222, 0.10526315789473684, 0.5833333333333334]"
U_17,0.7288135593220338,0.3,0,0,Naive,"[0.7647058823529411, 0.7714285714285715, 0.42857142857142855]"
U_17,0.19607843137254902,0.4,0,0,Naive,"[0.2, 0.13333333333333333, 0.5]"
U_17,0.40476190476190477,0.5,0,0,Naive,"[0.8461538461538461, 0.13043478260869565, 0.5]"
U_17,0.7575757575757576,0.6,0,0,Naive,"[0.8461538461538461, 0.7333333333333333, 0.6]"
U_17,0.64,0.7,0,0,Naive,"[0.9166666666666666, 0.25, 0.6]"
U_17,0.75,0.8,0,0,Naive,"[0.8333333333333334, 0.6666666666666666, 0.75]"
U_17,0.2857142857142857,0.9,0,0,Naive,"[0, 0.25, 0.3333333333333333]"
U_18,0.10256410256410256,0.05,0,0,Naive,"[0.14285714285714285, 0.07692307692307693, 0.10526315789473684]"
U_18,0.24324324324324326,0.1,0,0,Naive,"[0.8571428571428571, 0.15384615384615385, 0.058823529411764705]"
U_18,0.2727272727272727,0.2,0,0,Naive,"[0.8571428571428571, 0.2222222222222222, 0.058823529411764705]"
U_18,0.5862068965517241,0.3,0,0,Naive,"[0.14285714285714285, 0.16666666666666666, 0.9375]"
U_18,0.25,0.4,0,0,Naive,"[0.14285714285714285, 0.6666666666666666, 0.09090909090909091]"
U_18,0.4,0.5,0,0,Naive,"[0.14285714285714285, 0.16666666666666666, 0.8571428571428571]"
U_18,0.1875,0.6,0,0,Naive,"[0.14285714285714285, 0.16666666666666666, 0.3333333333333333]"
U_18,0.6363636363636364,0.7,0,0,Naive,"[0.8571428571428571, 0.3333333333333333, 0.0]"
U_18,0.14285714285714285,0.8,0,0,Naive,"[0.3333333333333333, 0.0, 0.0]"
U_18,0.6666666666666666,0.9,0,0,Naive,"[0, 0.5, 1.0]"
U_19,0.5081967213114754,0.05,0,0,Naive,"[0.8, 0.11538461538461539, 0.8]"
U_19,0.603448275862069,0.1,0,0,Naive,"[0.23529411764705882, 0.7307692307692307, 0.8]"
U_19,0.2549019607843137,0.2,0,0,Naive,"[0.7, 0.11538461538461539, 0.2]"
U_19,0.13333333333333333,0.3,0,0,Naive,"[0.25, 0.08695652173913043, 0.14285714285714285]"
U_19,0.13157894736842105,0.4,0,0,Naive,"[0.25, 0.11764705882352941, 0.07692307692307693]"
U_19,0.5161290322580645,0.5,0,0,Naive,"[0.4, 0.15384615384615385, 0.9230769230769231]"
U_19,0.76,0.6,0,0,Naive,"[0.3333333333333333, 0.6666666666666666, 0.9230769230769231]"
U_19,0.8333333333333334,0.7,0,0,Naive,"[0.3333333333333333, 0.6666666666666666, 1.0]"
U_19,0.0,0.8,0,0,Naive,"[0, 0, 0.0]"
U_19,0.0,0.9,0,0,Naive,"[0, 0, 0.0]"
U_2,0.7008547008547008,0.05,0,0,Naive,"[0.47368421052631576, 0.7976190476190477, 0.42857142857142855]"
U_2,0.7207207207207207,0.1,0,0,Naive,"[0.47368421052631576, 0.7901234567901234, 0.6363636363636364]"
U_2,0.20408163265306123,0.2,0,0,Naive,"[0.5714285714285714, 0.1095890410958904, 0.36363636363636365]"
U_2,0.23255813953488372,0.3,0,0,Naive,"[0.5384615384615384, 0.1111111111111111, 0.6]"
U_2,0.7397260273972602,0.4,0,0,Naive,"[0.5, 0.7924528301886793, 0.75]"
U_2,0.16393442622950818,0.5,0,0,Naive,"[0.4, 0.1111111111111111, 0.16666666666666666]"
U_2,0.2916666666666667,0.6,0,0,Naive,"[0.5714285714285714, 0.14285714285714285, 0.8333333333333334]"
U_2,0.7222222222222222,0.7,0,0,Naive,"[0.6666666666666666, 0.72, 0.8]"
U_2,0.6521739130434783,0.8,0,0,Naive,"[0.3333333333333333, 0.6875, 0.75]"
U_2,0.18181818181818182,0.9,0,0,Naive,"[0.5, 0.125, 0.0]"
U_20,0.7131147540983607,0.05,0,0,Naive,"[0.8717948717948718, 0.1935483870967742, 0.9038461538461539]"
U_20,0.7130434782608696,0.1,0,0,Naive,"[0.8717948717948718, 0.1724137931034483, 0.9148936170212766]"
U_20,0.5686274509803921,0.2,0,0,Naive,"[0.1111111111111111, 0.6190476190476191, 0.9111111111111111]"
U_20,0.11235955056179775,0.3,0,0,Naive,"[0.15384615384615385, 0.15789473684210525, 0.06818181818181818]"
U_20,0.25,0.4,0,0,Naive,"[0.3076923076923077, 0.631578947368421, 0.06818181818181818]"
U_20,0.23809523809523808,0.5,0,0,Naive,"[0.42857142857142855, 0.625, 0.05]"
U_20,0.72,0.6,0,0,Naive,"[0.4, 0.16666666666666666, 0.9696969696969697]"
U_20,0.1891891891891892,0.7,0,0,Naive,"[0.5, 0.7142857142857143, 0.03571428571428571]"
U_20,0.2916666666666667,0.8,0,0,Naive,"[0.5, 0.7142857142857143, 0.06666666666666667]"
U_20,0.2727272727272727,0.9,0,0,Naive,"[0.5, 0.14285714285714285, 0.5]"
U_3,0.14634146341463414,0.05,0,0,Naive,"[0.15789473684210525, 0.1111111111111111, 0.25]"
U_3,0.4358974358974359,0.1,0,0,Naive,"[0.8235294117647058, 0.1111111111111111, 0.25]"
U_3,0.4411764705882353,0.2,0,0,Naive,"[0.125, 0.7142857142857143, 0.75]"
U_3,0.43333333333333335,0.3,0,0,Naive,"[0.125, 0.75, 1.0]"
U_3,0.6,0.4,0,0,Naive,"[0.8571428571428571, 0.1111111111111111, 1.0]"
U_3,0.5238095238095238,0.5,0,0,Naive,"[0.2, 0.7777777777777778, 1.0]"
U_3,0.125,0.6,0,0,Naive,"[0.125, 0.16666666666666666, 0.0]"
U_3,0.25,0.7,0,0,Naive,"[0.125, 0.6666666666666666, 0.0]"
U_3,0.7142857142857143,0.8,0,0,Naive,"[0.8333333333333334, 0, 0.0]"
U_3,0.6666666666666666,0.9,0,0,Naive,"[0.5, 0, 1.0]"
U_4,0.56,0.05,0,0,Naive,"[0.35, 0.65, 0.6]"
U_4,0.30985915492957744,0.1,0,0,Naive,"[0.35, 0.1891891891891892, 0.5714285714285714]"
U_4,0.6349206349206349,0.2,0,0,Naive,"[0.6842105263157895, 0.6470588235294118, 0.5]"
U_4,0.4,0.3,0,0,Naive,"[0.6842105263157895, 0.16129032258064516, 0.8]"
U_4,0.6595744680851063,0.4,0,0,Naive,"[0.7058823529411765, 0.6923076923076923, 0.25]"
U_4,0.38461538461538464,0.5,0,0,Naive,"[0.75, 0.13043478260869565, 0.75]"
U_4,0.6129032258064516,0.6,0,0,Naive,"[0.3, 0.7368421052631579, 1.0]"
U_4,0.30434782608695654,0.7,0,0,Naive,"[0.6666666666666666, 0.125, 1.0]"
U_4,0.2,0.8,0,0,Naive,"[1.0, 0.07692307692307693, 1.0]"
U_4,0.2857142857142857,0.9,0,0,Naive,"[1.0, 0.16666666666666666, 0]"
U_5,0.5619834710743802,0.05,0,0,Naive,"[0.782608695652174, 0.125, 0.88]"
U_5,0.5130434782608696,0.1,0,0,Naive,"[0.782608695652174, 0.7659574468085106, 0.1111111111111111]"
U_5,0.12745098039215685,0.2,0,0,Naive,"[0.19047619047619047, 0.13157894736842105, 0.09302325581395349]"
U_5,0.48314606741573035,0.3,0,0,Naive,"[0.15, 0.10344827586206896, 0.925]"
U_5,0.10526315789473684,0.4,0,0,Naive,"[0.11764705882352941, 0.14285714285714285, 0.07894736842105263]"
U_5,0.1111111111111111,0.5,0,0,Naive,"[0.11764705882352941, 0.09523809523809523, 0.12]"
U_5,0.54,0.6,0,0,Naive,"[0.2222222222222222, 0.17647058823529413, 0.9166666666666666]"
U_5,0.40540540540540543,0.7,0,0,Naive,"[0.5, 0.8, 0.1]"
U_5,0.9583333333333334,0.8,0,0,Naive,"[0, 0.8888888888888888, 1.0]"
U_5,1.0,0.9,0,0,Naive,"[0, 0, 1.0]"
U_6,0.45652173913043476,0.05,0,0,Naive,"[0.24489795918367346, 0.171875, 0.8591549295774648]"
U_6,0.5689655172413793,0.1,0,0,Naive,"[0.6923076923076923, 0.171875, 0.8591549295774648]"
U_6,0.5844155844155844,0.2,0,0,Naive,"[0.6551724137931034, 0.18181818181818182, 0.8714285714285714]"
U_6,0.362962962962963,0.3,0,0,Naive,"[0.3684210526315789, 0.673469387755102, 0.13432835820895522]"
U_6,0.23478260869565218,0.4,0,0,Naive,"[0.631578947368421, 0.15217391304347827, 0.16]"
U_6,0.1875,0.5,0,0,Naive,"[0.4166666666666667, 0.175, 0.13636363636363635]"
U_6,0.17105263157894737,0.6,0,0,Naive,"[0.36363636363636365, 0.16666666666666666, 0.11428571428571428]"
U_6,0.43859649122807015,0.7,0,0,Naive,"[0.3333333333333333, 0.12, 0.8260869565217391]"
U_6,0.5405405405405406,0.8,0,0,Naive,"[0.2857142857142857, 0.16666666666666666, 0.8888888888888888]"
U_6,0.16666666666666666,0.9,0,0,Naive,"[0.25, 0.2, 0.1111111111111111]"
U_7,0.7555555555555555,0.05,0,0,Naive,"[0.7777777777777778, 0.75, 0.75]"
U_7,0.627906976744186,0.1,0,0,Naive,"[0.2222222222222222, 0.7272727272727273, 0.75]"
U_7,0.7368421052631579,0.2,0,0,Naive,"[0.7777777777777778, 0.7058823529411765, 0.75]"
U_7,0.42424242424242425,0.3,0,0,Naive,"[0.25, 0.21428571428571427, 0.8181818181818182]"
U_7,0.42857142857142855,0.4,0,0,Naive,"[0.6666666666666666, 0.07142857142857142, 0.8181818181818182]"
U_7,0.13043478260869565,0.5,0,0,Naive,"[0.0, 0.09090909090909091, 0.18181818181818182]"
U_7,0.4444444444444444,0.6,0,0,Naive,"[0.0, 0.1111111111111111, 0.875]"
U_7,0.5384615384615384,0.7,0,0,Naive,"[0, 0.0, 0.875]"
U_7,0.5,0.8,0,0,Naive,"[0, 0.0, 0.8]"
U_7,0.6666666666666666,0.9,0,0,Naive,"[0, 0.6666666666666666, 0]"
U_8,0.7763157894736842,0.05,0,0,Naive,"[0.7, 0.8043478260869565, 0.75]"
U_8,0.6388888888888888,0.1,0,0,Naive,"[0.7, 0.8095238095238095, 0.25]"
U_8,0.703125,0.2,0,0,Naive,"[0.3, 0.7777777777777778, 0.7777777777777778]"
U_8,0.75,0.3,0,0,Naive,"[0.7, 0.75, 0.7777777777777778]"
U_8,0.3541666666666667,0.4,0,0,Naive,"[0.3, 0.12, 0.8461538461538461]"
U_8,0.41025641025641024,0.5,0,0,Naive,"[0.2222222222222222, 0.17647058823529413, 0.8461538461538461]"
U_8,0.5161290322580645,0.6,0,0,Naive,"[0.875, 0.7272727272727273, 0.08333333333333333]"
U_8,0.6086956521739131,0.7,0,0,Naive,"[0.875, 0.125, 0.8571428571428571]"
U_8,0.3333333333333333,0.8,0,0,Naive,"[0.25, 0.8, 0.0]"
U_8,0.14285714285714285,0.9,0,0,Naive,"[0, 1.0, 0.0]"
U_9,0.5619047619047619,0.05,0,0,Naive,"[0.2692307692307692, 0.7586206896551724, 0.38095238095238093]"
U_9,0.6060606060606061,0.1,0,0,Naive,"[0.2692307692307692, 0.7636363636363637, 0.6111111111111112]"
