User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
pro10_bdf_p2,0.7777777777777778,0.1,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.78125,0.2,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.03571428571428571,0.3,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.6666666666666666,0.4,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.6,0.5,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.5,0.6,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.3333333333333333,0.7,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,0.0,0.8,0,0,OfflineSVM,"[0, 0, 0]"
pro10_bdf_p2,1.0,0.9,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.38636363636363635,0.1,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.358974358974359,0.2,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.6176470588235294,0.3,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.5862068965517241,0.4,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.4166666666666667,0.5,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.45,0.6,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.4,0.7,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.3,0.8,0,0,OfflineSVM,"[0, 0, 0]"
pro11_bcf_p2,0.0,0.9,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.30337078651685395,0.1,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.46835443037974683,0.2,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.5362318840579711,0.3,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.5423728813559322,0.4,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.6530612244897959,0.5,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.725,0.6,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.7333333333333333,0.7,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.7,0.8,0,0,OfflineSVM,"[0, 0, 0]"
pro12_bdf_p2,0.8,0.9,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.30952380952380953,0.1,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.2702702702702703,0.2,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.24242424242424243,0.3,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.2857142857142857,0.4,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.43478260869565216,0.5,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.3157894736842105,0.6,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.35714285714285715,0.7,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.3,0.8,0,0,OfflineSVM,"[0, 0, 0]"
pro14_bdf_p2,0.2,0.9,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.20689655172413793,0.1,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.7307692307692307,0.2,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.13043478260869565,0.3,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.8,0.4,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.75,0.5,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,0.7692307692307693,0.6,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,1.0,0.7,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,1.0,0.8,0,0,OfflineSVM,"[0, 0, 0]"
pro16_bce_p2,1.0,0.9,0,0,OfflineSVM,"[0, 0, 0]"
pro19_bcf_p2,0.6271186440677966,0.1,0,0,OfflineSVM,"[0, 0, 0]"
