Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,pro25_acf_p1,0.05,0.0001,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.1,0.0001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.2,0.0001,0.5,1.0,0.625,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.3,0.0001,0.05,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.4,0.0001,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.5,0.001,0.8,1.0,0.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.6,0.0001,0.99,1.0,0.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.7,0.001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.8,0.0001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro25_acf_p1,0.9,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.05,0.01,0.9,1.0,0.7083333333333334,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.1,0.0001,0.9,1.0,0.7391304347826086,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.2,0.0001,0.9,1.0,0.7,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.3,0.001,0.99,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.4,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.5,0.0001,0.1,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.6,0.001,0.5,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.7,0.0001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
