User,Accuracy,LearningRate,Discount,Algorithm
pro13_ace_p1,0.8,0,0,HMM
pro15_ade_p1,0.72,0,0,HMM
pro17_ace_p1,0.5849056603773585,0,0,HMM
pro18_adf_p1,0.4,0,0,HMM
pro20_ade_p1,0.6388888888888888,0,0,HMM
pro21_ade_p1,0.8202247191011236,0,0,HMM
pro22_ade_p1,0.6417910447761194,0,0,HMM
pro23_acf_p1,0.6909090909090909,0,0,HMM
pro24_adf_p1,0.42424242424242425,0,0,HMM
pro25_acf_p1,0.6666666666666666,0,0,HMM
pro29_ace_p1,0.6354166666666666,0,0,HMM
pro31_adf_p1,0.6730769230769231,0,0,HMM
pro3_ace_p1,0.5483870967741935,0,0,HMM
pro5_adf_p1,0.43478260869565216,0,0,HMM
pro8_acf_p1,0.5045045045045045,0,0,HMM
pro9_acf_p1,0.6111111111111112,0,0,HMM
stu10_acf_p1,0.6101694915254238,0,0,HMM
stu11_adf_p1,0.625,0,0,HMM
stu13_acf_p1,0.6842105263157895,0,0,HMM
stu15_ade_p1,0.7419354838709677,0,0,HMM
stu17_ace_p1,0.7142857142857143,0,0,HMM
stu21_ace_p1,0.47619047619047616,0,0,HMM
stu24_ace_p1,0.6363636363636364,0,0,HMM
stu25_ace_p1,0.8148148148148148,0,0,HMM
stu26_ace_p1,0.84,0,0,HMM
stu29_ade_p1,0.875,0,0,HMM
stu30_adf_p1,0.8461538461538461,0,0,HMM
stu31_ade_p1,0.7916666666666666,0,0,HMM
stu36_adf_p1,0.7619047619047619,0,0,HMM
stu37_adf_p1,0.8214285714285714,0,0,HMM
stu38_acf_p1,0.6129032258064516,0,0,HMM
stu39_adf_p1,0.5,0,0,HMM
stu3_acf_p1,0.7777777777777778,0,0,HMM
stu4_ade_p1,0.8571428571428571,0,0,HMM
stu6_acf_p1,0.6296296296296297,0,0,HMM
stu7_ade_p1,0.48672566371681414,0,0,HMM
