User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
pro13_ace_p1,0.7916666666666666,0.05,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,0.043478260869565216,0.1,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,0.0,0.2,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,0.05555555555555555,0.3,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.4,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.5,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.6,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.7,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.8,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p1,1.0,0.9,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.25,0.05,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.2608695652173913,0.1,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.3,0.2,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.5555555555555556,0.3,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.3333333333333333,0.4,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.3076923076923077,0.5,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.1,0.6,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.25,0.7,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.0,0.8,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p1,0.0,0.9,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.1568627450980392,0.05,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.10416666666666667,0.1,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.37209302325581395,0.2,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.10526315789473684,0.3,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.40625,0.4,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.2222222222222222,0.5,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.22727272727272727,0.6,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.1875,0.7,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,0.09090909090909091,0.8,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p1,1.0,0.9,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.125,0.05,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.5555555555555556,0.1,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.4,0.2,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.4857142857142857,0.3,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.26666666666666666,0.4,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.2,0.5,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.55,0.6,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.13333333333333333,0.7,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.2,0.8,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p1,0.8,0.9,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.5428571428571428,0.05,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.21212121212121213,0.1,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.27586206896551724,0.2,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.23076923076923078,0.3,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.09090909090909091,0.4,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p1,0.16666666666666666,0.5,0,0,Momentum,"[0, 0, 0]"
