data/zheng/processed_interactions_p1/pro21_ade_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro22_ade_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro17_ace_p1_logs.csv,0.5132743362831859,{'same': (57, 0.9649122807017544), 'modify-1': (43, 0.023255813953488372), 'modify-2': (13, 0.15384615384615385)}
data/zheng/processed_interactions_p1/pro18_adf_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro20_ade_p1_logs.csv,0.5132743362831859,{'same': (57, 1.0), 'modify-1': (43, 0.023255813953488372), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro13_ace_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro25_acf_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro23_acf_p1_logs.csv,0.5132743362831859,{'same': (57, 1.0), 'modify-1': (43, 0.023255813953488372), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro24_adf_p1_logs.csv,0.504424778761062,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro15_ade_p1_logs.csv,0.5221238938053098,{'same': (57, 1.0), 'modify-1': (43, 0.046511627906976744), 'modify-2': (13, 0.0)}
data/zheng/processed_interactions_p1/pro29_ace_p1_logs.csv,0.5132743362831859,{'same': (57, 1.0), 'modify-1': (43, 0.0), 'modify-2': (13, 0.07692307692307693)}
