data/zheng/processed_interactions_p2/pro23_acf_p2_logs.csv,0.5,{'same': (20, 1.0), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/pro20_ade_p2_logs.csv,0.55,{'same': (20, 0.95), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/pro22_ade_p2_logs.csv,0.5,{'same': (20, 0.9), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/pro17_ace_p2_logs.csv,0.475,{'same': (20, 0.85), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/pro15_ade_p2_logs.csv,0.45,{'same': (20, 0.9), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/pro21_ade_p2_logs.csv,0.525,{'same': (20, 0.95), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/pro24_adf_p2_logs.csv,0.575,{'same': (20, 1.0), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/pro18_adf_p2_logs.csv,0.45,{'same': (20, 0.65), 'modify-1': (20, 0.25)}
data/zheng/processed_interactions_p2/pro13_ace_p2_logs.csv,0.475,{'same': (20, 0.9), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/pro25_acf_p2_logs.csv,0.5,{'same': (20, 0.95), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/pro8_acf_p2_logs.csv,0.525,{'same': (20, 0.95), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/pro29_ace_p2_logs.csv,0.475,{'same': (20, 0.75), 'modify-1': (20, 0.2)}
data/zheng/processed_interactions_p2/pro3_ace_p2_logs.csv,0.525,{'same': (20, 1.0), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/pro5_adf_p2_logs.csv,0.525,{'same': (20, 0.85), 'modify-1': (20, 0.2)}
data/zheng/processed_interactions_p2/pro9_acf_p2_logs.csv,0.525,{'same': (20, 1.0), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/pro31_adf_p2_logs.csv,0.475,{'same': (20, 0.95), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/stu15_ade_p2_logs.csv,0.475,{'same': (20, 0.9), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/stu13_acf_p2_logs.csv,0.525,{'same': (20, 0.95), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/stu10_acf_p2_logs.csv,0.55,{'same': (20, 0.85), 'modify-1': (20, 0.25)}
data/zheng/processed_interactions_p2/stu11_adf_p2_logs.csv,0.3,{'same': (20, 0.45), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/stu21_ace_p2_logs.csv,0.5,{'same': (20, 0.9), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/stu17_ace_p2_logs.csv,0.5,{'same': (20, 0.95), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/stu26_ace_p2_logs.csv,0.525,{'same': (20, 1.0), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/stu24_ace_p2_logs.csv,0.55,{'same': (20, 0.85), 'modify-1': (20, 0.25)}
data/zheng/processed_interactions_p2/stu25_ace_p2_logs.csv,0.5,{'same': (20, 0.95), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/stu31_ade_p2_logs.csv,0.45,{'same': (20, 0.85), 'modify-1': (20, 0.05)}
data/zheng/processed_interactions_p2/stu29_ade_p2_logs.csv,0.5,{'same': (20, 1.0), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/stu37_adf_p2_logs.csv,0.525,{'same': (20, 0.9), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/stu36_adf_p2_logs.csv,0.425,{'same': (20, 0.7), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/stu30_adf_p2_logs.csv,0.425,{'same': (20, 0.5), 'modify-1': (20, 0.35)}
data/zheng/processed_interactions_p2/stu38_acf_p2_logs.csv,0.45,{'same': (20, 0.9), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/stu39_adf_p2_logs.csv,0.5,{'same': (20, 1.0), 'modify-1': (20, 0.0)}
data/zheng/processed_interactions_p2/stu3_acf_p2_logs.csv,0.525,{'same': (20, 0.95), 'modify-1': (20, 0.1)}
data/zheng/processed_interactions_p2/stu6_acf_p2_logs.csv,0.55,{'same': (20, 0.95), 'modify-1': (20, 0.15)}
data/zheng/processed_interactions_p2/stu4_ade_p2_logs.csv,0.475,{'same': (20, 0.75), 'modify-1': (20, 0.2)}
data/zheng/processed_interactions_p2/stu7_ade_p2_logs.csv,0.5303030303030303,{'modify-1': (16, 0.125), 'same': (33, 0.9696969696969697), 'modify-2': (16, 0.0625), 'modify-3': (1, 0.0)}
