User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p4,0.6111111111111112,0.05,,,Naive,0,
pro13_ace_p4,0.6078431372549019,0.1,,,Naive,0,
pro13_ace_p4,0.6043956043956044,0.2,,,Naive,0,
pro13_ace_p4,0.6125,0.3,,,Naive,0,
pro13_ace_p4,0.6323529411764706,0.4,,,Naive,0,
pro13_ace_p4,0.6842105263157895,0.5,,,Naive,0,
pro13_ace_p4,0.6956521739130435,0.6,,,Naive,0,
pro13_ace_p4,0.6470588235294118,0.7,,,Naive,0,
pro13_ace_p4,0.5217391304347826,0.8,,,Naive,0,
pro13_ace_p4,0.6666666666666666,0.9,,,Naive,0,
pro15_ade_p4,0.42201834862385323,0.05,,,Naive,0,
pro15_ade_p4,0.4174757281553398,0.1,,,Naive,0,
pro15_ade_p4,0.42391304347826086,0.2,,,Naive,0,
pro15_ade_p4,0.425,0.3,,,Naive,0,
pro15_ade_p4,0.44927536231884063,0.4,,,Naive,0,
pro15_ade_p4,0.4385964912280701,0.5,,,Naive,0,
pro15_ade_p4,0.4130434782608695,0.6,,,Naive,0,
pro15_ade_p4,0.34285714285714286,0.7,,,Naive,0,
pro15_ade_p4,0.391304347826087,0.8,,,Naive,0,
pro15_ade_p4,0.5,0.9,,,Naive,0,
pro17_ace_p4,0.5538461538461539,0.05,,,Naive,0,
pro17_ace_p4,0.5447154471544715,0.1,,,Naive,0,
pro17_ace_p4,0.54337899543379,0.2,,,Naive,0,
pro17_ace_p4,0.546875,0.3,,,Naive,0,
pro17_ace_p4,0.5914634146341463,0.4,,,Naive,0,
pro17_ace_p4,0.6204379562043796,0.5,,,Naive,0,
pro17_ace_p4,0.6545454545454545,0.6,,,Naive,0,
pro17_ace_p4,0.6097560975609756,0.7,,,Naive,0,
pro17_ace_p4,0.5636363636363636,0.8,,,Naive,0,
pro17_ace_p4,0.7857142857142857,0.9,,,Naive,0,
pro18_adf_p4,0.3972602739726027,0.05,,,Naive,0,
pro18_adf_p4,0.37681159420289856,0.1,,,Naive,0,
pro18_adf_p4,0.3770491803278688,0.2,,,Naive,0,
pro18_adf_p4,0.3333333333333333,0.3,,,Naive,0,
