user,algorithm,threshold,y_pred,y_true
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,same,modify-2
pro13_ace_p4,B,0.05,modify-1,modify-2
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-2
pro13_ace_p4,B,0.05,modify-1,modify-2
pro13_ace_p4,B,0.05,modify-2,same
pro13_ace_p4,B,0.05,modify-2,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-2
pro13_ace_p4,B,0.05,modify-3,modify-2
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-2
pro13_ace_p4,B,0.05,modify-1,modify-2
pro13_ace_p4,B,0.05,modify-2,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-2,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-3,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,modify-1
pro13_ace_p4,B,0.05,modify-1,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.05,same,same
pro13_ace_p4,B,0.1,same,same
pro13_ace_p4,B,0.1,same,modify-1
pro13_ace_p4,B,0.1,modify-1,modify-1
pro13_ace_p4,B,0.1,same,same
pro13_ace_p4,B,0.1,same,same
