User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
U_1,0.41333333333333333,0.05,,,Random,"[0.42857142857142855, 0.3953488372093023, 0.45454545454545453]",
U_1,0.36619718309859156,0.1,,,Random,"[0.5, 0.35, 0.18181818181818182]",
U_1,0.42857142857142855,0.2,,,Random,"[0.8421052631578947, 0.22857142857142856, 0.3333333333333333]",
U_1,0.4,0.3,,,Random,"[0.3684210526315789, 0.3333333333333333, 0.8333333333333334]",
U_1,0.46808510638297873,0.4,,,Random,"[0.625, 0.36, 0.5]",
U_1,0.358974358974359,0.5,,,Random,"[0.4375, 0.25, 0.6666666666666666]",
U_1,0.3548387096774194,0.6,,,Random,"[0.2857142857142857, 0.42857142857142855, 0.3333333333333333]",
U_1,0.43478260869565216,0.7,,,Random,"[0.5454545454545454, 0.3, 0.5]",
U_1,0.26666666666666666,0.8,,,Random,"[0.25, 0.2857142857142857, None]",
U_1,0.42857142857142855,0.9,,,Random,"[0.6666666666666666, 0.25, None]",
U_10,0.4578313253012048,0.05,,,Random,"[0.6111111111111112, 0.3188405797101449, 0.5245901639344263]",
U_10,0.33121019108280253,0.1,,,Random,"[0.4166666666666667, 0.1774193548387097, 0.4406779661016949]",
U_10,0.41007194244604317,0.2,,,Random,"[0.4166666666666667, 0.34, 0.4716981132075472]",
U_10,0.4180327868852459,0.3,,,Random,"[0.5, 0.3157894736842105, 0.4423076923076923]",
U_10,0.46153846153846156,0.4,,,Random,"[0.65625, 0.34285714285714286, 0.40540540540540543]",
U_10,0.5,0.5,,,Random,"[0.6521739130434783, 0.23076923076923078, 0.5945945945945946]",
U_10,0.5072463768115942,0.6,,,Random,"[0.5294117647058824, 0.47619047619047616, 0.5161290322580645]",
U_10,0.43137254901960786,0.7,,,Random,"[0.42857142857142855, 0.625, 0.3793103448275862]",
U_10,0.3235294117647059,0.8,,,Random,"[0.0, 0.2, 0.37037037037037035]",
U_10,0.5625,0.9,,,Random,"[0.5, 0.2, 0.7777777777777778]",
U_11,0.38235294117647056,0.05,,,Random,"[0.25, 0.26666666666666666, 0.6363636363636364]",
U_11,0.46875,0.1,,,Random,"[0.7142857142857143, 0.21428571428571427, 0.6363636363636364]",
U_11,0.4642857142857143,0.2,,,Random,"[0.5, 0.38461538461538464, 0.5454545454545454]",
U_11,0.3333333333333333,0.3,,,Random,"[0.0, 0.3333333333333333, 0.36363636363636365]",
U_11,0.5238095238095238,0.4,,,Random,"[None, 0.5, 0.5454545454545454]",
U_11,0.4117647058823529,0.5,,,Random,"[None, 0.3333333333333333, 0.45454545454545453]",
U_11,0.3076923076923077,0.6,,,Random,"[None, 0.0, 0.36363636363636365]",
U_11,0.7,0.7,,,Random,"[None, None, 0.7]",
U_11,0.5,0.8,,,Random,"[None, None, 0.5]",
U_11,0.5,0.9,,,Random,"[None, None, 0.5]",
U_12,0.36619718309859156,0.05,,,Random,"[0.4117647058823529, 0.2765957446808511, 0.8571428571428571]",
U_12,0.26865671641791045,0.1,,,Random,"[0.2857142857142857, 0.2127659574468085, 0.6666666666666666]",
U_12,0.3220338983050847,0.2,,,Random,"[0.42857142857142855, 0.3170731707317073, 0.0]",
U_12,0.36538461538461536,0.3,,,Random,"[0.2727272727272727, 0.40540540540540543, 0.25]",
U_12,0.38636363636363635,0.4,,,Random,"[0.5, 0.3333333333333333, 0.5]",
U_12,0.4166666666666667,0.5,,,Random,"[0.5, 0.43478260869565216, 0.0]",
U_12,0.3793103448275862,0.6,,,Random,"[0.75, 0.3181818181818182, 0.3333333333333333]",
U_12,0.2857142857142857,0.7,,,Random,"[0.25, 0.26666666666666666, 0.5]",
U_12,0.6428571428571429,0.8,,,Random,"[0.75, 0.5555555555555556, 1.0]",
U_12,0.0,0.9,,,Random,"[0.0, 0.0, 0.0]",
U_13,0.38181818181818183,0.05,,,Random,"[0.8, 0.28125, 0.3076923076923077]",
U_13,0.34615384615384615,0.1,,,Random,"[0.3, 0.3225806451612903, 0.45454545454545453]",
U_13,0.45652173913043476,0.2,,,Random,"[0.2222222222222222, 0.4230769230769231, 0.7272727272727273]",
U_13,0.5,0.3,,,Random,"[0.4, 0.5, 0.5454545454545454]",
U_13,0.5882352941176471,0.4,,,Random,"[0.2, 0.65, 0.6666666666666666]",
U_13,0.32142857142857145,0.5,,,Random,"[0.0, 0.3125, 0.4444444444444444]",
U_13,0.4090909090909091,0.6,,,Random,"[0.6666666666666666, 0.3333333333333333, 0.42857142857142855]",
U_13,0.4375,0.7,,,Random,"[0.0, 0.375, 0.5714285714285714]",
U_13,0.3,0.8,,,Random,"[0.0, 0.3333333333333333, 0.3333333333333333]",
U_13,0.75,0.9,,,Random,"[None, 0.5, 1.0]",
U_14,0.4186046511627907,0.05,,,Random,"[0.5, 0.45454545454545453, 0.2727272727272727]",
U_14,0.43902439024390244,0.1,,,Random,"[0.25, 0.3181818181818182, 0.8181818181818182]",
U_14,0.3888888888888889,0.2,,,Random,"[0.625, 0.17647058823529413, 0.5454545454545454]",
U_14,0.41935483870967744,0.3,,,Random,"[0.375, 0.5, 0.3333333333333333]",
U_14,0.5555555555555556,0.4,,,Random,"[0.875, 0.4, 0.4444444444444444]",
