Algorithm 1,Algorithm 2,t-statistic,p-value
Online SVM,WSLS,48.98701213818672,3.459138573917243e-207
Online SVM,Momentum,4.801354523456296,2.0131045666700675e-06
Online SVM,Bayesian,7.841295396472009,2.1827137559366792e-14
Online SVM,HMM,11.834112892837917,4.583968783139531e-29
Online SVM,Random,47.59018806049341,2.1283399605717215e-201
Online SVM,Greedy,0.19166049034130342,0.8480759351323518
Online SVM,QLearn,-1.5565589636720218,0.12012639486841037
Online SVM,Actor-Critic,1.0048588245146848,0.3153882436360075
Online SVM,Reinforce,1.8823351907380372,0.06029611519852735
Online SVM,SARSA,-0.8341636445335017,0.4045357826242906
Online SVM,QLearnAligned,-10.940534224444406,1.9614641255114055e-25
WSLS,Momentum,-41.89133718717417,1.0465729050877774e-176
WSLS,Bayesian,-38.934806504954835,3.328794611759678e-163
WSLS,HMM,-14.095951597160022,5.8117078117030135e-39
WSLS,Random,-0.2906060286546361,0.7714576135434512
WSLS,Greedy,-40.5193077787915,1.6856787986924625e-170
WSLS,QLearn,-51.57132856737751,1.2366279596983643e-217
WSLS,Actor-Critic,-39.06864691254872,7.957736007991297e-164
WSLS,Reinforce,-34.301149682021105,4.202340326503083e-141
WSLS,SARSA,-50.42664451610997,4.7611586120320835e-213
WSLS,QLearnAligned,-68.06069044316487,5.157262502657916e-277
Momentum,Bayesian,2.938842990193189,0.003426850364087294
Momentum,HMM,8.683302297349043,3.9906306574080106e-17
Momentum,Random,40.71793015312312,2.0983247929690066e-171
Momentum,Greedy,-4.06172130393712,5.5485677769131835e-05
Momentum,QLearn,-6.371984693336395,3.8321984641809547e-10
Momentum,Actor-Critic,-3.2214288097700843,0.001347742342794397
Momentum,Reinforce,-2.0589844407921927,0.03994633436464384
Momentum,SARSA,-5.646599269060973,2.576118280232609e-08
Momentum,QLearnAligned,-15.837597852415323,3.8928726911641403e-47
Bayesian,HMM,6.825720206557669,2.2302875818022756e-11
Bayesian,Random,37.79453843153683,7.182502242934951e-158
Bayesian,Greedy,-6.733753114706004,4.0206350750264146e-11
Bayesian,QLearn,-9.455705739744639,8.109324840948744e-20
Bayesian,Actor-Critic,-5.862208835034017,7.70911440629166e-09
Bayesian,Reinforce,-4.502694160078895,8.129710940505103e-06
Bayesian,SARSA,-8.712271843803574,3.1850242672542463e-17
Bayesian,QLearnAligned,-19.208729438691513,7.095862530290166e-64
HMM,Random,13.879052741476713,5.648103927326709e-38
HMM,Greedy,-11.078021084487679,5.564624221265353e-26
HMM,QLearn,-12.85690946499881,2.0005011416291762e-33
HMM,Actor-Critic,-10.474155230579814,1.3049631828254073e-23
HMM,Reinforce,-9.43082451096349,9.960277001046128e-20
HMM,SARSA,-12.386771740425443,2.1415626946714123e-31
HMM,QLearnAligned,-18.81576326072775,7.036547476992062e-62
Random,Greedy,-39.65983968051989,1.469366080482224e-166
Random,QLearn,-50.077537344990596,1.2284083523540964e-211
Random,Actor-Critic,-38.251740487076184,5.1189575070868576e-160
Random,Reinforce,-33.679867567186356,4.679421526585105e-138
Random,SARSA,-48.973949270703685,3.914153010075212e-207
Random,QLearnAligned,-65.84585246128546,1.0586099414595712e-269
Greedy,QLearn,-1.5640628264856975,0.11835393673056332
Greedy,Actor-Critic,0.7385616801347026,0.46047506958664175
Greedy,Reinforce,1.5652378971411025,0.11807824968481627
Greedy,SARSA,-0.9277370172379735,0.3539339360188608
Greedy,QLearnAligned,-9.72611421746724,8.471203720097082e-21
QLearn,Actor-Critic,2.370095745383164,0.018113051757547904
QLearn,Reinforce,3.1541510021882098,0.0016938367446400985
QLearn,SARSA,0.7236126898960561,0.46959833045105714
QLearn,QLearnAligned,-9.388540928240152,1.4113121388947604e-19
Actor-Critic,Reinforce,0.8649520339215558,0.3874264513935871
Actor-Critic,SARSA,-1.7375837188706869,0.08282053937241209
Actor-Critic,QLearnAligned,-10.48451886369968,1.1902923811829005e-23
Reinforce,SARSA,-2.565527617937659,0.01055472136081942
Reinforce,QLearnAligned,-10.667083537581687,2.3320485718074174e-24
SARSA,QLearnAligned,-10.118269127824105,2.959622471354463e-22
