Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro25_acf_p4,0.05,0.0001,0.05,0,0.6790322580645161,0,1.0040160642570284,0.5
QLearn,pro25_acf_p4,0.1,0.01,0.1,0,0.811965811965812,0,1.004255319148936,0.1
QLearn,pro25_acf_p4,0.2,0.0001,0.05,0,0.85,0,1.0047846889952152,0.05
QLearn,pro25_acf_p4,0.3,0.0001,0.8,0,0.8175824175824177,0,1.005464480874317,0.05
QLearn,pro25_acf_p4,0.4,0.0001,0.99,0,0.8179487179487179,0,1.0063694267515924,0.01
QLearn,pro25_acf_p4,0.5,0.001,0.99,0,0.836923076923077,0,1.0076335877862597,0.05
QLearn,pro25_acf_p4,0.6,0.0001,0.5,0,0.8076923076923077,0,1.0095238095238097,0.05
QLearn,pro25_acf_p4,0.7,0.0001,0.05,0,0.8051282051282052,0,1.0126582278481011,0.1
QLearn,pro25_acf_p4,0.8,0.1,0.05,0,0.8153846153846154,0,1.0188679245283017,0.05
QLearn,pro25_acf_p4,0.9,0.01,0.99,0,0.7076923076923076,0,1.0370370370370372,0.1
QLearn,pro15_ade_p4,0.05,0.01,0.8,0,0.6475,0,1.002079002079002,0.5
QLearn,pro15_ade_p4,0.1,0.001,0.05,0,0.6325991189427314,0,1.0021978021978024,0.5
QLearn,pro15_ade_p4,0.2,0.5,0.8,0,0.7376237623762376,0,1.002469135802469,0.05
QLearn,pro15_ade_p4,0.3,0.0001,0.8,0,0.7367231638418079,0,1.0028169014084507,0.05
QLearn,pro15_ade_p4,0.4,0.001,0.05,0,0.7407894736842104,0,1.0032786885245901,0.05
QLearn,pro15_ade_p4,0.5,0.5,0.1,0,0.7476190476190476,0,1.0039525691699607,0.05
QLearn,pro15_ade_p4,0.6,0.01,0.8,0,0.7405940594059406,0,1.0049261083743841,0.1
QLearn,pro15_ade_p4,0.7,0.001,0.1,0,0.7342105263157895,0,1.0065359477124187,0.05
QLearn,pro15_ade_p4,0.8,0.0001,0.8,0,0.6392156862745098,0,1.0097087378640774,0.1
QLearn,pro15_ade_p4,0.9,0.0001,0.5,0,0.7076923076923076,0,1.0188679245283019,0.05
QLearn,pro22_ade_p4,0.05,0.001,0.05,0,0.6167785234899329,0,1.0016750418760472,0.7
QLearn,pro22_ade_p4,0.1,0.0001,0.05,0,0.9014184397163121,0,1.0017699115044245,0.05
QLearn,pro22_ade_p4,0.2,0.0001,0.5,0,0.897211155378486,0,1.0019880715705765,0.05
QLearn,pro22_ade_p4,0.3,0.001,0.05,0,0.8927272727272728,0,1.0022675736961453,0.05
QLearn,pro22_ade_p4,0.4,0.0001,0.05,0,0.8808510638297872,0,1.0026525198938991,0.05
QLearn,pro22_ade_p4,0.5,0.0001,0.8,0,0.8866242038216561,0,1.003174603174603,0.01
QLearn,pro22_ade_p4,0.6,0.1,0.2,0,0.8761904761904763,0,1.0039525691699613,0.01
QLearn,pro22_ade_p4,0.7,0.001,0.1,0,0.8829787234042554,0,1.0052910052910051,0.01
QLearn,pro22_ade_p4,0.8,0.0001,0.9,0,0.9047619047619048,0,1.0078740157480306,0.01
QLearn,pro22_ade_p4,0.9,0.1,0.8,0,0.9,0,1.0153846153846153,0.01
QLearn,pro13_ace_p4,0.05,0.01,0.05,0,0.726643598615917,0,1.0017271157167529,0.5
QLearn,pro13_ace_p4,0.1,0.0001,0.8,0,0.7226277372262773,0,1.001821493624772,0.5
QLearn,pro13_ace_p4,0.2,0.0001,0.05,0,0.9737704918032787,0,1.002044989775051,0.01
QLearn,pro13_ace_p4,0.3,0.001,0.05,0,0.9568075117370892,0,1.0023419203747077,0.05
QLearn,pro13_ace_p4,0.4,0.1,0.8,0,0.9759562841530054,0,1.002724795640327,0.01
