Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
SARSA,pro25_acf_p4,0.05,0.0001,0.99,0,0.6725806451612903,0,1.0,0.5
SARSA,pro25_acf_p4,0.1,0.001,0.9,0,0.6905982905982906,0,1.0,0.5
SARSA,pro25_acf_p4,0.2,0.0001,0.1,0,0.8615384615384617,0,1.0,0.01
SARSA,pro25_acf_p4,0.3,0.0001,0.05,0,0.8307692307692307,0,1.0,0.01
SARSA,pro25_acf_p4,0.4,0.001,0.9,0,0.7769230769230768,0,1.0,0.1
SARSA,pro25_acf_p4,0.5,0.01,0.05,0,0.8123076923076923,0,1.0,0.1
SARSA,pro25_acf_p4,0.6,0.0001,0.5,0,0.8076923076923077,0,1.0,0.05
SARSA,pro25_acf_p4,0.7,0.001,0.9,0,0.7846153846153846,0,1.0,0.05
SARSA,pro25_acf_p4,0.8,0.5,0.1,0,0.7769230769230768,0,1.0,0.05
SARSA,pro25_acf_p4,0.9,0.001,0.9,0,0.7692307692307693,0,1.0,0.01
SARSA,pro15_ade_p4,0.05,0.0001,0.99,0,0.575,0,1.0,0.7
SARSA,pro15_ade_p4,0.1,0.001,0.99,0,0.7295154185022026,0,1.0,0.1
SARSA,pro15_ade_p4,0.2,0.001,0.9,0,0.7257425742574257,0,1.0,0.1
SARSA,pro15_ade_p4,0.3,0.001,0.05,0,0.7141242937853107,0,1.0,0.1
SARSA,pro15_ade_p4,0.4,0.01,0.2,0,0.7486842105263157,0,1.0,0.05
SARSA,pro15_ade_p4,0.5,0.0001,0.9,0,0.7365079365079366,0,1.0,0.1
SARSA,pro15_ade_p4,0.6,0.001,0.1,0,0.7227722772277227,0,1.0,0.1
SARSA,pro15_ade_p4,0.7,0.001,0.1,0,0.7342105263157895,0,1.0,0.05
SARSA,pro15_ade_p4,0.8,0.0001,0.2,0,0.6980392156862745,0,1.0,0.05
SARSA,pro15_ade_p4,0.9,0.5,0.5,0,0.676923076923077,0,1.0,0.05
SARSA,pro13_ace_p4,0.05,0.001,0.05,0,0.9072664359861591,0,1.0,0.1
SARSA,pro13_ace_p4,0.1,0.1,0.9,0,0.718978102189781,0,1.0,0.5
SARSA,pro13_ace_p4,0.2,0.001,0.05,0,0.9483606557377049,0,1.0,0.05
SARSA,pro13_ace_p4,0.3,0.001,0.1,0,0.9746478873239436,0,1.0,0.01
SARSA,pro13_ace_p4,0.4,0.5,0.5,0,0.9628415300546447,0,1.0,0.05
SARSA,pro13_ace_p4,0.5,0.001,0.5,0,0.9421052631578947,0,1.0,0.05
SARSA,pro13_ace_p4,0.6,0.001,0.1,0,0.962295081967213,0,1.0,0.01
SARSA,pro13_ace_p4,0.7,0.001,0.1,0,0.9521739130434781,0,1.0,0.01
SARSA,pro13_ace_p4,0.8,0.0001,0.8,0,0.9311475409836067,0,1.0,0.01
SARSA,pro13_ace_p4,0.9,0.01,0.1,0,0.864516129032258,0,1.0,0.01
SARSA,pro22_ade_p4,0.05,0.0001,0.9,0,0.610738255033557,0,1.0,0.7
SARSA,pro22_ade_p4,0.1,0.001,0.05,0,0.8652482269503545,0,1.0,0.1
SARSA,pro22_ade_p4,0.2,0.0001,0.1,0,0.897211155378486,0,1.0,0.05
SARSA,pro22_ade_p4,0.3,0.001,0.2,0,0.8854545454545454,0,1.0,0.05
SARSA,pro22_ade_p4,0.4,0.0001,0.05,0,0.898936170212766,0,1.0,0.01
SARSA,pro22_ade_p4,0.5,0.0001,0.05,0,0.8815286624203822,0,1.0,0.01
SARSA,pro22_ade_p4,0.6,0.0001,0.05,0,0.8777777777777779,0,1.0,0.01
SARSA,pro22_ade_p4,0.7,0.5,0.9,0,0.8872340425531913,0,1.0,0.01
SARSA,pro22_ade_p4,0.8,0.001,0.2,0,0.8952380952380953,0,1.0,0.01
SARSA,pro22_ade_p4,0.9,0.0001,0.5,0,0.89375,0,1.0,0.01
SARSA,pro18_adf_p4,0.05,0.0001,0.05,0,0.8374570446735395,0,1.0,0.01
SARSA,pro18_adf_p4,0.1,0.0001,0.05,0,0.7901996370235935,0,1.0,0.1
