Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task
ActorCritic,pro10_bdf_p1,0.05,0.0001,0.5,1.0,0.3157894736842105,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.1,0.0001,0.2,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.2,0.001,0.05,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.3,0.001,0.1,1.0,0.1428571428571428,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.4,0.1,0.05,1.0,0.9166666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.5,0.0001,0.2,1.0,0.1,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.6,0.1,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.7,0.0001,0.5,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.8,0.0001,0.99,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro10_bdf_p1,0.9,0.001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.05,0.001,0.5,1.0,0.1578947368421052,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.1,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.2,0.001,0.05,1.0,0.9375,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.3,1.0,0.9,1.0,0.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.4,0.001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.5,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.6,0.1,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.7,0.001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.8,0.001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro16_bce_p1,0.9,0.001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.05,0.0001,0.2,1.0,0.1785714285714285,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.1,0.001,0.9,1.0,0.1481481481481481,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.2,0.001,0.5,1.0,0.4166666666666667,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.3,0.001,0.99,1.0,0.0476190476190476,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.4,0.0001,0.1,1.0,0.2222222222222222,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.5,0.0001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.6,0.1,0.05,1.0,0.5833333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.7,0.01,0.8,1.0,0.4444444444444444,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.8,0.001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro1_bcf_p1,0.9,0.01,0.2,1.0,0.3333333333333333,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.05,0.0001,0.1,1.0,0.3125,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.1,0.0001,0.5,1.0,0.4333333333333333,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.2,0.01,0.9,1.0,0.4814814814814814,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.3,0.0001,0.99,1.0,0.5833333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.4,0.0001,0.99,1.0,0.55,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.5,0.0001,0.2,1.0,0.4705882352941176,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.6,0.0001,0.99,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.7,0.0001,0.1,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.8,0.001,0.8,1.0,0.4285714285714285,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro28_bce_p1,0.9,0.1,0.99,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.05,0.0001,0.05,1.0,0.4722222222222222,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.1,0.0001,0.99,1.0,0.4705882352941176,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.2,0.0001,0.05,1.0,0.4666666666666667,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.3,0.0001,0.9,1.0,0.4615384615384615,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.4,0.001,0.2,1.0,0.3478260869565217,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.5,0.001,0.05,1.0,0.4210526315789473,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.6,0.001,0.8,1.0,0.5333333333333333,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.7,0.1,0.9,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.8,0.0001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro14_bdf_p1,0.9,0.0001,0.05,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.05,0.0001,0.1,1.0,0.7894736842105263,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.1,0.0001,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.2,1.0,0.1,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.3,0.01,0.1,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.4,0.001,0.05,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.5,0.001,0.05,1.0,0.7,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.6,0.001,0.2,1.0,0.625,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.7,0.001,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.8,0.0001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro32_bdf_p1,0.9,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.05,0.0001,0.2,1.0,0.5490196078431373,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.1,0.001,0.2,1.0,0.5416666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.2,0.1,0.05,1.0,0.5348837209302325,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.3,0.001,0.05,1.0,0.5789473684210527,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.4,0.0001,0.5,1.0,0.625,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.5,0.0001,0.99,1.0,0.7037037037037037,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.6,0.1,0.9,1.0,0.4545454545454545,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.7,0.0001,0.5,1.0,0.375,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.8,0.001,0.9,1.0,0.1818181818181818,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro26_bde_p1,0.9,0.001,0.2,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.05,0.0001,0.05,1.0,0.696969696969697,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.1,0.0001,0.05,1.0,0.5806451612903226,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.2,0.01,0.2,1.0,0.6428571428571429,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.3,0.01,0.99,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.4,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.5,0.001,0.99,1.0,0.5294117647058824,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.6,0.001,0.9,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.7,0.001,0.1,1.0,0.5454545454545454,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.8,0.1,0.9,1.0,0.8571428571428571,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro30_bde_p1,0.9,0.001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.05,0.0001,0.5,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.1,0.0001,0.05,1.0,0.5294117647058824,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.2,0.001,0.8,1.0,0.8666666666666667,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.3,0.0001,0.99,1.0,0.8461538461538461,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.4,0.001,0.05,1.0,0.8181818181818182,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.5,0.0001,0.2,1.0,0.7777777777777778,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.6,0.001,0.2,1.0,0.875,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.7,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.8,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro6_bde_p1,0.9,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.05,0.01,0.05,1.0,0.5862068965517241,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.1,0.0001,0.1,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.2,0.0001,0.05,1.0,0.5510204081632653,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.3,0.001,0.5,1.0,0.5813953488372093,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.4,0.001,0.05,1.0,0.5675675675675675,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.5,0.001,0.5,1.0,0.6129032258064516,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.6,0.001,0.9,1.0,0.52,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.7,0.001,0.2,1.0,0.6842105263157895,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.8,0.001,0.1,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro19_bcf_p1,0.9,0.001,0.5,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.05,0.0001,0.5,1.0,0.1875,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.1,0.01,0.05,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.2,0.0001,0.5,1.0,0.3703703703703703,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.3,0.0001,0.5,1.0,0.3333333333333333,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.4,0.01,0.9,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.5,0.1,0.9,1.0,0.6470588235294118,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.6,0.001,0.1,1.0,0.7857142857142857,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.7,0.0001,0.1,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.8,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro4_bce_p1,0.9,0.0001,0.9,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.05,0.0001,0.2,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.1,0.001,0.1,1.0,0.484375,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.2,0.1,0.05,1.0,0.5263157894736842,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.3,0.0001,0.8,1.0,0.44,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.4,0.1,0.05,1.0,0.5116279069767442,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.5,0.1,0.05,1.0,0.3055555555555556,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.6,0.001,0.5,1.0,0.5862068965517241,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.7,0.001,0.5,1.0,0.5909090909090909,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.8,0.001,0.05,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro12_bdf_p1,0.9,0.1,0.2,1.0,0.625,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.05,0.0001,0.05,1.0,0.5595238095238095,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.1,0.01,0.2,1.0,0.575,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.2,0.01,0.1,1.0,0.6197183098591549,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.3,0.001,0.2,1.0,0.6129032258064516,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.4,0.0001,0.9,1.0,0.5660377358490566,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.5,0.1,0.9,1.0,0.5227272727272727,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.6,0.0001,0.8,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.7,0.1,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.8,0.0001,0.1,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro11_bcf_p1,0.9,0.0001,0.2,1.0,0.8888888888888888,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.05,0.0001,0.1,1.0,0.4137931034482758,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.1,0.0001,0.05,1.0,0.7037037037037037,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.2,0.0001,0.9,1.0,0.5833333333333334,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.3,0.1,0.5,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.4,0.0001,0.1,1.0,0.6111111111111112,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.5,0.001,0.1,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.6,0.001,0.1,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1
