Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro1_bcf_p2,0.05,0.0001,0.05,1.0,0.1923076923076923,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.1,0.0001,0.5,1.0,0.64,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.2,0.0001,0.2,1.0,0.5454545454545454,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.3,0.0001,0.1,1.0,0.3157894736842105,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.4,0.001,0.5,1.0,0.7058823529411765,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.5,0.0001,0.9,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.6,0.001,0.05,1.0,0.4545454545454545,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.7,0.01,0.8,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.8,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro1_bcf_p2,0.9,0.001,0.99,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.05,0.0001,0.05,1.0,0.3214285714285714,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.1,0.0001,0.99,1.0,0.5925925925925926,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.2,0.0001,0.05,1.0,0.7083333333333334,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.3,0.0001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.4,0.0001,0.99,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.5,0.1,0.2,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.6,0.001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.7,0.0001,0.8,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.8,0.001,0.2,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro26_bde_p2,0.9,0.001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.05,0.01,0.1,1.0,0.2258064516129032,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.1,0.5,0.05,1.0,0.7241379310344828,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.2,0.0001,0.9,1.0,0.7692307692307693,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.3,0.001,0.2,1.0,0.8695652173913043,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.4,0.0001,0.8,1.0,0.3,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.5,0.1,0.8,1.0,0.8125,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro16_bce_p2,0.6,0.001,0.1,1.0,0.8461538461538461,"[None, None, None]",0.0,0.0,Focused,p2,,,,
