User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro10_bdf_p1,0.32941176470588235,0.05,,,Random,0,
pro10_bdf_p1,0.3125,0.1,,,Random,0,
pro10_bdf_p1,0.22857142857142856,0.2,,,Random,0,
pro10_bdf_p1,0.25,0.3,,,Random,0,
pro10_bdf_p1,0.2,0.4,,,Random,0,
pro10_bdf_p1,0.175,0.5,,,Random,0,
pro10_bdf_p1,0.2333333333333333,0.6,,,Random,0,
pro10_bdf_p1,0.3,0.7,,,Random,0,
pro10_bdf_p1,0.2,0.8,,,Random,0,
pro10_bdf_p1,,0.9,,,Random,0,
pro11_bcf_p1,0.24096385542168677,0.05,,,Random,0,
pro11_bcf_p1,0.2683544303797468,0.1,,,Random,0,
pro11_bcf_p1,0.26,0.2,,,Random,0,
pro11_bcf_p1,0.24262295081967214,0.3,,,Random,0,
pro11_bcf_p1,0.27692307692307694,0.4,,,Random,0,
pro11_bcf_p1,0.23255813953488375,0.5,,,Random,0,
pro11_bcf_p1,0.2529411764705882,0.6,,,Random,0,
pro11_bcf_p1,0.2,0.7,,,Random,0,
pro11_bcf_p1,0.2,0.8,,,Random,0,
pro11_bcf_p1,0.1714285714285714,0.9,,,Random,0,
pro12_bdf_p1,0.28181818181818186,0.05,,,Random,0,
pro12_bdf_p1,0.23870967741935484,0.1,,,Random,0,
pro12_bdf_p1,0.2545454545454545,0.2,,,Random,0,
pro12_bdf_p1,0.25,0.3,,,Random,0,
pro12_bdf_p1,0.20487804878048782,0.4,,,Random,0,
pro12_bdf_p1,0.2529411764705882,0.5,,,Random,0,
pro12_bdf_p1,0.22962962962962957,0.6,,,Random,0,
pro12_bdf_p1,0.3,0.7,,,Random,0,
pro12_bdf_p1,0.3384615384615385,0.8,,,Random,0,
pro12_bdf_p1,0.3333333333333333,0.9,,,Random,0,
pro14_bdf_p1,0.31176470588235294,0.05,,,Random,0,
pro14_bdf_p1,0.2625,0.1,,,Random,0,
pro14_bdf_p1,0.2642857142857143,0.2,,,Random,0,
pro14_bdf_p1,0.225,0.3,,,Random,0,
pro14_bdf_p1,0.23809523809523808,0.4,,,Random,0,
pro14_bdf_p1,0.2823529411764706,0.5,,,Random,0,
pro14_bdf_p1,0.16923076923076924,0.6,,,Random,0,
pro14_bdf_p1,0.22000000000000003,0.7,,,Random,0,
pro14_bdf_p1,0.3,0.8,,,Random,0,
pro14_bdf_p1,0.5,0.9,,,Random,0,
pro16_bce_p1,0.29411764705882354,0.05,,,Random,0,
pro16_bce_p1,0.3125,0.1,,,Random,0,
pro16_bce_p1,0.22857142857142856,0.2,,,Random,0,
pro16_bce_p1,0.2666666666666667,0.3,,,Random,0,
pro16_bce_p1,0.27999999999999997,0.4,,,Random,0,
pro16_bce_p1,0.225,0.5,,,Random,0,
pro16_bce_p1,0.16666666666666666,0.6,,,Random,0,
pro16_bce_p1,0.2,0.7,,,Random,0,
pro16_bce_p1,0.2,0.8,,,Random,0,
pro16_bce_p1,,0.9,,,Random,0,
pro19_bcf_p1,0.19285714285714287,0.05,,,Random,0,
pro19_bcf_p1,0.27169811320754716,0.1,,,Random,0,
pro19_bcf_p1,0.22978723404255322,0.2,,,Random,0,
pro19_bcf_p1,0.3170731707317073,0.3,,,Random,0,
pro19_bcf_p1,0.17714285714285713,0.4,,,Random,0,
pro19_bcf_p1,0.2689655172413793,0.5,,,Random,0,
pro19_bcf_p1,0.21739130434782608,0.6,,,Random,0,
pro19_bcf_p1,0.23529411764705882,0.7,,,Random,0,
pro19_bcf_p1,0.2909090909090909,0.8,,,Random,0,
pro19_bcf_p1,0.04,0.9,,,Random,0,
pro1_bcf_p1,0.22222222222222218,0.05,,,Random,0,
pro1_bcf_p1,0.23200000000000004,0.1,,,Random,0,
pro1_bcf_p1,0.2636363636363636,0.2,,,Random,0,
pro1_bcf_p1,0.2,0.3,,,Random,0,
pro1_bcf_p1,0.225,0.4,,,Random,0,
pro1_bcf_p1,0.3538461538461538,0.5,,,Random,0,
pro1_bcf_p1,0.16,0.6,,,Random,0,
pro1_bcf_p1,0.2571428571428571,0.7,,,Random,0,
pro1_bcf_p1,0.2,0.8,,,Random,0,
pro1_bcf_p1,0.4,0.9,,,Random,0,
pro26_bde_p1,0.272,0.05,,,Random,0,
pro26_bde_p1,0.2680851063829787,0.1,,,Random,0,
pro26_bde_p1,0.19523809523809524,0.2,,,Random,0,
pro26_bde_p1,0.23888888888888887,0.3,,,Random,0,
pro26_bde_p1,0.1935483870967742,0.4,,,Random,0,
pro26_bde_p1,0.21600000000000003,0.5,,,Random,0,
pro26_bde_p1,0.21000000000000002,0.6,,,Random,0,
pro26_bde_p1,0.18666666666666668,0.7,,,Random,0,
pro26_bde_p1,0.26666666666666666,0.8,,,Random,0,
pro26_bde_p1,0.3,0.9,,,Random,0,
pro27_bcf_p1,0.2519230769230769,0.05,,,Random,0,
pro27_bcf_p1,0.22653061224489796,0.1,,,Random,0,
pro27_bcf_p1,0.23908045977011497,0.2,,,Random,0,
pro27_bcf_p1,0.23157894736842105,0.3,,,Random,0,
pro27_bcf_p1,0.24000000000000005,0.4,,,Random,0,
pro27_bcf_p1,0.22222222222222224,0.5,,,Random,0,
pro27_bcf_p1,0.25116279069767444,0.6,,,Random,0,
pro27_bcf_p1,0.31875,0.7,,,Random,0,
pro27_bcf_p1,0.22857142857142856,0.8,,,Random,0,
pro27_bcf_p1,0.26,0.9,,,Random,0,
pro28_bce_p1,0.25333333333333335,0.05,,,Random,0,
pro28_bce_p1,0.21428571428571427,0.1,,,Random,0,
pro28_bce_p1,0.24,0.2,,,Random,0,
pro28_bce_p1,0.2363636363636364,0.3,,,Random,0,
pro28_bce_p1,0.15555555555555553,0.4,,,Random,0,
pro28_bce_p1,0.18666666666666668,0.5,,,Random,0,
pro28_bce_p1,0.16666666666666666,0.6,,,Random,0,
pro28_bce_p1,0.25,0.7,,,Random,0,
pro28_bce_p1,0.27999999999999997,0.8,,,Random,0,
pro28_bce_p1,0.1,0.9,,,Random,0,
pro2_bce_p1,0.25864661654135335,0.05,,,Random,0,
pro2_bce_p1,0.27301587301587305,0.1,,,Random,0,
pro2_bce_p1,0.275,0.2,,,Random,0,
pro2_bce_p1,0.23673469387755103,0.3,,,Random,0,
pro2_bce_p1,0.2666666666666667,0.4,,,Random,0,
pro2_bce_p1,0.23478260869565215,0.5,,,Random,0,
pro2_bce_p1,0.24363636363636365,0.6,,,Random,0,
pro2_bce_p1,0.22439024390243906,0.7,,,Random,0,
pro2_bce_p1,0.26666666666666666,0.8,,,Random,0,
pro2_bce_p1,0.27692307692307694,0.9,,,Random,0,
pro30_bde_p1,0.23225806451612901,0.05,,,Random,0,
pro30_bde_p1,0.24827586206896549,0.1,,,Random,0,
pro30_bde_p1,0.2,0.2,,,Random,0,
pro30_bde_p1,0.21818181818181817,0.3,,,Random,0,
pro30_bde_p1,0.24210526315789474,0.4,,,Random,0,
pro30_bde_p1,0.2533333333333333,0.5,,,Random,0,
pro30_bde_p1,0.26666666666666666,0.6,,,Random,0,
pro30_bde_p1,0.26666666666666666,0.7,,,Random,0,
pro30_bde_p1,0.31999999999999995,0.8,,,Random,0,
pro30_bde_p1,0.3,0.9,,,Random,0,
pro32_bdf_p1,0.2235294117647059,0.05,,,Random,0,
pro32_bdf_p1,0.275,0.1,,,Random,0,
pro32_bdf_p1,0.32857142857142857,0.2,,,Random,0,
pro32_bdf_p1,0.23333333333333334,0.3,,,Random,0,
pro32_bdf_p1,0.22000000000000003,0.4,,,Random,0,
pro32_bdf_p1,0.225,0.5,,,Random,0,
pro32_bdf_p1,0.26666666666666666,0.6,,,Random,0,
pro32_bdf_p1,0.05,0.7,,,Random,0,
pro32_bdf_p1,0.2,0.8,,,Random,0,
pro32_bdf_p1,,0.9,,,Random,0,
pro4_bce_p1,0.3333333333333333,0.05,,,Random,0,
pro4_bce_p1,0.20714285714285713,0.1,,,Random,0,
pro4_bce_p1,0.248,0.2,,,Random,0,
pro4_bce_p1,0.3090909090909091,0.3,,,Random,0,
pro4_bce_p1,0.3,0.4,,,Random,0,
pro4_bce_p1,0.24,0.5,,,Random,0,
pro4_bce_p1,0.16666666666666669,0.6,,,Random,0,
pro4_bce_p1,0.225,0.7,,,Random,0,
pro4_bce_p1,0.32,0.8,,,Random,0,
pro4_bce_p1,0.2,0.9,,,Random,0,
pro6_bde_p1,0.1875,0.05,,,Random,0,
pro6_bde_p1,0.24,0.1,,,Random,0,
pro6_bde_p1,0.23076923076923078,0.2,,,Random,0,
pro6_bde_p1,0.21818181818181817,0.3,,,Random,0,
pro6_bde_p1,0.2,0.4,,,Random,0,
pro6_bde_p1,0.2571428571428571,0.5,,,Random,0,
pro6_bde_p1,0.2,0.6,,,Random,0,
pro6_bde_p1,0.25,0.7,,,Random,0,
pro6_bde_p1,0.1,0.8,,,Random,0,
pro6_bde_p1,,0.9,,,Random,0,
pro7_bde_p1,0.2583333333333333,0.05,,,Random,0,
pro7_bde_p1,0.26666666666666666,0.1,,,Random,0,
pro7_bde_p1,0.22000000000000003,0.2,,,Random,0,
pro7_bde_p1,0.27999999999999997,0.3,,,Random,0,
pro7_bde_p1,0.2733333333333333,0.4,,,Random,0,
pro7_bde_p1,0.2416666666666667,0.5,,,Random,0,
pro7_bde_p1,0.3157894736842105,0.6,,,Random,0,
pro7_bde_p1,0.19999999999999998,0.7,,,Random,0,
pro7_bde_p1,0.17777777777777776,0.8,,,Random,0,
pro7_bde_p1,0.15,0.9,,,Random,0,
