User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro10_bdf_p2,0.14210526315789473,0.05,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.14444444444444443,0.1,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.14375,0.2,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.15714285714285714,0.3,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.175,0.4,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.16999999999999998,0.5,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.1625,0.6,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.15,0.7,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.175,0.8,0,0,Bayesian,0,0.0
pro10_bdf_p2,0.2,0.9,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.11304347826086955,0.05,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.1,0.1,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.09743589743589744,0.2,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.08235294117647059,0.3,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.07586206896551724,0.4,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.075,0.5,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.1,0.6,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.06666666666666667,0.7,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.08,0.8,0,0,Bayesian,0,0.0
pro11_bcf_p2,0.08,0.9,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.10425531914893618,0.05,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.1146067415730337,0.1,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.10632911392405062,0.2,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.11304347826086955,0.3,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.1152542372881356,0.4,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.10612244897959185,0.5,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.1,0.6,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.1,0.7,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.11000000000000001,0.8,0,0,Bayesian,0,0.0
pro12_bdf_p2,0.13999999999999999,0.9,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.05454545454545454,0.05,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.04285714285714286,0.1,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.03783783783783784,0.2,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.05454545454545454,0.3,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.04285714285714286,0.4,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.06956521739130435,0.5,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.042105263157894736,0.6,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.07142857142857142,0.7,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.06,0.8,0,0,Bayesian,0,0.0
pro14_bdf_p2,0.12,0.9,0,0,Bayesian,0,0.0
pro16_bce_p2,0.12258064516129033,0.05,0,0,Bayesian,0,0.0
pro16_bce_p2,0.11724137931034481,0.1,0,0,Bayesian,0,0.0
pro16_bce_p2,0.13846153846153847,0.2,0,0,Bayesian,0,0.0
pro16_bce_p2,0.13043478260869565,0.3,0,0,Bayesian,0,0.0
pro16_bce_p2,0.16,0.4,0,0,Bayesian,0,0.0
pro16_bce_p2,0.1375,0.5,0,0,Bayesian,0,0.0
pro16_bce_p2,0.10769230769230768,0.6,0,0,Bayesian,0,0.0
pro16_bce_p2,0.13999999999999999,0.7,0,0,Bayesian,0,0.0
pro16_bce_p2,0.17142857142857143,0.8,0,0,Bayesian,0,0.0
pro16_bce_p2,0.2,0.9,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.09032258064516129,0.05,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.08135593220338984,0.1,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.09615384615384616,0.2,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.09130434782608696,0.3,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.10769230769230768,0.4,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.10303030303030303,0.5,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.11538461538461538,0.6,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.08,0.7,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.046153846153846156,0.8,0,0,Bayesian,0,0.0
pro19_bcf_p2,0.0,0.9,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.10769230769230768,0.05,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.128,0.1,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.14545454545454545,0.2,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.11578947368421053,0.3,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.11764705882352941,0.4,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.11428571428571428,0.5,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.05454545454545454,0.6,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.08888888888888888,0.7,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.06666666666666667,0.8,0,0,Bayesian,0,0.0
pro1_bcf_p2,0.13333333333333333,0.9,0,0,Bayesian,0,0.0
pro26_bde_p2,0.09285714285714286,0.05,0,0,Bayesian,0,0.0
pro26_bde_p2,0.0962962962962963,0.1,0,0,Bayesian,0,0.0
pro26_bde_p2,0.125,0.2,0,0,Bayesian,0,0.0
pro26_bde_p2,0.12380952380952381,0.3,0,0,Bayesian,0,0.0
pro26_bde_p2,0.13333333333333333,0.4,0,0,Bayesian,0,0.0
pro26_bde_p2,0.08,0.5,0,0,Bayesian,0,0.0
pro26_bde_p2,0.13333333333333333,0.6,0,0,Bayesian,0,0.0
pro26_bde_p2,0.06666666666666667,0.7,0,0,Bayesian,0,0.0
pro26_bde_p2,0.06666666666666667,0.8,0,0,Bayesian,0,0.0
pro26_bde_p2,0.13333333333333333,0.9,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.08888888888888888,0.05,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.08837209302325581,0.1,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.07894736842105263,0.2,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.06060606060606061,0.3,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.09655172413793103,0.4,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.09166666666666666,0.5,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.11578947368421053,0.6,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.09333333333333334,0.7,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.1,0.8,0,0,Bayesian,0,0.0
pro27_bcf_p2,0.04,0.9,0,0,Bayesian,0,0.0
pro28_bce_p2,0.11111111111111112,0.05,0,0,Bayesian,0,0.0
pro28_bce_p2,0.1,0.1,0,0,Bayesian,0,0.0
pro28_bce_p2,0.1,0.2,0,0,Bayesian,0,0.0
pro28_bce_p2,0.1,0.3,0,0,Bayesian,0,0.0
pro28_bce_p2,0.11304347826086955,0.4,0,0,Bayesian,0,0.0
pro28_bce_p2,0.10526315789473684,0.5,0,0,Bayesian,0,0.0
pro28_bce_p2,0.12,0.6,0,0,Bayesian,0,0.0
pro28_bce_p2,0.11666666666666667,0.7,0,0,Bayesian,0,0.0
