User,Accuracy,Algorithm
pro10_bdf_p2,0.6666666666666666,Momentum
pro11_bcf_p2,0.4791666666666667,Momentum
pro12_bdf_p2,0.5510204081632653,Momentum
pro14_bdf_p2,0.2608695652173913,Momentum
pro16_bce_p2,0.625,Momentum
pro19_bcf_p2,0.47692307692307695,Momentum
pro1_bcf_p2,0.48148148148148145,Momentum
pro26_bde_p2,0.5172413793103449,Momentum
pro27_bcf_p2,0.425531914893617,Momentum
pro28_bce_p2,0.6486486486486487,Momentum
pro2_bce_p2,0.5531914893617021,Momentum
pro30_bde_p2,0.375,Momentum
pro32_bdf_p2,0.5377358490566038,Momentum
pro4_bce_p2,0.6153846153846154,Momentum
pro6_bde_p2,0.5454545454545454,Momentum
pro7_bde_p2,0.6486486486486487,Momentum
stu12_bdf_p2,0.75,Momentum
stu14_bcf_p2,0.6046511627906976,Momentum
stu16_bcf_p2,0.6521739130434783,Momentum
stu18_bde_p2,0.7789473684210526,Momentum
stu19_bde_p2,0.5652173913043478,Momentum
stu1_bce_p2,0.5348837209302325,Momentum
stu20_bdf_p2,0.6666666666666666,Momentum
stu22_bde_p2,0.4931506849315068,Momentum
stu23_bdf_p2,0.4461538461538462,Momentum
stu27_bdf_p2,0.5192307692307693,Momentum
stu28_bde_p2,0.4375,Momentum
stu2_bce_p2,0.8,Momentum
stu32_bce_p2,0.8108108108108109,Momentum
stu33_bce_p2,0.5952380952380952,Momentum
stu34_bcf_p2,0.5,Momentum
stu35_bde_p2,0.28888888888888886,Momentum
stu40_bdf_p2,0.45098039215686275,Momentum
stu5_bcf_p2,0.6507936507936508,Momentum
stu8_bce_p2,0.7972972972972973,Momentum
stu9_bcf_p2,0.7916666666666666,Momentum
