User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro10_bdf_p2,0.7777777777777778,0.05,,,Naive,0,
pro10_bdf_p2,0.7647058823529411,0.1,,,Naive,0,
pro10_bdf_p2,0.8,0.2,,,Naive,0,
pro10_bdf_p2,0.8846153846153847,0.3,,,Naive,0,
pro10_bdf_p2,0.909090909090909,0.4,,,Naive,0,
pro10_bdf_p2,0.888888888888889,0.5,,,Naive,0,
pro10_bdf_p2,0.8571428571428571,0.6,,,Naive,0,
pro10_bdf_p2,0.8,0.7,,,Naive,0,
pro10_bdf_p2,0.8333333333333334,0.8,,,Naive,0,
pro10_bdf_p2,1.0,0.9,,,Naive,0,
pro11_bcf_p2,0.5777777777777777,0.05,,,Naive,0,
pro11_bcf_p2,0.6046511627906976,0.1,,,Naive,0,
pro11_bcf_p2,0.6578947368421053,0.2,,,Naive,0,
pro11_bcf_p2,0.6060606060606061,0.3,,,Naive,0,
pro11_bcf_p2,0.5714285714285714,0.4,,,Naive,0,
pro11_bcf_p2,0.5652173913043478,0.5,,,Naive,0,
pro11_bcf_p2,0.6111111111111112,0.6,,,Naive,0,
pro11_bcf_p2,0.6923076923076923,0.7,,,Naive,0,
pro11_bcf_p2,0.75,0.8,,,Naive,0,
pro11_bcf_p2,1.0,0.9,,,Naive,0,
pro12_bdf_p2,0.5913978494623656,0.05,,,Naive,0,
pro12_bdf_p2,0.625,0.1,,,Naive,0,
pro12_bdf_p2,0.6282051282051282,0.2,,,Naive,0,
pro12_bdf_p2,0.6323529411764706,0.3,,,Naive,0,
pro12_bdf_p2,0.6551724137931034,0.4,,,Naive,0,
pro12_bdf_p2,0.6458333333333334,0.5,,,Naive,0,
pro12_bdf_p2,0.7105263157894737,0.6,,,Naive,0,
pro12_bdf_p2,0.75,0.7,,,Naive,0,
pro12_bdf_p2,0.6666666666666666,0.8,,,Naive,0,
pro12_bdf_p2,0.875,0.9,,,Naive,0,
pro14_bdf_p2,0.3023255813953488,0.05,,,Naive,0,
pro14_bdf_p2,0.2926829268292683,0.1,,,Naive,0,
pro14_bdf_p2,0.22222222222222224,0.2,,,Naive,0,
pro14_bdf_p2,0.2258064516129032,0.3,,,Naive,0,
pro14_bdf_p2,0.25925925925925924,0.4,,,Naive,0,
pro14_bdf_p2,0.2727272727272727,0.5,,,Naive,0,
pro14_bdf_p2,0.29411764705882354,0.6,,,Naive,0,
pro14_bdf_p2,0.3076923076923077,0.7,,,Naive,0,
pro14_bdf_p2,0.25,0.8,,,Naive,0,
pro14_bdf_p2,0.3333333333333333,0.9,,,Naive,0,
pro16_bce_p2,0.7,0.05,,,Naive,0,
pro16_bce_p2,0.7142857142857143,0.1,,,Naive,0,
pro16_bce_p2,0.76,0.2,,,Naive,0,
pro16_bce_p2,0.8636363636363636,0.3,,,Naive,0,
pro16_bce_p2,0.8333333333333334,0.4,,,Naive,0,
pro16_bce_p2,0.8,0.5,,,Naive,0,
pro16_bce_p2,0.8333333333333334,0.6,,,Naive,0,
pro16_bce_p2,1.0,0.7,,,Naive,0,
pro16_bce_p2,1.0,0.8,,,Naive,0,
pro16_bce_p2,1.0,0.9,,,Naive,0,
pro19_bcf_p2,0.6166666666666667,0.05,,,Naive,0,
