User,Accuracy,GranularPredictions,Predictions,GroundTruth
pro10_bdf_p2,0.75,"defaultdict(None, {'modify-1': (1, 0.0), 'modify-2': (1, 0.0), 'same': (6, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same']"
pro12_bdf_p2,0.7,"defaultdict(None, {'same': (14, 1.0), 'modify-1': (4, 0.0), 'modify-2': (2, 0.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same']"
pro11_bcf_p2,0.7,"defaultdict(None, {'modify-2': (3, 0.0), 'same': (7, 1.0)})","['modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-2', 'modify-2', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same']"
pro16_bce_p2,1.0,"defaultdict(None, {'same': (7, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro14_bdf_p2,0.4,"defaultdict(None, {'modify-2': (4, 0.0), 'modify-1': (3, 0.3333333333333333), 'same': (3, 1.0)})","['same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same']","['modify-2', 'modify-2', 'modify-1', 'modify-1', 'modify-2', 'same', 'modify-2', 'same', 'modify-1', 'same']"
pro26_bde_p2,0.6666666666666666,"defaultdict(None, {'modify-1': (2, 0.0), 'same': (4, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'same', 'same', 'modify-1', 'same']"
pro27_bcf_p2,0.6,"defaultdict(None, {'modify-1': (4, 0.25), 'same': (5, 1.0), 'modify-2': (1, 0.0)})","['modify-3', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'same']"
pro1_bcf_p2,0.5,"defaultdict(None, {'modify-1': (2, 0.0), 'same': (3, 1.0), 'modify-2': (1, 0.0)})","['same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'modify-1', 'modify-2', 'same', 'same']"
pro28_bce_p2,1.0,"defaultdict(None, {'same': (8, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro19_bcf_p2,0.38461538461538464,"defaultdict(None, {'same': (4, 1.0), 'modify-1': (5, 0.0), 'modify-2': (4, 0.25)})","['same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-2', 'modify-3', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same']"
pro30_bde_p2,1.0,"defaultdict(None, {'same': (4, 1.0)})","['same', 'same', 'same', 'same']","['same', 'same', 'same', 'same']"
pro32_bdf_p2,0.6818181818181818,"defaultdict(None, {'modify-1': (4, 0.0), 'same': (16, 0.9375), 'modify-2': (2, 0.0)})","['same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
stu14_bcf_p2,0.5555555555555556,"defaultdict(None, {'modify-2': (2, 0.0), 'same': (6, 0.8333333333333334), 'modify-1': (1, 0.0)})","['same', 'same', 'same', 'same', 'modify-3', 'same', 'same', 'same', 'same']","['modify-2', 'same', 'same', 'modify-1', 'same', 'modify-2', 'same', 'same', 'same']"
pro4_bce_p2,0.8125,"defaultdict(None, {'same': (14, 0.9285714285714286), 'modify-2': (2, 0.0)})","['same', 'modify-2', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro2_bce_p2,1.0,"defaultdict(None, {'same': (10, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
stu16_bcf_p2,0.7142857142857143,"defaultdict(None, {'same': (10, 1.0), 'modify-2': (4, 0.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'modify-2', 'modify-2', 'modify-2', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
stu18_bde_p2,0.6842105263157895,"defaultdict(None, {'same': (17, 0.7647058823529411), 'modify-1': (2, 0.0)})","['same', 'same', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'modify-1', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro7_bde_p2,1.0,"defaultdict(None, {'same': (8, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']"
pro6_bde_p2,1.0,"defaultdict(None, {'same': (5, 1.0)})","['same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same']"
stu12_bdf_p2,1.0,"defaultdict(None, {'same': (7, 1.0)})","['same', 'same', 'same', 'same', 'same', 'same', 'same']","['same', 'same', 'same', 'same', 'same', 'same', 'same']"
