Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro1_bcf_p2,0.05,0.0001,0.05,0,0.5769230769230769,0,1.0188679245283017,0.01
QLearn,pro1_bcf_p2,0.1,0.0001,0.1,0,0.32,0,1.019607843137255,1.0
QLearn,pro1_bcf_p2,0.2,0.0001,0.9,0,0.5454545454545454,0,1.0222222222222221,0.7
QLearn,pro1_bcf_p2,0.3,1.0,0.2,0,0.5263157894736842,0,1.0256410256410255,0.5
QLearn,pro1_bcf_p2,0.4,0.0001,0.1,0,0.5882352941176471,0,1.0285714285714287,0.1
QLearn,pro1_bcf_p2,0.5,0.01,0.5,0,0.5714285714285714,0,1.0344827586206897,0.1
QLearn,pro1_bcf_p2,0.6,0.0001,0.2,0,0.6363636363636364,0,1.0434782608695652,0.1
QLearn,pro1_bcf_p2,0.7,0.0001,0.1,0,0.5555555555555556,0,1.0526315789473684,0.1
QLearn,pro1_bcf_p2,0.8,0.001,0.1,0,0.5,0,1.0769230769230769,0.1
QLearn,pro1_bcf_p2,0.9,0.0001,0.1,0,0.6666666666666666,0,1.1428571428571428,0.1
QLearn,pro26_bde_p2,0.05,0.0001,0.05,0,0.6428571428571429,0,1.0175438596491229,0.01
QLearn,pro26_bde_p2,0.1,0.0001,0.05,0,0.6296296296296297,0,1.0181818181818185,0.01
QLearn,pro26_bde_p2,0.2,0.001,0.9,0,0.4583333333333333,0,1.0204081632653061,0.7
QLearn,pro26_bde_p2,0.3,0.0001,0.05,0,0.7619047619047619,0,1.0232558139534884,0.1
QLearn,pro26_bde_p2,0.4,1.0,0.2,0,0.4444444444444444,0,1.027027027027027,0.5
QLearn,pro26_bde_p2,0.5,0.1,0.05,0,0.6666666666666666,0,1.032258064516129,0.05
QLearn,pro26_bde_p2,0.6,0.0001,0.2,0,0.6666666666666666,0,1.04,0.1
QLearn,pro26_bde_p2,0.7,1.0,0.2,0,0.6666666666666666,0,1.0526315789473684,0.05
QLearn,pro26_bde_p2,0.8,0.001,0.05,0,0.6666666666666666,0,1.0769230769230769,0.1
QLearn,pro26_bde_p2,0.9,0.5,0.1,0,0.6666666666666666,0,1.1428571428571428,0.1
QLearn,pro16_bce_p2,0.05,0.0001,0.05,0,0.6875,0,1.0153846153846156,0.1
QLearn,pro16_bce_p2,0.1,0.0001,0.05,0,0.4666666666666667,0,1.016393442622951,0.7
QLearn,pro16_bce_p2,0.2,0.0001,0.2,0,0.7037037037037037,0,1.0181818181818183,0.5
QLearn,pro16_bce_p2,0.3,0.01,0.05,0,0.5,0,1.0204081632653061,0.7
QLearn,pro16_bce_p2,0.4,0.1,0.2,0,0.6,0,1.0243902439024393,0.5
QLearn,pro16_bce_p2,0.5,0.1,0.05,0,0.8235294117647058,0,1.028571428571429,0.1
QLearn,pro16_bce_p2,0.6,0.0001,0.1,0,0.8571428571428571,0,1.0344827586206895,0.1
QLearn,pro16_bce_p2,0.7,0.0001,0.9,0,0.9,0,1.0476190476190474,0.1
QLearn,pro16_bce_p2,0.8,0.0001,0.5,0,1.0,0,1.0666666666666664,0.1
QLearn,pro16_bce_p2,0.9,0.0001,0.9,0,1.0,0,1.1111111111111112,0.1
QLearn,pro28_bce_p2,0.05,0.0001,0.05,0,0.5833333333333334,0,1.0136986301369864,0.01
QLearn,pro28_bce_p2,0.1,0.5,0.1,0,0.6176470588235294,0,1.0144927536231887,0.5
QLearn,pro28_bce_p2,0.2,0.1,0.2,0,0.4,0,1.0163934426229506,0.7
QLearn,pro28_bce_p2,0.3,0.1,0.1,0,0.4230769230769231,0,1.0188679245283019,0.5
QLearn,pro28_bce_p2,0.4,0.01,0.99,0,0.5652173913043478,0,1.0212765957446808,0.05
QLearn,pro28_bce_p2,0.5,0.0001,0.2,0,0.42105263157894735,0,1.0256410256410258,0.1
QLearn,pro28_bce_p2,0.6,0.0001,0.1,0,0.3333333333333333,0,1.032258064516129,0.1
QLearn,pro28_bce_p2,0.7,0.001,0.1,0,0.4166666666666667,0,1.04,0.1
QLearn,pro28_bce_p2,0.8,0.0001,0.5,0,0.0,0,0.5294117647058824,0.1
QLearn,pro28_bce_p2,0.9,0.1,0.1,0,1.0,0,1.111111111111111,0.1
