Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
SARSA,pro1_bcf_p2,0.05,0.0001,0.05,0,0.6538461538461539,0,1.0,0.01
SARSA,pro1_bcf_p2,0.1,0.0001,0.9,0,0.56,0,1.0,0.5
SARSA,pro1_bcf_p2,0.2,0.0001,0.99,0,0.5454545454545454,0,1.0,0.7
SARSA,pro1_bcf_p2,0.3,0.0001,0.8,0,0.5263157894736842,0,1.0,0.7
SARSA,pro1_bcf_p2,0.4,0.5,0.2,0,0.47058823529411764,0,1.0,0.5
SARSA,pro1_bcf_p2,0.5,0.001,0.05,0,0.5714285714285714,0,1.0,0.05
SARSA,pro1_bcf_p2,0.6,0.0001,0.5,0,0.5454545454545454,0,1.0,0.05
SARSA,pro1_bcf_p2,0.7,0.0001,0.2,0,0.6666666666666666,0,1.0,0.05
SARSA,pro1_bcf_p2,0.8,0.0001,0.1,0,0.5,0,1.0,0.05
SARSA,pro1_bcf_p2,0.9,0.01,0.2,0,0.6666666666666666,0,1.0,0.1
SARSA,pro26_bde_p2,0.05,0.0001,0.05,0,0.6428571428571429,0,1.0,0.01
SARSA,pro26_bde_p2,0.1,0.0001,0.05,0,0.6296296296296297,0,1.0,0.01
SARSA,pro26_bde_p2,0.2,0.001,0.1,0,0.6666666666666666,0,1.0,0.1
SARSA,pro26_bde_p2,0.3,0.001,0.1,0,0.7619047619047619,0,1.0,0.1
SARSA,pro26_bde_p2,0.4,0.0001,0.99,0,0.7222222222222222,0,1.0,0.1
SARSA,pro26_bde_p2,0.5,0.0001,0.8,0,0.6666666666666666,0,1.0,0.1
SARSA,pro26_bde_p2,0.6,0.0001,0.1,0,0.6666666666666666,0,1.0,0.1
SARSA,pro26_bde_p2,0.7,0.0001,0.2,0,0.5555555555555556,0,1.0,0.1
SARSA,pro26_bde_p2,0.8,0.001,0.2,0,0.3333333333333333,0,1.0,0.1
SARSA,pro26_bde_p2,0.9,0.0001,0.1,0,0.6666666666666666,0,1.0,0.1
SARSA,pro16_bce_p2,0.05,0.0001,0.05,0,0.34375,0,1.0,1
SARSA,pro16_bce_p2,0.1,0.0001,0.1,0,0.4666666666666667,0,1.0,0.7
SARSA,pro16_bce_p2,0.2,0.001,0.99,0,0.7037037037037037,0,1.0,0.7
SARSA,pro16_bce_p2,0.3,0.1,0.05,0,0.5833333333333334,0,1.0,0.5
SARSA,pro16_bce_p2,0.4,0.0001,0.2,0,0.8,0,1.0,0.1
SARSA,pro16_bce_p2,0.5,0.5,0.2,0,0.8235294117647058,0,1.0,0.1
SARSA,pro16_bce_p2,0.6,0.0001,0.9,0,0.8571428571428571,0,1.0,0.1
SARSA,pro16_bce_p2,0.7,0.0001,0.8,0,0.9,0,1.0,0.1
SARSA,pro16_bce_p2,0.8,0.5,0.2,0,1.0,0,1.0,0.1
SARSA,pro16_bce_p2,0.9,0.001,0.05,0,1.0,0,1.0,0.05
SARSA,pro28_bce_p2,0.05,0.0001,0.05,0,0.5833333333333334,0,1.0,0.01
SARSA,pro28_bce_p2,0.1,0.0001,0.2,0,0.29411764705882354,0,1.0,1.0
SARSA,pro28_bce_p2,0.2,0.001,0.1,0,0.36666666666666664,0,1.0,0.7
SARSA,pro28_bce_p2,0.3,0.5,0.5,0,0.7692307692307693,0,1.0,0.05
SARSA,pro28_bce_p2,0.4,1.0,0.1,0,0.8260869565217391,0,1.0,0.05
SARSA,pro28_bce_p2,0.5,0.0001,0.8,0,0.42105263157894735,0,1.0,0.1
SARSA,pro28_bce_p2,0.6,0.01,0.5,0,0.4,0,1.0,0.1
SARSA,pro28_bce_p2,0.7,0.01,0.5,0,0.25,0,1.0,0.01
SARSA,pro28_bce_p2,0.8,0.5,0.5,0,1.0,0,1.0,0.01
SARSA,pro28_bce_p2,0.9,0.5,0.05,0,1.0,0,1.0,0.1
SARSA,pro10_bdf_p2,0.05,0.0001,0.05,0,0.7631578947368421,0,1.0,0.01
SARSA,pro10_bdf_p2,0.1,0.0001,0.1,0,0.5,0,1.0,0.7
SARSA,pro10_bdf_p2,0.2,0.0001,0.1,0,0.78125,0,1.0,0.05
SARSA,pro10_bdf_p2,0.3,0.0001,0.1,0,0.8571428571428571,0,1.0,0.1
SARSA,pro10_bdf_p2,0.4,0.0001,0.9,0,0.875,0,1.0,0.1
SARSA,pro10_bdf_p2,0.5,0.0001,0.2,0,0.9,0,1.0,0.1
SARSA,pro10_bdf_p2,0.6,0.0001,0.05,0,0.875,0,1.0,0.1
SARSA,pro10_bdf_p2,0.7,0.0001,0.05,0,0.8333333333333334,0,1.0,0.1
SARSA,pro10_bdf_p2,0.8,0.0001,0.05,0,0.75,0,1.0,0.1
SARSA,pro10_bdf_p2,0.9,0.0001,0.1,0,1.0,0,1.0,0.01
SARSA,pro14_bdf_p2,0.05,0.0001,0.05,0,0.35555555555555557,0,1.0,0.01
SARSA,pro14_bdf_p2,0.1,0.001,0.5,0,0.4186046511627907,0,1.0,0.5
SARSA,pro14_bdf_p2,0.2,0.001,0.1,0,0.34210526315789475,0,1.0,0.1
