User,Accuracy,Threshold,LearningRate,Discount,Algorithm
pro10_bdf_p3,0.12987012987012986,0.1,0,0,HMM
pro10_bdf_p3,0.05365853658536585,0.2,0,0,HMM
pro10_bdf_p3,0.07222222222222222,0.3,0,0,HMM
pro10_bdf_p3,0.18831168831168832,0.4,0,0,HMM
pro10_bdf_p3,0.24806201550387597,0.5,0,0,HMM
pro10_bdf_p3,0.18446601941747573,0.6,0,0,HMM
pro10_bdf_p3,0.1282051282051282,0.7,0,0,HMM
pro10_bdf_p3,0.5769230769230769,0.8,0,0,HMM
pro11_bcf_p3,0.23809523809523808,0.1,0,0,HMM
pro11_bcf_p3,0.13978494623655913,0.2,0,0,HMM
pro11_bcf_p3,0.06097560975609756,0.3,0,0,HMM
pro11_bcf_p3,0.04285714285714286,0.4,0,0,HMM
pro11_bcf_p3,0.3898305084745763,0.5,0,0,HMM
pro11_bcf_p3,0.2765957446808511,0.6,0,0,HMM
pro11_bcf_p3,0.3055555555555556,0.7,0,0,HMM
pro11_bcf_p3,0.125,0.8,0,0,HMM
pro12_bdf_p3,0.32142857142857145,0.1,0,0,HMM
pro12_bdf_p3,0.4,0.2,0,0,HMM
pro12_bdf_p3,0.11363636363636363,0.3,0,0,HMM
pro12_bdf_p3,0.10526315789473684,0.4,0,0,HMM
pro12_bdf_p3,0.15625,0.5,0,0,HMM
pro12_bdf_p3,0.19230769230769232,0.6,0,0,HMM
pro12_bdf_p3,0.1,0.7,0,0,HMM
pro12_bdf_p3,0.6428571428571429,0.8,0,0,HMM
pro14_bdf_p3,0.13432835820895522,0.1,0,0,HMM
pro14_bdf_p3,0.35,0.2,0,0,HMM
pro14_bdf_p3,0.4339622641509434,0.3,0,0,HMM
pro14_bdf_p3,0.3333333333333333,0.4,0,0,HMM
pro14_bdf_p3,0.34210526315789475,0.5,0,0,HMM
pro14_bdf_p3,0.41935483870967744,0.6,0,0,HMM
pro14_bdf_p3,0.391304347826087,0.7,0,0,HMM
pro14_bdf_p3,0.4375,0.8,0,0,HMM
pro16_bce_p3,0.3968253968253968,0.1,0,0,HMM
pro16_bce_p3,0.5178571428571429,0.2,0,0,HMM
pro16_bce_p3,0.5408163265306123,0.3,0,0,HMM
pro16_bce_p3,0.5476190476190477,0.4,0,0,HMM
pro16_bce_p3,0.5142857142857142,0.5,0,0,HMM
pro16_bce_p3,0.543859649122807,0.6,0,0,HMM
pro16_bce_p3,0.5348837209302325,0.7,0,0,HMM
pro16_bce_p3,0.41379310344827586,0.8,0,0,HMM
pro19_bcf_p3,0.3902439024390244,0.1,0,0,HMM
pro19_bcf_p3,0.31402439024390244,0.2,0,0,HMM
pro19_bcf_p3,0.3310104529616725,0.3,0,0,HMM
pro19_bcf_p3,0.35772357723577236,0.4,0,0,HMM
pro19_bcf_p3,0.25853658536585367,0.5,0,0,HMM
pro19_bcf_p3,0.3212121212121212,0.6,0,0,HMM
pro19_bcf_p3,0.3951612903225806,0.7,0,0,HMM
pro19_bcf_p3,0.27710843373493976,0.8,0,0,HMM
pro1_bcf_p3,0.2328767123287671,0.1,0,0,HMM
pro1_bcf_p3,0.1076923076923077,0.2,0,0,HMM
pro1_bcf_p3,0.13157894736842105,0.3,0,0,HMM
pro1_bcf_p3,0.16326530612244897,0.4,0,0,HMM
pro1_bcf_p3,0.2926829268292683,0.5,0,0,HMM
pro1_bcf_p3,0.21212121212121213,0.6,0,0,HMM
pro1_bcf_p3,0.24,0.7,0,0,HMM
pro1_bcf_p3,0.2647058823529412,0.8,0,0,HMM
