User,Accuracy,LearningRate,Discount,Algorithm
pro10_bdf_p3,0.5866141732283464,0,0,HMM
pro11_bcf_p3,0.6228070175438597,0,0,HMM
pro12_bdf_p3,0.5409836065573771,0,0,HMM
pro14_bdf_p3,0.4520547945205479,0,0,HMM
pro16_bce_p3,0.6204379562043796,0,0,HMM
pro19_bcf_p3,0.6200980392156863,0,0,HMM
pro1_bcf_p3,0.6086956521739131,0,0,HMM
pro26_bde_p3,0.4583333333333333,0,0,HMM
pro27_bcf_p3,0.6243386243386243,0,0,HMM
pro28_bce_p3,0.6029411764705882,0,0,HMM
pro2_bce_p3,0.4295774647887324,0,0,HMM
pro30_bde_p3,0.7131782945736435,0,0,HMM
pro32_bdf_p3,0.5320754716981132,0,0,HMM
pro4_bce_p3,0.5946969696969697,0,0,HMM
pro6_bde_p3,0.6296296296296297,0,0,HMM
pro7_bde_p3,0.75,0,0,HMM
stu12_bdf_p3,0.68,0,0,HMM
stu14_bcf_p3,0.5804597701149425,0,0,HMM
stu16_bcf_p3,0.6935483870967742,0,0,HMM
stu18_bde_p3,0.6344086021505376,0,0,HMM
stu19_bde_p3,0.7058823529411765,0,0,HMM
stu1_bce_p3,0.6149068322981367,0,0,HMM
stu20_bdf_p3,0.48148148148148145,0,0,HMM
stu22_bde_p3,0.5754716981132075,0,0,HMM
stu23_bdf_p3,0.5698924731182796,0,0,HMM
stu27_bdf_p3,0.563169164882227,0,0,HMM
stu28_bde_p3,0.5506329113924051,0,0,HMM
stu2_bce_p3,0.6826923076923077,0,0,HMM
stu32_bce_p3,0.6073059360730594,0,0,HMM
stu33_bce_p3,0.27586206896551724,0,0,HMM
stu34_bcf_p3,0.33962264150943394,0,0,HMM
stu35_bde_p3,0.4375,0,0,HMM
stu40_bdf_p3,0.6276595744680851,0,0,HMM
stu5_bcf_p3,0.56,0,0,HMM
stu8_bce_p3,0.6456692913385826,0,0,HMM
stu9_bcf_p3,0.6949152542372882,0,0,HMM
