Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro12_bdf_p3,0.05,0.0001,0.1,,0.3620689655172414,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.1,0.01,0.9,,0.4909090909090909,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.2,0.01,0.05,,0.4897959183673469,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.3,0.001,0.5,,0.4883720930232558,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.4,0.01,0.2,,0.40540540540540543,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.5,0.01,0.2,,0.2903225806451613,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.6,0.01,0.05,,0.52,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.7,0.01,0.05,,0.42105263157894735,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.8,0.01,0.2,,0.38461538461538464,"[None, None, None]",0
Reinforce,pro12_bdf_p3,0.9,0.001,0.2,,0.42857142857142855,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.05,0.0001,0.2,,0.4,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.1,0.01,0.05,,0.2878787878787879,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.2,0.01,0.05,,0.6101694915254238,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.3,0.001,0.1,,0.5961538461538461,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.4,0.01,0.2,,0.6818181818181818,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.5,0.01,0.9,,0.5405405405405406,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.6,0.5,0.1,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.7,0.01,0.1,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.8,0.01,0.05,,0.5333333333333333,"[None, None, None]",0
Reinforce,pro14_bdf_p3,0.9,0.1,0.2,,0.625,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.05,0.0001,0.9,,0.3181818181818182,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.1,0.01,0.2,,0.34615384615384615,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.2,0.1,0.9,,0.6956521739130435,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.3,0.01,0.5,,0.6790123456790124,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.4,0.001,0.5,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.5,0.01,0.05,,0.6724137931034483,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.6,0.01,0.05,,0.6521739130434783,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.7,0.01,0.05,,0.6571428571428571,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.8,0.01,0.8,,0.7391304347826086,"[None, None, None]",0
Reinforce,pro11_bcf_p3,0.9,0.01,0.9,,0.75,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.05,0.01,0.05,,0.5,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.1,0.01,0.05,,0.504,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.2,0.1,0.5,,0.5045045045045045,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.3,0.01,0.9,,0.4845360824742268,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.4,0.1,0.05,,0.5060240963855421,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.5,0.01,0.05,,0.5942028985507246,"[None, None, None]",0
Reinforce,pro16_bce_p3,0.6,0.01,0.05,,0.5714285714285714,"[None, None, None]",0
