User,Accuracy,Algorithm
pro13_ace_p1,0.72,Momentum
pro15_ade_p1,0.56,Momentum
pro17_ace_p1,0.5660377358490566,Momentum
pro18_adf_p1,0.62,Momentum
pro20_ade_p1,0.5833333333333334,Momentum
pro21_ade_p1,0.7415730337078652,Momentum
pro22_ade_p1,0.582089552238806,Momentum
pro23_acf_p1,0.6,Momentum
pro24_adf_p1,0.5151515151515151,Momentum
pro25_acf_p1,0.5555555555555556,Momentum
pro29_ace_p1,0.5104166666666666,Momentum
pro31_adf_p1,0.5769230769230769,Momentum
pro3_ace_p1,0.41935483870967744,Momentum
pro5_adf_p1,0.5797101449275363,Momentum
pro8_acf_p1,0.38738738738738737,Momentum
pro9_acf_p1,0.5833333333333334,Momentum
stu10_acf_p1,0.559322033898305,Momentum
stu11_adf_p1,0.5833333333333334,Momentum
stu13_acf_p1,0.5263157894736842,Momentum
stu15_ade_p1,0.7096774193548387,Momentum
stu17_ace_p1,0.42857142857142855,Momentum
stu21_ace_p1,0.2857142857142857,Momentum
stu24_ace_p1,0.5454545454545454,Momentum
stu25_ace_p1,0.6851851851851852,Momentum
stu26_ace_p1,0.72,Momentum
stu29_ade_p1,0.75,Momentum
stu30_adf_p1,0.8461538461538461,Momentum
stu31_ade_p1,0.6875,Momentum
stu36_adf_p1,0.5714285714285714,Momentum
stu37_adf_p1,0.7857142857142857,Momentum
stu38_acf_p1,0.5645161290322581,Momentum
stu39_adf_p1,0.5416666666666666,Momentum
stu3_acf_p1,0.6666666666666666,Momentum
stu4_ade_p1,0.8,Momentum
stu6_acf_p1,0.5185185185185185,Momentum
stu7_ade_p1,0.4690265486725664,Momentum
