User,Accuracy,Algorithm,Predictions,Ground_Truth
pro13_ace_p1,0.2,WSLS,"['same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","[None, 'modify-1', None, None, 'same', 'same', None, 'modify-3', None, None, None, 'modify-3', 'modify-3', 'same', 'same', 'modify-3', 'modify-2', 'modify-2', 'same', 'modify-3', 'modify-1', 'modify-1', 'modify-3', 'modify-2', 'modify-3']"
pro15_ade_p1,0.12,WSLS,"['same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-2', 'same', 'modify-2', 'modify-1', 'same', 'modify-1', 'same', 'same']","[None, 'modify-2', 'modify-3', 'modify-1', 'modify-2', None, None, None, 'modify-2', 'modify-2', 'modify-1', 'modify-1', 'same', 'same', 'modify-3', 'modify-3', None, None, 'modify-3', 'same', None, 'same', 'same', None, None]"
pro17_ace_p1,0.16981132075471697,WSLS,"['modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","[None, None, None, 'modify-3', 'modify-3', None, None, None, None, 'modify-1', None, 'modify-3', None, None, 'modify-1', None, None, 'same', 'same', 'modify-2', None, None, None, 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'same', 'same', 'modify-3', 'modify-3', None, None, 'same', None, None, 'modify-3', 'modify-3', None, None, None, None, None, None, None, 'same', 'modify-3', 'modify-3', 'same', 'modify-2', 'modify-2', 'modify-1']"
pro18_adf_p1,0.24,WSLS,"['same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-2', 'same', 'same', 'same', 'modify-2', 'modify-2', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same']","[None, None, None, None, None, 'same', 'same', 'modify-2', 'modify-3', 'modify-2', 'same', 'modify-2', 'modify-1', 'modify-1', 'modify-2', 'modify-3', 'modify-3', 'modify-1', 'modify-3', 'modify-1', 'modify-3', 'modify-2', 'same', 'modify-1', None, None, 'modify-1', 'modify-2', 'modify-3', 'modify-1', 'modify-1', 'modify-2', None, None, 'modify-2', 'modify-2', 'modify-2', None, None, 'modify-1', 'modify-3', 'modify-2', None, None, None, None, 'modify-2', 'modify-2', None, 'modify-1']"
pro20_ade_p1,0.16666666666666666,WSLS,"['same', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same']","[None, None, None, None, None, None, None, None, 'modify-3', 'modify-2', 'modify-2', 'same', 'modify-3', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'modify-3', 'modify-2', 'modify-3', None, None, 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-3', 'modify-3', 'same', None, None, 'modify-2']"
pro21_ade_p1,0.20224719101123595,WSLS,"['modify-1', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","[None, None, None, None, None, None, None, None, 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'same', 'modify-2', 'modify-3', 'modify-3', 'modify-2', 'same', 'modify-2', 'modify-3', 'same', 'modify-2', 'modify-3', 'modify-1', None, None, 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-1', 'modify-3', 'modify-1', 'modify-2', 'modify-1', 'modify-3', 'modify-1', 'modify-3', 'modify-3', 'same', 'modify-3', 'same', 'modify-2', 'same', None, None, 'modify-2', None, None, None, 'modify-3', 'modify-3', None, 'modify-2', 'modify-3', 'modify-3', 'modify-2', 'modify-1', 'modify-1', 'modify-3', 'same', 'same', 'modify-3', 'modify-1', 'modify-2', 'same', 'modify-2', 'modify-3', 'modify-2', 'modify-1', 'modify-3', 'modify-1', 'modify-2', 'modify-3', 'modify-1', None, None, 'modify-2', 'modify-2', 'modify-3', 'modify-3', 'modify-2']"
pro22_ade_p1,0.23880597014925373,WSLS,"['same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'same', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-1', 'same', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same']","[None, None, None, None, 'modify-3', None, 'modify-2', 'modify-3', None, None, 'modify-2', None, None, 'modify-3', None, None, 'modify-2', 'modify-1', 'same', 'same', None, None, 'modify-2', 'modify-2', 'same', 'same', 'modify-3', 'modify-3', None, None, 'modify-2', 'modify-2', 'modify-3', 'modify-3', 'modify-1', 'same', 'same', 'modify-2', 'same', 'modify-3', 'modify-1', 'modify-1', None, 'same', 'modify-1', None, 'modify-3', 'modify-1', None, 'modify-2', 'modify-3', None, None, 'same', 'modify-2', 'same', 'modify-2', 'modify-3', 'modify-1', 'modify-2', 'modify-1', 'modify-2', 'same', 'modify-2', 'modify-3', 'modify-2', 'same']"
pro23_acf_p1,0.2,WSLS,"['modify-1', 'same', 'same', 'modify-1', 'modify-1', 'modify-2', 'modify-2', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'same', 'modify-2', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'modify-2', 'same']","[None, None, None, 'same', None, None, None, None, None, 'same', 'modify-3', 'modify-3', 'modify-1', 'modify-1', 'modify-3', 'same', 'modify-2', 'modify-2', 'modify-3', 'same', None, None, 'same', 'same', 'modify-2', None, None, 'modify-3', 'modify-3', 'same', 'modify-1', 'modify-2', 'modify-2', 'modify-3', 'modify-3', 'same', 'modify-3', 'modify-1', 'modify-3', 'modify-2', 'modify-1', 'modify-3', 'same', 'same', 'modify-3', 'modify-3', 'modify-1', 'modify-1', None, 'modify-2', 'modify-2', 'modify-3', 'modify-2', 'modify-3', None]"
pro24_adf_p1,0.18181818181818182,WSLS,"['modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'same', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'modify-1', 'same', 'modify-2', 'same', 'same', 'modify-1', 'modify-1', 'same', 'same', 'modify-1', 'modify-1', 'same', 'modify-1', 'modify-2', 'modify-2', 'same', 'same', 'same', 'same', 'same']","[None, None, None, 'modify-1', 'modify-1', None, None, None, 'modify-1', 'modify-1', None, 'modify-2', 'modify-2', 'modify-3', None, None, None, None, 'modify-1', None, None, None, 'same', 'modify-1', 'same', 'modify-1', 'same', None, 'modify-3', 'modify-1', 'modify-2', 'modify-2', 'modify-3']"
pro25_acf_p1,0.1111111111111111,WSLS,"['same', 'modify-1', 'modify-1', 'modify-1', 'same', 'same', 'same', 'same', 'same']","[None, None, None, 'modify-2', None, None, 'modify-3', 'modify-3', 'same']"
