User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p2,0.5925925925925926,0.05,,,Naive,0,
pro13_ace_p2,0.5769230769230769,0.1,,,Naive,0,
pro13_ace_p2,0.5652173913043478,0.2,,,Naive,0,
pro13_ace_p2,0.6,0.3,,,Naive,0,
pro13_ace_p2,0.7058823529411765,0.4,,,Naive,0,
pro13_ace_p2,0.7857142857142857,0.5,,,Naive,0,
pro13_ace_p2,0.8333333333333334,0.6,,,Naive,0,
pro13_ace_p2,0.888888888888889,0.7,,,Naive,0,
pro13_ace_p2,1.0,0.8,,,Naive,0,
pro13_ace_p2,1.0,0.9,,,Naive,0,
pro15_ade_p2,0.6666666666666666,0.05,,,Naive,0,
pro15_ade_p2,0.6888888888888889,0.1,,,Naive,0,
pro15_ade_p2,0.7,0.2,,,Naive,0,
pro15_ade_p2,0.6857142857142857,0.3,,,Naive,0,
pro15_ade_p2,0.8,0.4,,,Naive,0,
pro15_ade_p2,0.76,0.5,,,Naive,0,
pro15_ade_p2,0.7,0.6,,,Naive,0,
pro15_ade_p2,0.8,0.7,,,Naive,0,
pro15_ade_p2,0.7,0.8,,,Naive,0,
pro15_ade_p2,0.8,0.9,,,Naive,0,
pro17_ace_p2,0.7078651685393258,0.05,,,Naive,0,
pro17_ace_p2,0.6904761904761905,0.1,,,Naive,0,
pro17_ace_p2,0.6666666666666666,0.2,,,Naive,0,
pro17_ace_p2,0.6515151515151515,0.3,,,Naive,0,
pro17_ace_p2,0.6607142857142857,0.4,,,Naive,0,
pro17_ace_p2,0.7021276595744681,0.5,,,Naive,0,
pro17_ace_p2,0.6842105263157895,0.6,,,Naive,0,
pro17_ace_p2,0.6428571428571429,0.7,,,Naive,0,
pro17_ace_p2,0.6842105263157895,0.8,,,Naive,0,
pro17_ace_p2,0.6,0.9,,,Naive,0,
pro18_adf_p2,0.8518518518518519,0.05,,,Naive,0,
pro18_adf_p2,0.8461538461538461,0.1,,,Naive,0,
pro18_adf_p2,0.826086956521739,0.2,,,Naive,0,
pro18_adf_p2,0.85,0.3,,,Naive,0,
pro18_adf_p2,0.8823529411764707,0.4,,,Naive,0,
pro18_adf_p2,1.0,0.5,,,Naive,0,
pro18_adf_p2,1.0,0.6,,,Naive,0,
pro18_adf_p2,1.0,0.7,,,Naive,0,
pro18_adf_p2,1.0,0.8,,,Naive,0,
pro18_adf_p2,1.0,0.9,,,Naive,0,
pro20_ade_p2,0.6363636363636364,0.05,,,Naive,0,
pro20_ade_p2,0.6349206349206349,0.1,,,Naive,0,
pro20_ade_p2,0.6607142857142857,0.2,,,Naive,0,
pro20_ade_p2,0.6530612244897959,0.3,,,Naive,0,
pro20_ade_p2,0.6428571428571429,0.4,,,Naive,0,
pro20_ade_p2,0.7142857142857143,0.5,,,Naive,0,
pro20_ade_p2,0.7142857142857143,0.6,,,Naive,0,
pro20_ade_p2,0.7619047619047619,0.7,,,Naive,0,
pro20_ade_p2,0.8571428571428571,0.8,,,Naive,0,
pro20_ade_p2,1.0,0.9,,,Naive,0,
pro21_ade_p2,0.64,0.05,,,Naive,0,
pro21_ade_p2,0.647887323943662,0.1,,,Naive,0,
pro21_ade_p2,0.6507936507936508,0.2,,,Naive,0,
pro21_ade_p2,0.6,0.3,,,Naive,0,
pro21_ade_p2,0.6170212765957447,0.4,,,Naive,0,
pro21_ade_p2,0.6666666666666666,0.5,,,Naive,0,
pro21_ade_p2,0.6875,0.6,,,Naive,0,
pro21_ade_p2,0.7083333333333334,0.7,,,Naive,0,
pro21_ade_p2,0.75,0.8,,,Naive,0,
pro21_ade_p2,0.875,0.9,,,Naive,0,
pro22_ade_p2,0.5119047619047619,0.05,,,Naive,0,
pro22_ade_p2,0.5125,0.1,,,Naive,0,
pro22_ade_p2,0.4788732394366197,0.2,,,Naive,0,
pro22_ade_p2,0.4838709677419355,0.3,,,Naive,0,
pro22_ade_p2,0.41509433962264153,0.4,,,Naive,0,
pro22_ade_p2,0.47727272727272735,0.5,,,Naive,0,
pro22_ade_p2,0.5,0.6,,,Naive,0,
pro22_ade_p2,0.5555555555555556,0.7,,,Naive,0,
pro22_ade_p2,0.5555555555555556,0.8,,,Naive,0,
pro22_ade_p2,0.6666666666666666,0.9,,,Naive,0,
pro23_acf_p2,0.5816326530612245,0.05,,,Naive,0,
pro23_acf_p2,0.5806451612903226,0.1,,,Naive,0,
pro23_acf_p2,0.6265060240963856,0.2,,,Naive,0,
pro23_acf_p2,0.6301369863013698,0.3,,,Naive,0,
