Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro24_adf_p2,0.05,0.0001,0.05,0,0.6521739130434783,0,1.0212765957446805,0.01
QLearn,pro24_adf_p2,0.1,0.0001,0.99,0,0.6363636363636364,0,1.0222222222222221,0.7
QLearn,pro24_adf_p2,0.2,0.0001,0.9,0,0.65,0,1.024390243902439,0.05
QLearn,pro24_adf_p2,0.3,0.01,0.05,0,0.7058823529411765,0,1.0285714285714285,0.1
QLearn,pro24_adf_p2,0.4,0.1,0.99,0,0.6666666666666666,0,1.032258064516129,0.05
QLearn,pro24_adf_p2,0.5,1.0,0.1,0,0.75,0,1.04,0.1
QLearn,pro24_adf_p2,0.6,0.0001,0.8,0,0.7,0,1.0476190476190477,0.05
QLearn,pro24_adf_p2,0.7,0.0001,0.05,0,0.625,0,1.0588235294117647,0.05
QLearn,pro24_adf_p2,0.8,0.001,0.5,0,0.8,0,1.090909090909091,0.05
QLearn,pro24_adf_p2,0.9,0.5,0.1,0,1.0,0,1.1428571428571428,0.05
QLearn,pro25_acf_p2,0.05,0.0001,0.05,0,0.5833333333333334,0,1.0204081632653061,0.01
QLearn,pro25_acf_p2,0.1,0.0001,0.05,0,0.5652173913043478,0,1.0212765957446808,0.01
QLearn,pro25_acf_p2,0.2,1.0,0.2,0,0.55,0,1.024390243902439,0.1
QLearn,pro25_acf_p2,0.3,0.0001,0.1,0,0.6111111111111112,0,1.0270270270270272,0.05
QLearn,pro25_acf_p2,0.4,0.0001,0.5,0,0.5333333333333333,0,1.032258064516129,0.1
QLearn,pro25_acf_p2,0.5,0.0001,0.05,0,0.46153846153846156,0,1.0370370370370372,0.1
QLearn,pro25_acf_p2,0.6,0.0001,0.05,0,0.6,0,1.047619047619048,0.05
QLearn,pro25_acf_p2,0.7,0.0001,0.5,0,0.75,0,1.0588235294117647,0.1
QLearn,pro25_acf_p2,0.8,0.0001,0.5,0,0.6,0,1.0909090909090908,0.5
QLearn,pro25_acf_p2,0.9,0.0001,0.5,0,1.0,0,1.1428571428571428,0.1
QLearn,pro18_adf_p2,0.05,0.0001,0.05,0,0.8518518518518519,0,1.0181818181818183,0.01
QLearn,pro18_adf_p2,0.1,0.0001,0.05,0,0.8461538461538461,0,1.0188679245283019,0.01
QLearn,pro18_adf_p2,0.2,0.0001,0.05,0,0.8695652173913043,0,1.021276595744681,0.01
QLearn,pro18_adf_p2,0.3,0.001,0.1,0,0.85,0,1.0243902439024388,0.01
QLearn,pro18_adf_p2,0.4,0.0001,0.2,0,0.8823529411764706,0,1.0285714285714287,0.1
QLearn,pro18_adf_p2,0.5,0.01,0.1,0,0.7857142857142857,0,1.0344827586206897,0.7
QLearn,pro18_adf_p2,0.6,0.0001,0.05,0,1.0,0,1.0399999999999998,0.01
QLearn,pro18_adf_p2,0.7,0.0001,0.05,0,1.0,0,1.0526315789473684,0.1
QLearn,pro18_adf_p2,0.8,0.01,0.1,0,1.0,0,1.076923076923077,0.1
QLearn,pro18_adf_p2,0.9,0.0001,0.5,0,1.0,0,1.1428571428571428,0.05
QLearn,pro13_ace_p2,0.05,0.0001,0.2,0,0.4074074074074074,0,1.018181818181818,0.7
QLearn,pro13_ace_p2,0.1,0.0001,0.1,0,0.38461538461538464,0,1.0188679245283019,0.7
QLearn,pro13_ace_p2,0.2,0.5,0.2,0,0.6086956521739131,0,1.0212765957446808,0.05
QLearn,pro13_ace_p2,0.3,0.0001,0.99,0,0.5,0,1.024390243902439,0.7
QLearn,pro13_ace_p2,0.4,0.001,0.9,0,0.5294117647058824,0,1.0285714285714287,0.5
QLearn,pro13_ace_p2,0.5,1.0,0.9,0,0.35714285714285715,0,1.0344827586206895,1.0
QLearn,pro13_ace_p2,0.6,0.0001,0.99,0,0.8333333333333334,0,1.04,0.1
QLearn,pro13_ace_p2,0.7,0.001,0.99,0,0.8888888888888888,0,1.0526315789473684,0.1
QLearn,pro13_ace_p2,0.8,0.01,0.5,0,1.0,0,1.0769230769230769,0.5
QLearn,pro13_ace_p2,0.9,0.001,0.05,0,1.0,0,1.1428571428571428,0.05
QLearn,pro15_ade_p2,0.05,0.0001,0.05,0,0.5208333333333334,0,1.0103092783505156,0.7
QLearn,pro15_ade_p2,0.1,0.0001,0.1,0,0.5777777777777777,0,1.0109890109890112,0.5
QLearn,pro15_ade_p2,0.2,0.001,0.05,0,0.575,0,1.0123456790123455,0.5
QLearn,pro15_ade_p2,0.3,0.5,0.1,0,0.5428571428571428,0,1.0140845070422535,0.5
QLearn,pro15_ade_p2,0.4,0.5,0.2,0,0.7333333333333333,0,1.0163934426229508,0.1
QLearn,pro15_ade_p2,0.5,0.5,0.5,0,0.8,0,1.019607843137255,0.1
QLearn,pro15_ade_p2,0.6,1.0,0.5,0,0.6,0,1.0243902439024388,0.1
QLearn,pro15_ade_p2,0.7,0.01,0.05,0,0.8,0,1.032258064516129,0.05
QLearn,pro15_ade_p2,0.8,1.0,0.05,0,0.5,0,1.0476190476190474,0.1
QLearn,pro15_ade_p2,0.9,0.5,0.1,0,0.8,0,1.0909090909090908,0.1
QLearn,pro31_adf_p2,0.05,0.0001,0.05,0,0.5,0,1.0344827586206897,0.01
QLearn,pro31_adf_p2,0.1,0.0001,0.05,0,0.46153846153846156,0,1.037037037037037,0.01
QLearn,pro31_adf_p2,0.2,0.0001,0.1,0,0.5833333333333334,0,1.04,0.7
QLearn,pro31_adf_p2,0.3,0.5,0.5,0,0.4,0,1.0476190476190474,0.7
QLearn,pro31_adf_p2,0.4,0.001,0.05,0,0.6666666666666666,0,1.0526315789473686,0.5
QLearn,pro31_adf_p2,0.5,0.1,0.2,0,0.5714285714285714,0,1.0666666666666667,0.7
QLearn,pro31_adf_p2,0.6,0.001,0.9,0,0.6666666666666666,0,1.0769230769230769,0.5
QLearn,pro31_adf_p2,0.7,0.01,0.5,0,0.8,0,1.0909090909090908,0.05
QLearn,pro31_adf_p2,0.8,0.0001,0.9,0,0.6666666666666666,0,1.142857142857143,0.1
