data/zheng/processed_interactions_p2/pro17_ace_p2_logs.csv,0.6236559139784946,defaultdict(None, {'same': (65, 0.8461538461538461), 'modify-1': (26, 0.11538461538461539), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro23_acf_p2_logs.csv,0.6504854368932039,defaultdict(None, {'modify-1': (19, 0.2631578947368421), 'same': (61, 0.9836065573770492), 'modify-2': (20, 0.1), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p2/pro13_ace_p2_logs.csv,0.5714285714285714,defaultdict(None, {'modify-1': (8, 0.0), 'same': (16, 1.0), 'modify-2': (2, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro20_ade_p2_logs.csv,0.6811594202898551,defaultdict(None, {'same': (45, 1.0), 'modify-1': (21, 0.047619047619047616), 'modify-2': (3, 0.3333333333333333)})
data/zheng/processed_interactions_p2/pro21_ade_p2_logs.csv,0.6538461538461539,defaultdict(None, {'same': (50, 0.98), 'modify-1': (20, 0.05), 'modify-2': (6, 0.0), 'modify-3': (2, 0.5)})
data/zheng/processed_interactions_p2/pro24_adf_p2_logs.csv,0.7083333333333334,defaultdict(None, {'same': (16, 0.9375), 'modify-1': (5, 0.2), 'modify-2': (3, 0.3333333333333333)})
data/zheng/processed_interactions_p2/pro22_ade_p2_logs.csv,0.5340909090909091,defaultdict(None, {'modify-1': (39, 0.07692307692307693), 'same': (44, 1.0), 'modify-2': (5, 0.0)})
data/zheng/processed_interactions_p2/pro15_ade_p2_logs.csv,0.6,defaultdict(None, {'same': (33, 0.8181818181818182), 'modify-1': (9, 0.2222222222222222), 'modify-2': (7, 0.14285714285714285), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p2/pro18_adf_p2_logs.csv,0.8571428571428571,defaultdict(None, {'same': (24, 1.0), 'modify-1': (2, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro25_acf_p2_logs.csv,0.48,defaultdict(None, {'same': (15, 0.6666666666666666), 'modify-1': (4, 0.5), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/pro31_adf_p2_logs.csv,0.42857142857142855,defaultdict(None, {'same': (7, 0.8571428571428571), 'modify-1': (5, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro8_acf_p2_logs.csv,0.7401574803149606,defaultdict(None, {'modify-1': (9, 0.0), 'same': (91, 1.0), 'modify-2': (25, 0.12), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro29_ace_p2_logs.csv,0.7142857142857143,defaultdict(None, {'modify-1': (4, 0.0), 'same': (15, 1.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu15_ade_p2_logs.csv,0.5563380281690141,defaultdict(None, {'same': (82, 0.8414634146341463), 'modify-1': (43, 0.16279069767441862), 'modify-2': (17, 0.17647058823529413)})
data/zheng/processed_interactions_p2/pro3_ace_p2_logs.csv,0.4727272727272727,defaultdict(None, {'modify-1': (14, 0.0), 'same': (30, 0.8333333333333334), 'modify-2': (8, 0.125), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p2/stu10_acf_p2_logs.csv,0.6578947368421053,defaultdict(None, {'modify-1': (3, 0.0), 'same': (25, 1.0), 'modify-2': (8, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro5_adf_p2_logs.csv,0.6142857142857143,defaultdict(None, {'same': (50, 0.82), 'modify-1': (6, 0.16666666666666666), 'modify-2': (14, 0.07142857142857142)})
data/zheng/processed_interactions_p2/stu13_acf_p2_logs.csv,0.6363636363636364,defaultdict(None, {'same': (16, 0.875), 'modify-1': (2, 0.0), 'modify-2': (3, 0.0), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p2/pro9_acf_p2_logs.csv,0.625,defaultdict(None, {'same': (15, 0.9333333333333333), 'modify-1': (3, 0.3333333333333333), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/stu11_adf_p2_logs.csv,0.7777777777777778,defaultdict(None, {'modify-1': (5, 0.6), 'same': (11, 0.9090909090909091), 'modify-2': (2, 0.5)})
data/zheng/processed_interactions_p2/stu21_ace_p2_logs.csv,0.4316546762589928,defaultdict(None, {'modify-1': (67, 0.2537313432835821), 'same': (69, 0.6231884057971014), 'modify-2': (3, 0.0)})
data/zheng/processed_interactions_p2/stu25_ace_p2_logs.csv,0.75,defaultdict(None, {'same': (27, 1.0), 'modify-1': (3, 0.0), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/stu24_ace_p2_logs.csv,0.5555555555555556,defaultdict(None, {'same': (21, 0.7142857142857143), 'modify-1': (4, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu17_ace_p2_logs.csv,0.6666666666666666,defaultdict(None, {'same': (12, 0.9166666666666666), 'modify-1': (4, 0.25), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu26_ace_p2_logs.csv,0.7894736842105263,defaultdict(None, {'same': (14, 1.0), 'modify-1': (3, 0.3333333333333333), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu29_ade_p2_logs.csv,0.55,defaultdict(None, {'same': (13, 0.8461538461538461), 'modify-1': (5, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu30_adf_p2_logs.csv,0.7222222222222222,defaultdict(None, {'modify-1': (3, 0.0), 'same': (13, 1.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu31_ade_p2_logs.csv,0.5384615384615384,defaultdict(None, {'same': (24, 0.6666666666666666), 'modify-1': (13, 0.38461538461538464), 'modify-3': (1, 0.0), 'modify-2': (1, 0.0)})
data/zheng/processed_interactions_p2/stu36_adf_p2_logs.csv,0.76,defaultdict(None, {'modify-1': (6, 0.3333333333333333), 'same': (17, 1.0), 'modify-2': (2, 0.0)})
