Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro24_adf_p3,0.05,0.0001,0.1,,0.36486486486486486,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.1,0.0001,0.9,,0.4142857142857143,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.2,0.0001,0.2,,0.45161290322580644,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.3,0.001,0.1,,0.24074074074074073,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.4,0.001,0.8,,0.574468085106383,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.5,0.0001,0.2,,0.5897435897435898,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.6,0.01,0.1,,0.5806451612903226,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.7,0.0001,0.05,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.8,0.001,0.2,,0.8125,"[None, None, None]",0
Reinforce,pro24_adf_p3,0.9,0.001,0.2,,0.75,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.05,0.0001,0.2,,0.4563106796116505,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.1,0.0001,0.9,,0.5408163265306123,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.2,0.0001,0.2,,0.42528735632183906,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.3,0.0001,0.05,,0.3815789473684211,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.4,0.001,0.1,,0.6307692307692307,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.5,0.001,0.2,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.6,0.001,0.2,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.7,0.001,0.8,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.8,0.001,0.05,,0.7272727272727273,"[None, None, None]",0
Reinforce,pro15_ade_p3,0.9,0.001,0.8,,0.6363636363636364,"[None, None, None]",0
