data/zheng/processed_interactions_p3/pro22_ade_p3_logs.csv,0.6243654822335025,defaultdict(None, {'modify-1': (33, 0.09090909090909091), 'same': (122, 0.9016393442622951), 'modify-2': (38, 0.2631578947368421), 'modify-3': (4, 0.0)})
data/zheng/processed_interactions_p3/pro21_ade_p3_logs.csv,0.4580152671755725,defaultdict(None, {'modify-1': (113, 0.2831858407079646), 'same': (112, 0.7589285714285714), 'modify-2': (36, 0.08333333333333333), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p3/pro20_ade_p3_logs.csv,0.6007067137809188,defaultdict(None, {'modify-1': (119, 0.3025210084033613), 'same': (155, 0.8580645161290322), 'modify-2': (9, 0.1111111111111111)})
data/zheng/processed_interactions_p3/pro17_ace_p3_logs.csv,0.6071428571428571,defaultdict(None, {'same': (84, 0.9047619047619048), 'modify-1': (42, 0.19047619047619047), 'modify-2': (11, 0.09090909090909091), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p3/pro23_acf_p3_logs.csv,0.5691489361702128,defaultdict(None, {'modify-1': (19, 0.21052631578947367), 'same': (106, 0.9622641509433962), 'modify-2': (58, 0.017241379310344827), 'modify-3': (5, 0.0)})
data/zheng/processed_interactions_p3/pro15_ade_p3_logs.csv,0.3925233644859813,defaultdict(None, {'modify-1': (51, 0.0392156862745098), 'same': (41, 0.975609756097561), 'modify-2': (14, 0.0), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p3/pro25_acf_p3_logs.csv,0.5079365079365079,defaultdict(None, {'modify-1': (4, 0.25), 'same': (58, 0.9655172413793104), 'modify-2': (59, 0.11864406779661017), 'modify-3': (5, 0.0)})
data/zheng/processed_interactions_p3/pro13_ace_p3_logs.csv,0.640625,defaultdict(None, {'modify-1': (30, 0.03333333333333333), 'same': (81, 0.9629629629629629), 'modify-2': (17, 0.17647058823529413)})
data/zheng/processed_interactions_p3/pro18_adf_p3_logs.csv,0.48360655737704916,defaultdict(None, {'modify-1': (53, 0.18867924528301888), 'same': (49, 0.9387755102040817), 'modify-2': (17, 0.11764705882352941), 'modify-3': (3, 0.3333333333333333)})
data/zheng/processed_interactions_p3/pro24_adf_p3_logs.csv,0.5064935064935064,defaultdict(None, {'modify-1': (15, 0.13333333333333333), 'same': (38, 0.9736842105263158), 'modify-2': (24, 0.0)})
data/zheng/processed_interactions_p3/pro29_ace_p3_logs.csv,0.6685393258426966,defaultdict(None, {'modify-1': (42, 0.023809523809523808), 'same': (128, 0.9140625), 'modify-2': (6, 0.0), 'modify-3': (2, 0.5)})
data/zheng/processed_interactions_p3/pro9_acf_p3_logs.csv,0.6129032258064516,defaultdict(None, {'same': (111, 0.9279279279279279), 'modify-1': (43, 0.23255813953488372), 'modify-2': (25, 0.04), 'modify-3': (7, 0.0)})
data/zheng/processed_interactions_p3/pro5_adf_p3_logs.csv,0.43478260869565216,defaultdict(None, {'same': (38, 0.9736842105263158), 'modify-1': (20, 0.1), 'modify-3': (2, 0.0), 'modify-2': (32, 0.03125)})
data/zheng/processed_interactions_p3/pro31_adf_p3_logs.csv,0.6796116504854369,defaultdict(None, {'modify-1': (10, 0.1), 'same': (72, 0.9444444444444444), 'modify-2': (17, 0.058823529411764705), 'modify-3': (4, 0.0)})
data/zheng/processed_interactions_p3/pro3_ace_p3_logs.csv,0.47761194029850745,defaultdict(None, {'same': (30, 0.8666666666666667), 'modify-1': (35, 0.17142857142857143), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p3/stu10_acf_p3_logs.csv,0.7011494252873564,defaultdict(None, {'modify-1': (11, 0.2727272727272727), 'same': (113, 0.9380530973451328), 'modify-2': (48, 0.2708333333333333), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p3/pro8_acf_p3_logs.csv,0.5304347826086957,defaultdict(None, {'modify-1': (14, 0.0), 'same': (57, 0.9824561403508771), 'modify-2': (43, 0.11627906976744186), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p3/stu13_acf_p3_logs.csv,0.6040268456375839,defaultdict(None, {'same': (78, 0.9615384615384616), 'modify-1': (8, 0.0), 'modify-2': (58, 0.25862068965517243), 'modify-3': (5, 0.0)})
data/zheng/processed_interactions_p3/stu15_ade_p3_logs.csv,0.502262443438914,defaultdict(None, {'same': (109, 0.9357798165137615), 'modify-1': (55, 0.07272727272727272), 'modify-2': (54, 0.09259259259259259), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p3/stu11_adf_p3_logs.csv,0.5902777777777778,defaultdict(None, {'same': (74, 0.972972972972973), 'modify-1': (20, 0.4), 'modify-2': (45, 0.1111111111111111), 'modify-3': (5, 0.0)})
data/zheng/processed_interactions_p3/stu17_ace_p3_logs.csv,0.4666666666666667,defaultdict(None, {'same': (26, 0.9230769230769231), 'modify-1': (21, 0.19047619047619047), 'modify-2': (25, 0.24), 'modify-3': (3, 0.3333333333333333)})
data/zheng/processed_interactions_p3/stu24_ace_p3_logs.csv,0.5568181818181818,defaultdict(None, {'same': (73, 0.8904109589041096), 'modify-1': (92, 0.358695652173913), 'modify-2': (11, 0.0)})
data/zheng/processed_interactions_p3/stu21_ace_p3_logs.csv,0.5684210526315789,defaultdict(None, {'same': (49, 0.9795918367346939), 'modify-1': (23, 0.13043478260869565), 'modify-2': (21, 0.14285714285714285), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p3/stu26_ace_p3_logs.csv,0.64,defaultdict(None, {'modify-1': (57, 0.21052631578947367), 'same': (117, 0.8547008547008547), 'modify-2': (1, 0.0)})
data/zheng/processed_interactions_p3/stu29_ade_p3_logs.csv,0.55,defaultdict(None, {'modify-1': (22, 0.045454545454545456), 'same': (86, 1.0), 'modify-2': (42, 0.023809523809523808), 'modify-3': (10, 0.0)})
data/zheng/processed_interactions_p3/stu25_ace_p3_logs.csv,0.625,defaultdict(None, {'same': (55, 0.8727272727272727), 'modify-1': (26, 0.15384615384615385), 'modify-2': (7, 0.42857142857142855)})
data/zheng/processed_interactions_p3/stu30_adf_p3_logs.csv,0.5223880597014925,defaultdict(None, {'modify-1': (30, 0.06666666666666667), 'same': (70, 0.9571428571428572), 'modify-2': (30, 0.0), 'modify-3': (4, 0.25)})
data/zheng/processed_interactions_p3/stu31_ade_p3_logs.csv,0.3825503355704698,defaultdict(None, {'modify-1': (55, 0.0), 'same': (54, 1.0), 'modify-2': (39, 0.07692307692307693), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p3/stu36_adf_p3_logs.csv,0.4652777777777778,defaultdict(None, {'same': (62, 0.9838709677419355), 'modify-1': (62, 0.08064516129032258), 'modify-2': (18, 0.05555555555555555), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p3/stu37_adf_p3_logs.csv,0.48535564853556484,defaultdict(None, {'modify-1': (104, 0.10576923076923077), 'same': (105, 0.9714285714285714), 'modify-2': (27, 0.1111111111111111), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p3/stu3_acf_p3_logs.csv,0.6959459459459459,defaultdict(None, {'same': (211, 0.966824644549763), 'modify-2': (49, 0.02040816326530612), 'modify-1': (28, 0.03571428571428571), 'modify-3': (8, 0.0)})
data/zheng/processed_interactions_p3/stu38_acf_p3_logs.csv,0.5807860262008734,defaultdict(None, {'modify-1': (39, 0.38461538461538464), 'same': (125, 0.92), 'modify-2': (53, 0.05660377358490566), 'modify-3': (12, 0.0)})
data/zheng/processed_interactions_p3/stu39_adf_p3_logs.csv,0.5306122448979592,defaultdict(None, {'modify-1': (53, 0.22641509433962265), 'same': (99, 0.9191919191919192), 'modify-2': (37, 0.02702702702702703), 'modify-3': (7, 0.0)})
data/zheng/processed_interactions_p3/stu6_acf_p3_logs.csv,0.6095238095238096,defaultdict(None, {'same': (133, 0.9473684210526315), 'modify-1': (18, 0.05555555555555555), 'modify-2': (52, 0.019230769230769232), 'modify-3': (7, 0.0)})
data/zheng/processed_interactions_p3/stu4_ade_p3_logs.csv,0.6375838926174496,defaultdict(None, {'same': (96, 0.9375), 'modify-1': (27, 0.1111111111111111), 'modify-2': (23, 0.0), 'modify-3': (3, 0.6666666666666666)})
