data/zheng/processed_interactions_p4/pro15_ade_p4_logs.csv,0.4298245614035088,defaultdict(None, {'modify-1': (63, 0.0), 'same': (49, 1.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p4/pro18_adf_p4_logs.csv,0.3815789473684211,defaultdict(None, {'modify-1': (47, 0.0), 'same': (29, 1.0)})
data/zheng/processed_interactions_p4/pro13_ace_p4_logs.csv,0.6017699115044248,defaultdict(None, {'modify-1': (37, 0.0), 'same': (68, 1.0), 'modify-2': (8, 0.0)})
data/zheng/processed_interactions_p4/pro22_ade_p4_logs.csv,0.6911764705882353,defaultdict(None, {'same': (94, 1.0), 'modify-1': (30, 0.0), 'modify-2': (12, 0.0)})
data/zheng/processed_interactions_p4/pro25_acf_p4_logs.csv,0.5472972972972973,defaultdict(None, {'same': (81, 1.0), 'modify-1': (19, 0.0), 'modify-2': (46, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p4/pro24_adf_p4_logs.csv,0.6,defaultdict(None, {'same': (66, 1.0), 'modify-1': (26, 0.0), 'modify-2': (15, 0.0), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p4/pro23_acf_p4_logs.csv,0.6090909090909091,defaultdict(None, {'same': (67, 1.0), 'modify-1': (25, 0.0), 'modify-2': (16, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p4/pro21_ade_p4_logs.csv,0.5566343042071198,defaultdict(None, {'same': (174, 0.9885057471264368), 'modify-1': (79, 0.0), 'modify-2': (54, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p4/pro17_ace_p4_logs.csv,0.5567765567765568,defaultdict(None, {'same': (152, 1.0), 'modify-1': (71, 0.0), 'modify-2': (47, 0.0), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p4/pro20_ade_p4_logs.csv,0.6056910569105691,defaultdict(None, {'same': (149, 1.0), 'modify-1': (94, 0.0), 'modify-2': (3, 0.0)})
data/zheng/processed_interactions_p4/pro31_adf_p4_logs.csv,0.42483660130718953,defaultdict(None, {'same': (67, 0.9701492537313433), 'modify-1': (24, 0.0), 'modify-2': (58, 0.0), 'modify-3': (4, 0.0)})
data/zheng/processed_interactions_p4/pro29_ace_p4_logs.csv,0.6234567901234568,defaultdict(None, {'same': (101, 1.0), 'modify-1': (50, 0.0), 'modify-2': (11, 0.0)})
data/zheng/processed_interactions_p4/pro3_ace_p4_logs.csv,0.6026490066225165,defaultdict(None, {'modify-1': (54, 0.018518518518518517), 'same': (90, 1.0), 'modify-2': (7, 0.0)})
data/zheng/processed_interactions_p4/pro5_adf_p4_logs.csv,0.5338983050847458,defaultdict(None, {'modify-1': (15, 0.0), 'same': (63, 1.0), 'modify-3': (1, 0.0), 'modify-2': (39, 0.0)})
data/zheng/processed_interactions_p4/pro9_acf_p4_logs.csv,0.5190839694656488,defaultdict(None, {'same': (68, 1.0), 'modify-1': (43, 0.0), 'modify-2': (17, 0.0), 'modify-3': (3, 0.0)})
