Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
ActorCritic,pro18_adf_p4,0.05,0.0001,0.5,1,0.6027397260273972,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.1,0.1,0.5,1,0.6231884057971014,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.2,0.0001,0.8,1,0.639344262295082,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.3,0.0001,0.99,1,0.6851851851851852,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.4,0.001,0.05,1,0.21739130434782608,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.5,0.0001,0.5,1,0.21052631578947367,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.6,0.001,0.1,1,0.7419354838709677,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.7,0.0001,0.9,1,0.6956521739130435,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.8,0.0001,0.05,1,0.8125,"[None, None, None]",0,0
ActorCritic,pro18_adf_p4,0.9,0.0001,0.05,1,0.625,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.05,0.0001,0.05,1,0.6,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.1,0.01,0.1,1,0.6161616161616161,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.2,0.001,0.5,1,0.125,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.3,0.0001,0.2,1,0.6753246753246753,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.4,0.1,0.9,1,0.3939393939393939,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.5,0.001,0.8,1,0.7818181818181819,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.6,0.0001,0.1,1,0.75,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.7,0.001,0.5,1,0.7878787878787878,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.8,0.0001,0.8,1,0.9090909090909091,"[None, None, None]",0,0
ActorCritic,pro23_acf_p4,0.9,0.5,0.8,1,0.9090909090909091,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.05,0.0001,0.5,1,0.5428571428571428,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.1,0.1,0.8,1,0.6060606060606061,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.2,0.0001,0.05,1,0.5568181818181818,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.3,0.001,0.5,1,0.5454545454545454,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.4,0.001,0.05,1,0.5303030303030303,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.5,0.0001,0.2,1,0.4727272727272727,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.6,0.0001,0.2,1,0.5454545454545454,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.7,0.0001,0.99,1,0.5454545454545454,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.8,0.1,0.05,1,0.6818181818181818,"[None, None, None]",0,0
ActorCritic,pro24_adf_p4,0.9,0.0001,0.99,1,0.6363636363636364,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.05,0.0001,0.05,1,0.375,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.1,0.001,0.8,1,0.3867924528301887,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.2,0.0001,0.2,1,0.43617021276595747,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.3,0.0001,0.8,1,0.5365853658536586,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.4,0.0001,0.2,1,0.5633802816901409,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.5,0.1,0.9,1,0.576271186440678,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.6,0.5,0.05,1,0.5957446808510638,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.7,0.001,0.99,1,0.6111111111111112,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.8,0.5,0.9,1,0.625,"[None, None, None]",0,0
ActorCritic,pro15_ade_p4,0.9,0.01,0.05,1,0.5,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.05,0.1,0.2,1,0.5663716814159292,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.1,0.1,0.2,1,0.5700934579439252,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.2,0.001,0.1,1,0.5789473684210527,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.3,0.1,0.9,1,0.2891566265060241,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.4,0.0001,0.2,1,0.29577464788732394,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.5,0.1,0.9,1,0.2542372881355932,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.6,0.001,0.1,1,0.6666666666666666,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.7,0.001,0.2,1,0.6111111111111112,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.8,0.001,0.5,1,0.4583333333333333,"[None, None, None]",0,0
ActorCritic,pro13_ace_p4,0.9,0.001,0.1,1,0.6666666666666666,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.05,0.0001,0.9,1,0.5454545454545454,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.1,0.001,0.05,1,0.696,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.2,0.5,0.5,1,0.7207207207207207,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.3,0.0001,0.05,1,0.7216494845360825,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.4,0.1,0.8,1,0.7108433734939759,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.5,0.0001,0.9,1,0.6811594202898551,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.6,0.0001,0.99,1,0.75,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.7,0.0001,0.05,1,0.7380952380952381,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.8,0.1,0.2,1,0.6785714285714286,"[None, None, None]",0,0
ActorCritic,pro22_ade_p4,0.9,0.001,0.5,1,0.8571428571428571,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.05,0.0001,0.5,1,0.528169014084507,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.1,0.1,0.99,1,0.5555555555555556,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.2,0.5,0.2,1,0.5416666666666666,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.3,0.001,0.99,1,0.5238095238095238,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.4,0.001,0.1,1,0.5555555555555556,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.5,0.0001,0.8,1,0.6266666666666667,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.6,0.1,0.5,1,0.65,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.7,0.0001,0.5,1,0.6444444444444445,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.8,0.0001,0.1,1,0.6666666666666666,"[None, None, None]",0,0
ActorCritic,pro25_acf_p4,0.9,0.0001,0.2,1,0.7333333333333333,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.05,0.0001,0.5,1,0.5384615384615384,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.1,0.0001,0.9,1,0.5348837209302325,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.2,0.001,0.5,1,0.5131578947368421,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.3,0.5,0.1,1,0.5522388059701493,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.4,0.001,0.05,1,0.543859649122807,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.5,0.5,0.99,1,0.5416666666666666,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.6,0.001,0.99,1,0.5526315789473685,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.7,0.001,0.8,1,0.41379310344827586,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.8,0.001,0.1,1,0.47368421052631576,"[None, None, None]",0,0
ActorCritic,pro8_acf_p4,0.9,0.001,0.1,1,0.3,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.05,0.0001,0.05,1,0.5864978902953587,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.1,0.0001,0.05,1,0.6,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.2,0.001,0.1,1,0.605,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.3,0.001,0.05,1,0.6057142857142858,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.4,0.001,0.8,1,0.5866666666666667,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.5,0.01,0.2,1,0.384,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.6,0.1,0.8,1,0.6,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.7,0.0001,0.2,1,0.5466666666666666,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.8,0.001,0.2,1,0.54,"[None, None, None]",0,0
ActorCritic,pro20_ade_p4,0.9,0.001,0.05,1,0.64,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.05,0.001,0.1,1,0.5175438596491229,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.1,0.5,0.2,1,0.5092592592592593,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.2,0.0001,0.1,1,0.5,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.3,0.001,0.5,1,0.6547619047619048,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.4,0.001,0.05,1,0.4722222222222222,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.5,0.001,0.2,1,0.7,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.6,0.1,0.1,1,0.4791666666666667,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.7,0.0001,0.5,1,0.5555555555555556,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.8,0.0001,0.2,1,0.4583333333333333,"[None, None, None]",0,0
ActorCritic,pro5_adf_p4,0.9,0.1,0.1,1,0.6666666666666666,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.05,0.0001,0.2,1,0.28205128205128205,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.1,0.001,0.2,1,0.6351351351351351,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.2,0.001,0.05,1,0.6136363636363636,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.3,0.001,0.05,1,0.6173913043478261,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.4,0.5,0.1,1,0.5757575757575758,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.5,0.001,0.05,1,0.6341463414634146,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.6,0.001,0.9,1,0.6515151515151515,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.7,0.0001,0.9,1,0.64,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.8,0.0001,0.99,1,0.6060606060606061,"[None, None, None]",0,0
ActorCritic,pro29_ace_p4,0.9,0.5,0.8,1,0.5882352941176471,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.05,0.001,0.05,1,0.5972222222222222,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.1,0.0001,0.9,1,0.6029411764705882,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.2,0.1,0.1,1,0.6115702479338843,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.3,0.001,0.05,1,0.5849056603773585,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.4,0.0001,0.2,1,0.5934065934065934,"[None, None, None]",0,0
ActorCritic,pro3_ace_p4,0.5,0.0001,0.05,1,0.6052631578947368,"[None, None, None]",0,0
