User,Accuracy,Algorithm,StateAccuracy
pro13_ace_p4,0.5357142857142857,Greedy,"[None, None, None]"
pro15_ade_p4,0.415929203539823,Greedy,"[None, None, None]"
pro17_ace_p4,0.5404411764705882,Greedy,"[None, None, None]"
pro18_adf_p4,0.28,Greedy,"[None, None, None]"
pro20_ade_p4,0.49795918367346936,Greedy,"[None, None, None]"
pro21_ade_p4,0.4318181818181818,Greedy,"[None, None, None]"
pro22_ade_p4,0.4888888888888889,Greedy,"[None, None, None]"
pro23_acf_p4,0.5963302752293578,Greedy,"[None, None, None]"
pro24_adf_p4,0.45871559633027525,Greedy,"[None, None, None]"
pro25_acf_p4,0.46938775510204084,Greedy,"[None, None, None]"
pro29_ace_p4,0.5527950310559007,Greedy,"[None, None, None]"
pro31_adf_p4,0.4868421052631579,Greedy,"[None, None, None]"
pro3_ace_p4,0.5466666666666666,Greedy,"[None, None, None]"
pro5_adf_p4,0.4188034188034188,Greedy,"[None, None, None]"
pro8_acf_p4,0.4731182795698925,Greedy,"[None, None, None]"
pro9_acf_p4,0.3769230769230769,Greedy,"[None, None, None]"
stu10_acf_p4,0.42857142857142855,Greedy,"[None, None, None]"
stu11_adf_p4,0.5502645502645502,Greedy,"[None, None, None]"
stu13_acf_p4,0.6379310344827587,Greedy,"[None, None, None]"
stu15_ade_p4,0.41596638655462187,Greedy,"[None, None, None]"
stu17_ace_p4,0.3380281690140845,Greedy,"[None, None, None]"
stu21_ace_p4,0.3904761904761905,Greedy,"[None, None, None]"
stu24_ace_p4,0.3924050632911392,Greedy,"[None, None, None]"
stu25_ace_p4,0.4351851851851852,Greedy,"[None, None, None]"
stu26_ace_p4,0.5406162464985994,Greedy,"[None, None, None]"
stu29_ade_p4,0.4948453608247423,Greedy,"[None, None, None]"
stu30_adf_p4,0.390625,Greedy,"[None, None, None]"
stu31_ade_p4,0.43724696356275305,Greedy,"[None, None, None]"
stu36_adf_p4,0.5140845070422535,Greedy,"[None, None, None]"
stu37_adf_p4,0.3939393939393939,Greedy,"[None, None, None]"
stu38_acf_p4,0.4742268041237113,Greedy,"[None, None, None]"
stu39_adf_p4,0.48826291079812206,Greedy,"[None, None, None]"
stu3_acf_p4,0.624,Greedy,"[None, None, None]"
stu4_ade_p4,0.5,Greedy,"[None, None, None]"
stu6_acf_p4,0.5953488372093023,Greedy,"[None, None, None]"
stu7_ade_p4,0.42953020134228187,Greedy,"[None, None, None]"
