User,Accuracy,Threshold,LearningRate,Discount,Algorithm
pro13_ace_p4,0.48148148148148145,0.05,0,0,HMM
pro13_ace_p4,0.6310679611650486,0.1,0,0,HMM
pro13_ace_p4,0.31868131868131866,0.2,0,0,HMM
pro13_ace_p4,0.4875,0.3,0,0,HMM
pro13_ace_p4,0.07246376811594203,0.4,0,0,HMM
pro13_ace_p4,0.1896551724137931,0.5,0,0,HMM
pro13_ace_p4,0.1956521739130435,0.6,0,0,HMM
pro13_ace_p4,0.3142857142857143,0.7,0,0,HMM
pro13_ace_p4,0.08333333333333333,0.8,0,0,HMM
pro13_ace_p4,0.5,0.9,0,0,HMM
pro15_ade_p4,0.47706422018348627,0.05,0,0,HMM
pro15_ade_p4,0.5,0.1,0,0,HMM
pro15_ade_p4,0.5217391304347826,0.2,0,0,HMM
pro15_ade_p4,0.5061728395061729,0.3,0,0,HMM
pro15_ade_p4,0.4782608695652174,0.4,0,0,HMM
pro15_ade_p4,0.13793103448275862,0.5,0,0,HMM
pro15_ade_p4,0.2127659574468085,0.6,0,0,HMM
pro15_ade_p4,0.08571428571428572,0.7,0,0,HMM
pro15_ade_p4,0.5,0.8,0,0,HMM
pro15_ade_p4,0.3333333333333333,0.9,0,0,HMM
pro17_ace_p4,0.4076923076923077,0.05,0,0,HMM
pro17_ace_p4,0.26720647773279355,0.1,0,0,HMM
pro17_ace_p4,0.1735159817351598,0.2,0,0,HMM
pro17_ace_p4,0.13541666666666666,0.3,0,0,HMM
pro17_ace_p4,0.07878787878787878,0.4,0,0,HMM
pro17_ace_p4,0.10869565217391304,0.5,0,0,HMM
pro17_ace_p4,0.13636363636363635,0.6,0,0,HMM
pro17_ace_p4,0.1566265060240964,0.7,0,0,HMM
pro17_ace_p4,0.05357142857142857,0.8,0,0,HMM
pro17_ace_p4,0.10714285714285714,0.9,0,0,HMM
pro18_adf_p4,0.3835616438356164,0.05,0,0,HMM
pro18_adf_p4,0.42028985507246375,0.1,0,0,HMM
pro18_adf_p4,0.6935483870967742,0.2,0,0,HMM
pro18_adf_p4,0.5925925925925926,0.3,0,0,HMM
pro18_adf_p4,0.7021276595744681,0.4,0,0,HMM
pro18_adf_p4,0.7692307692307693,0.5,0,0,HMM
pro18_adf_p4,0.7096774193548387,0.6,0,0,HMM
pro18_adf_p4,0.625,0.7,0,0,HMM
pro18_adf_p4,0.6875,0.8,0,0,HMM
pro18_adf_p4,0.4444444444444444,0.9,0,0,HMM
pro20_ade_p4,0.4808510638297872,0.05,0,0,HMM
pro20_ade_p4,0.36936936936936937,0.1,0,0,HMM
pro20_ade_p4,0.11616161616161616,0.2,0,0,HMM
pro20_ade_p4,0.2138728323699422,0.3,0,0,HMM
pro20_ade_p4,0.3422818791946309,0.4,0,0,HMM
pro20_ade_p4,0.3225806451612903,0.5,0,0,HMM
pro20_ade_p4,0.3333333333333333,0.6,0,0,HMM
pro20_ade_p4,0.38666666666666666,0.7,0,0,HMM
pro20_ade_p4,0.46,0.8,0,0,HMM
pro20_ade_p4,0.5384615384615384,0.9,0,0,HMM
pro21_ade_p4,0.23389830508474577,0.05,0,0,HMM
pro21_ade_p4,0.15053763440860216,0.1,0,0,HMM
pro21_ade_p4,0.17338709677419356,0.2,0,0,HMM
pro21_ade_p4,0.17972350230414746,0.3,0,0,HMM
pro21_ade_p4,0.08064516129032258,0.4,0,0,HMM
pro21_ade_p4,0.12179487179487179,0.5,0,0,HMM
pro21_ade_p4,0.12,0.6,0,0,HMM
pro21_ade_p4,0.2872340425531915,0.7,0,0,HMM
pro21_ade_p4,0.38095238095238093,0.8,0,0,HMM
pro21_ade_p4,0.65625,0.9,0,0,HMM
pro22_ade_p4,0.2076923076923077,0.05,0,0,HMM
pro22_ade_p4,0.2845528455284553,0.1,0,0,HMM
pro22_ade_p4,0.2545454545454545,0.2,0,0,HMM
pro22_ade_p4,0.3229166666666667,0.3,0,0,HMM
pro22_ade_p4,0.3493975903614458,0.4,0,0,HMM
pro22_ade_p4,0.2608695652173913,0.5,0,0,HMM
pro22_ade_p4,0.2727272727272727,0.6,0,0,HMM
pro22_ade_p4,0.4523809523809524,0.7,0,0,HMM
pro22_ade_p4,0.25,0.8,0,0,HMM
pro22_ade_p4,0.26666666666666666,0.9,0,0,HMM
pro23_acf_p4,0.18095238095238095,0.05,0,0,HMM
pro23_acf_p4,0.39,0.1,0,0,HMM
pro23_acf_p4,0.4044943820224719,0.2,0,0,HMM
pro23_acf_p4,0.3717948717948718,0.3,0,0,HMM
pro23_acf_p4,0.07462686567164178,0.4,0,0,HMM
pro23_acf_p4,0.05357142857142857,0.5,0,0,HMM
pro23_acf_p4,0.08888888888888889,0.6,0,0,HMM
pro23_acf_p4,0.058823529411764705,0.7,0,0,HMM
pro23_acf_p4,0.8260869565217391,0.8,0,0,HMM
pro23_acf_p4,0.9166666666666666,0.9,0,0,HMM
pro24_adf_p4,0.45714285714285713,0.05,0,0,HMM
pro24_adf_p4,0.24,0.1,0,0,HMM
pro24_adf_p4,0.29213483146067415,0.2,0,0,HMM
pro24_adf_p4,0.14102564102564102,0.3,0,0,HMM
pro24_adf_p4,0.14925373134328357,0.4,0,0,HMM
pro24_adf_p4,0.17857142857142858,0.5,0,0,HMM
pro24_adf_p4,0.2222222222222222,0.6,0,0,HMM
pro24_adf_p4,0.20588235294117646,0.7,0,0,HMM
pro24_adf_p4,0.391304347826087,0.8,0,0,HMM
pro24_adf_p4,0.3333333333333333,0.9,0,0,HMM
pro25_acf_p4,0.11971830985915492,0.05,0,0,HMM
pro25_acf_p4,0.35074626865671643,0.1,0,0,HMM
pro25_acf_p4,0.06722689075630252,0.2,0,0,HMM
pro25_acf_p4,0.19047619047619047,0.3,0,0,HMM
pro25_acf_p4,0.08888888888888889,0.4,0,0,HMM
pro25_acf_p4,0.08,0.5,0,0,HMM
pro25_acf_p4,0.43333333333333335,0.6,0,0,HMM
pro25_acf_p4,0.26666666666666666,0.7,0,0,HMM
pro25_acf_p4,0.22580645161290322,0.8,0,0,HMM
pro25_acf_p4,0.3125,0.9,0,0,HMM
pro29_ace_p4,0.49032258064516127,0.05,0,0,HMM
pro29_ace_p4,0.10204081632653061,0.1,0,0,HMM
pro29_ace_p4,0.09923664122137404,0.2,0,0,HMM
pro29_ace_p4,0.19298245614035087,0.3,0,0,HMM
pro29_ace_p4,0.08163265306122448,0.4,0,0,HMM
pro29_ace_p4,0.06097560975609756,0.5,0,0,HMM
pro29_ace_p4,0.09090909090909091,0.6,0,0,HMM
pro29_ace_p4,0.1,0.7,0,0,HMM
pro29_ace_p4,0.18181818181818182,0.8,0,0,HMM
pro29_ace_p4,0.29411764705882354,0.9,0,0,HMM
pro31_adf_p4,0.19863013698630136,0.05,0,0,HMM
pro31_adf_p4,0.17985611510791366,0.1,0,0,HMM
pro31_adf_p4,0.44715447154471544,0.2,0,0,HMM
pro31_adf_p4,0.4444444444444444,0.3,0,0,HMM
pro31_adf_p4,0.4946236559139785,0.4,0,0,HMM
pro31_adf_p4,0.5128205128205128,0.5,0,0,HMM
pro31_adf_p4,0.532258064516129,0.6,0,0,HMM
pro31_adf_p4,0.574468085106383,0.7,0,0,HMM
pro31_adf_p4,0.59375,0.8,0,0,HMM
pro31_adf_p4,0.375,0.9,0,0,HMM
pro3_ace_p4,0.5972222222222222,0.05,0,0,HMM
pro3_ace_p4,0.45985401459854014,0.1,0,0,HMM
pro3_ace_p4,0.48360655737704916,0.2,0,0,HMM
pro3_ace_p4,0.48598130841121495,0.3,0,0,HMM
pro3_ace_p4,0.4673913043478261,0.4,0,0,HMM
pro3_ace_p4,0.4473684210526316,0.5,0,0,HMM
pro3_ace_p4,0.13114754098360656,0.6,0,0,HMM
pro3_ace_p4,0.13043478260869565,0.7,0,0,HMM
pro3_ace_p4,0.8709677419354839,0.8,0,0,HMM
pro3_ace_p4,0.9375,0.9,0,0,HMM
pro5_adf_p4,0.30973451327433627,0.05,0,0,HMM
pro5_adf_p4,0.3364485981308411,0.1,0,0,HMM
pro5_adf_p4,0.14736842105263157,0.2,0,0,HMM
pro5_adf_p4,0.4642857142857143,0.3,0,0,HMM
pro5_adf_p4,0.4583333333333333,0.4,0,0,HMM
pro5_adf_p4,0.5333333333333333,0.5,0,0,HMM
pro5_adf_p4,0.5416666666666666,0.6,0,0,HMM
pro5_adf_p4,0.5,0.7,0,0,HMM
pro5_adf_p4,0.32,0.8,0,0,HMM
pro5_adf_p4,0.23076923076923078,0.9,0,0,HMM
pro8_acf_p4,0.37777777777777777,0.05,0,0,HMM
pro8_acf_p4,0.20930232558139536,0.1,0,0,HMM
pro8_acf_p4,0.3157894736842105,0.2,0,0,HMM
pro8_acf_p4,0.208955223880597,0.3,0,0,HMM
pro8_acf_p4,0.19298245614035087,0.4,0,0,HMM
pro8_acf_p4,0.3958333333333333,0.5,0,0,HMM
pro8_acf_p4,0.6923076923076923,0.6,0,0,HMM
pro8_acf_p4,0.6206896551724138,0.7,0,0,HMM
pro8_acf_p4,0.45,0.8,0,0,HMM
pro8_acf_p4,0.3,0.9,0,0,HMM
pro9_acf_p4,0.44,0.05,0,0,HMM
pro9_acf_p4,0.3949579831932773,0.1,0,0,HMM
pro9_acf_p4,0.39622641509433965,0.2,0,0,HMM
pro9_acf_p4,0.3870967741935484,0.3,0,0,HMM
pro9_acf_p4,0.225,0.4,0,0,HMM
pro9_acf_p4,0.07575757575757576,0.5,0,0,HMM
pro9_acf_p4,0.07547169811320754,0.6,0,0,HMM
pro9_acf_p4,0.025,0.7,0,0,HMM
pro9_acf_p4,0.037037037037037035,0.8,0,0,HMM
pro9_acf_p4,0.07142857142857142,0.9,0,0,HMM
stu10_acf_p4,0.7185185185185186,0.05,0,0,HMM
stu10_acf_p4,0.1484375,0.1,0,0,HMM
stu10_acf_p4,0.14035087719298245,0.2,0,0,HMM
stu10_acf_p4,0.2,0.3,0,0,HMM
stu10_acf_p4,0.23255813953488372,0.4,0,0,HMM
stu10_acf_p4,0.5416666666666666,0.5,0,0,HMM
stu10_acf_p4,0.42105263157894735,0.6,0,0,HMM
stu10_acf_p4,0.46511627906976744,0.7,0,0,HMM
stu10_acf_p4,0.6206896551724138,0.8,0,0,HMM
stu10_acf_p4,0.3333333333333333,0.9,0,0,HMM
stu11_adf_p4,0.22099447513812154,0.05,0,0,HMM
stu11_adf_p4,0.23255813953488372,0.1,0,0,HMM
stu11_adf_p4,0.2222222222222222,0.2,0,0,HMM
stu11_adf_p4,0.19402985074626866,0.3,0,0,HMM
stu11_adf_p4,0.26956521739130435,0.4,0,0,HMM
stu11_adf_p4,0.17708333333333334,0.5,0,0,HMM
stu11_adf_p4,0.19480519480519481,0.6,0,0,HMM
stu11_adf_p4,0.1206896551724138,0.7,0,0,HMM
stu11_adf_p4,0.2564102564102564,0.8,0,0,HMM
stu11_adf_p4,0.05,0.9,0,0,HMM
stu13_acf_p4,0.26785714285714285,0.05,0,0,HMM
stu13_acf_p4,0.18867924528301888,0.1,0,0,HMM
stu13_acf_p4,0.14736842105263157,0.2,0,0,HMM
stu13_acf_p4,0.14457831325301204,0.3,0,0,HMM
stu13_acf_p4,0.23943661971830985,0.4,0,0,HMM
stu13_acf_p4,0.21666666666666667,0.5,0,0,HMM
stu13_acf_p4,0.10416666666666667,0.6,0,0,HMM
stu13_acf_p4,0.2222222222222222,0.7,0,0,HMM
stu13_acf_p4,0.125,0.8,0,0,HMM
stu13_acf_p4,1.0,0.9,0,0,HMM
stu15_ade_p4,0.2675438596491228,0.05,0,0,HMM
stu15_ade_p4,0.2175925925925926,0.1,0,0,HMM
stu15_ade_p4,0.2604166666666667,0.2,0,0,HMM
stu15_ade_p4,0.26785714285714285,0.3,0,0,HMM
stu15_ade_p4,0.2569444444444444,0.4,0,0,HMM
stu15_ade_p4,0.275,0.5,0,0,HMM
stu15_ade_p4,0.36082474226804123,0.6,0,0,HMM
stu15_ade_p4,0.3972602739726027,0.7,0,0,HMM
stu15_ade_p4,0.30612244897959184,0.8,0,0,HMM
