User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
pro13_ace_p4,0.3008849557522124,0.05,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.29906542056074764,0.1,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.12631578947368421,0.2,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.3855421686746988,0.3,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.30985915492957744,0.4,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.2542372881355932,0.5,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.2916666666666667,0.6,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.4722222222222222,0.7,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.16666666666666666,0.8,0,0,Momentum,"[0, 0, 0]"
pro13_ace_p4,0.5833333333333334,0.9,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.24107142857142858,0.05,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.3867924528301887,0.1,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.3723404255319149,0.2,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.2926829268292683,0.3,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.38028169014084506,0.4,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.3389830508474576,0.5,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.44680851063829785,0.6,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.3333333333333333,0.7,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.2916666666666667,0.8,0,0,Momentum,"[0, 0, 0]"
pro15_ade_p4,0.08333333333333333,0.9,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.21839080459770116,0.05,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.17813765182186234,0.1,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.35,0.2,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.21875,0.3,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.48484848484848486,0.4,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.22627737226277372,0.5,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.19090909090909092,0.6,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.1927710843373494,0.7,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.41818181818181815,0.8,0,0,Momentum,"[0, 0, 0]"
pro17_ace_p4,0.07142857142857142,0.9,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.3013698630136986,0.05,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.2463768115942029,0.1,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.3114754098360656,0.2,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.5370370370370371,0.3,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.5217391304347826,0.4,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.5263157894736842,0.5,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.6774193548387096,0.6,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.6956521739130435,0.7,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.75,0.8,0,0,Momentum,"[0, 0, 0]"
pro18_adf_p4,0.625,0.9,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.3628691983122363,0.05,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.26222222222222225,0.1,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.325,0.2,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.24571428571428572,0.3,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.37333333333333335,0.4,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.312,0.5,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.44,0.6,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.38666666666666666,0.7,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.32,0.8,0,0,Momentum,"[0, 0, 0]"
pro20_ade_p4,0.44,0.9,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.1717171717171717,0.05,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.16725978647686832,0.1,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.2,0.2,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.2420091324200913,0.3,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.14361702127659576,0.4,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.3782051282051282,0.5,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.352,0.6,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.425531914893617,0.7,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.47619047619047616,0.8,0,0,Momentum,"[0, 0, 0]"
pro21_ade_p4,0.4375,0.9,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.29545454545454547,0.05,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.352,0.1,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.22522522522522523,0.2,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.20618556701030927,0.3,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.14457831325301204,0.4,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.5362318840579711,0.5,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.375,0.6,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.23809523809523808,0.7,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.35714285714285715,0.8,0,0,Momentum,"[0, 0, 0]"
pro22_ade_p4,0.9285714285714286,0.9,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.21904761904761905,0.05,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.5252525252525253,0.1,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.625,0.2,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.45454545454545453,0.3,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.12121212121212122,0.4,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.09090909090909091,0.5,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.1590909090909091,0.6,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.030303030303030304,0.7,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.8181818181818182,0.8,0,0,Momentum,"[0, 0, 0]"
pro23_acf_p4,0.18181818181818182,0.9,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.3333333333333333,0.05,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.23232323232323232,0.1,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.22727272727272727,0.2,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.33766233766233766,0.3,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.2878787878787879,0.4,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.21818181818181817,0.5,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.22727272727272727,0.6,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.3939393939393939,0.7,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.3181818181818182,0.8,0,0,Momentum,"[0, 0, 0]"
pro24_adf_p4,0.2727272727272727,0.9,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.352112676056338,0.05,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.0962962962962963,0.1,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.24166666666666667,0.2,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.22857142857142856,0.3,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.23333333333333334,0.4,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.12,0.5,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.4666666666666667,0.6,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.28888888888888886,0.7,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.16666666666666666,0.8,0,0,Momentum,"[0, 0, 0]"
pro25_acf_p4,0.26666666666666666,0.9,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.23717948717948717,0.05,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.21621621621621623,0.1,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.3409090909090909,0.2,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.34782608695652173,0.3,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.13131313131313133,0.4,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.3048780487804878,0.5,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.3787878787878788,0.6,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.26,0.7,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.45454545454545453,0.8,0,0,Momentum,"[0, 0, 0]"
pro29_ace_p4,0.7058823529411765,0.9,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.18493150684931506,0.05,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.2463768115942029,0.1,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.24390243902439024,0.2,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.3333333333333333,0.3,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.3695652173913043,0.4,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.35064935064935066,0.5,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.1935483870967742,0.6,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.32608695652173914,0.7,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.3548387096774194,0.8,0,0,Momentum,"[0, 0, 0]"
pro31_adf_p4,0.25,0.9,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.25,0.05,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.25735294117647056,0.1,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.4380165289256198,0.2,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.19811320754716982,0.3,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.13186813186813187,0.4,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.13157894736842105,0.5,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.6721311475409836,0.6,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.17391304347826086,0.7,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,0.0967741935483871,0.8,0,0,Momentum,"[0, 0, 0]"
pro3_ace_p4,1.0,0.9,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.35964912280701755,0.05,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.2037037037037037,0.1,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.23958333333333334,0.2,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.5238095238095238,0.3,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.3611111111111111,0.4,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.4666666666666667,0.5,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.3125,0.6,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.19444444444444445,0.7,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.25,0.8,0,0,Momentum,"[0, 0, 0]"
pro5_adf_p4,0.25,0.9,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.25274725274725274,0.05,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.13953488372093023,0.1,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.4605263157894737,0.2,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.26865671641791045,0.3,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.5087719298245614,0.4,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.4166666666666667,0.5,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.5263157894736842,0.6,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.3793103448275862,0.7,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.5789473684210527,0.8,0,0,Momentum,"[0, 0, 0]"
pro8_acf_p4,0.3,0.9,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.2698412698412698,0.05,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.2857142857142857,0.1,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.24528301886792453,0.2,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.34408602150537637,0.3,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.275,0.4,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.18181818181818182,0.5,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.39622641509433965,0.6,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.225,0.7,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.25925925925925924,0.8,0,0,Momentum,"[0, 0, 0]"
pro9_acf_p4,0.5714285714285714,0.9,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.48507462686567165,0.05,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.1889763779527559,0.1,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.1592920353982301,0.2,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.494949494949495,0.3,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.4588235294117647,0.4,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.4507042253521127,0.5,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.49122807017543857,0.6,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.3023255813953488,0.7,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.2413793103448276,0.8,0,0,Momentum,"[0, 0, 0]"
stu10_acf_p4,0.06666666666666667,0.9,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.2568306010928962,0.05,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.4161849710982659,0.1,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.4090909090909091,0.2,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.1259259259259259,0.3,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.4051724137931034,0.4,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.3229166666666667,0.5,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.14285714285714285,0.6,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.1724137931034483,0.7,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.46153846153846156,0.8,0,0,Momentum,"[0, 0, 0]"
stu11_adf_p4,0.15,0.9,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.37719298245614036,0.05,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.3888888888888889,0.1,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.2916666666666667,0.2,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.13095238095238096,0.3,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.2916666666666667,0.4,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.4666666666666667,0.5,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.16666666666666666,0.6,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.2777777777777778,0.7,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,0.041666666666666664,0.8,0,0,Momentum,"[0, 0, 0]"
stu13_acf_p4,1.0,0.9,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.31877729257641924,0.05,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.31797235023041476,0.1,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.39378238341968913,0.2,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.4319526627218935,0.3,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.3724137931034483,0.4,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.3305785123966942,0.5,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.5154639175257731,0.6,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.410958904109589,0.7,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.3673469387755102,0.8,0,0,Momentum,"[0, 0, 0]"
stu15_ade_p4,0.36,0.9,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.2753623188405797,0.05,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.26153846153846155,0.1,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.29310344827586204,0.2,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.3137254901960784,0.3,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.36363636363636365,0.4,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.3611111111111111,0.5,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.3448275862068966,0.6,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.22727272727272727,0.7,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.4,0.8,0,0,Momentum,"[0, 0, 0]"
stu17_ace_p4,0.25,0.9,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.07920792079207921,0.05,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.3333333333333333,0.1,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.29411764705882354,0.2,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.29333333333333333,0.3,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.21875,0.4,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.5849056603773585,0.5,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.11627906976744186,0.6,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.4375,0.7,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.36363636363636365,0.8,0,0,Momentum,"[0, 0, 0]"
stu21_ace_p4,0.18181818181818182,0.9,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.19736842105263158,0.05,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.3888888888888889,0.1,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.2578125,0.2,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.33035714285714285,0.3,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.2708333333333333,0.4,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.3625,0.5,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.328125,0.6,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.3333333333333333,0.7,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.21875,0.8,0,0,Momentum,"[0, 0, 0]"
stu24_ace_p4,0.1875,0.9,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.25961538461538464,0.05,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.18181818181818182,0.1,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.29545454545454547,0.2,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.3246753246753247,0.3,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.3181818181818182,0.4,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.2727272727272727,0.5,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.22727272727272727,0.6,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.3939393939393939,0.7,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.22727272727272727,0.8,0,0,Momentum,"[0, 0, 0]"
stu25_ace_p4,0.5454545454545454,0.9,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.1608187134502924,0.05,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.2654320987654321,0.1,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.16319444444444445,0.2,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.5079365079365079,0.3,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.2916666666666667,0.4,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.39444444444444443,0.5,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.2916666666666667,0.6,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.7407407407407407,0.7,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.3055555555555556,0.8,0,0,Momentum,"[0, 0, 0]"
stu26_ace_p4,0.3333333333333333,0.9,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.3225806451612903,0.05,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.24431818181818182,0.1,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.16025641025641027,0.2,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.22627737226277372,0.3,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.26495726495726496,0.4,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.3163265306122449,0.5,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.34615384615384615,0.6,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.23728813559322035,0.7,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.15384615384615385,0.8,0,0,Momentum,"[0, 0, 0]"
stu29_ade_p4,0.4,0.9,0,0,Momentum,"[0, 0, 0]"
stu30_adf_p4,0.24731182795698925,0.05,0,0,Momentum,"[0, 0, 0]"
