User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p4,0.25765765765765763,0.05,,,Random,0,
pro13_ace_p4,0.24380952380952384,0.1,,,Random,0,
pro13_ace_p4,0.27096774193548384,0.2,,,Random,0,
pro13_ace_p4,0.24691358024691357,0.3,,,Random,0,
pro13_ace_p4,0.2579710144927536,0.4,,,Random,0,
pro13_ace_p4,0.2385964912280701,0.5,,,Random,0,
pro13_ace_p4,0.23478260869565215,0.6,,,Random,0,
pro13_ace_p4,0.31764705882352945,0.7,,,Random,0,
pro13_ace_p4,0.27272727272727276,0.8,,,Random,0,
pro13_ace_p4,0.27999999999999997,0.9,,,Random,0,
pro15_ade_p4,0.24,0.05,,,Random,0,
pro15_ade_p4,0.25769230769230766,0.1,,,Random,0,
pro15_ade_p4,0.27391304347826084,0.2,,,Random,0,
pro15_ade_p4,0.255,0.3,,,Random,0,
pro15_ade_p4,0.25217391304347825,0.4,,,Random,0,
pro15_ade_p4,0.24561403508771926,0.5,,,Random,0,
pro15_ade_p4,0.21777777777777776,0.6,,,Random,0,
pro15_ade_p4,0.28823529411764703,0.7,,,Random,0,
pro15_ade_p4,0.29999999999999993,0.8,,,Random,0,
pro15_ade_p4,0.24000000000000005,0.9,,,Random,0,
pro17_ace_p4,0.24864864864864863,0.05,,,Random,0,
pro17_ace_p4,0.26285714285714284,0.1,,,Random,0,
pro17_ace_p4,0.255045871559633,0.2,,,Random,0,
pro17_ace_p4,0.25157894736842107,0.3,,,Random,0,
pro17_ace_p4,0.2331288343558282,0.4,,,Random,0,
pro17_ace_p4,0.24296296296296296,0.5,,,Random,0,
pro17_ace_p4,0.2537037037037037,0.6,,,Random,0,
pro17_ace_p4,0.2444444444444444,0.7,,,Random,0,
pro17_ace_p4,0.2528301886792453,0.8,,,Random,0,
pro17_ace_p4,0.3076923076923077,0.9,,,Random,0,
pro18_adf_p4,0.2676056338028169,0.05,,,Random,0,
pro18_adf_p4,0.24776119402985075,0.1,,,Random,0,
pro18_adf_p4,0.2305084745762712,0.2,,,Random,0,
pro18_adf_p4,0.23076923076923075,0.3,,,Random,0,
pro18_adf_p4,0.30454545454545456,0.4,,,Random,0,
pro18_adf_p4,0.2555555555555556,0.5,,,Random,0,
pro18_adf_p4,0.26206896551724135,0.6,,,Random,0,
pro18_adf_p4,0.3142857142857142,0.7,,,Random,0,
pro18_adf_p4,0.1857142857142857,0.8,,,Random,0,
pro18_adf_p4,0.3333333333333333,0.9,,,Random,0,
pro20_ade_p4,0.24936170212765957,0.05,,,Random,0,
pro20_ade_p4,0.24304932735426008,0.1,,,Random,0,
pro20_ade_p4,0.26969696969696966,0.2,,,Random,0,
pro20_ade_p4,0.2300578034682081,0.3,,,Random,0,
pro20_ade_p4,0.2445945945945946,0.4,,,Random,0,
pro20_ade_p4,0.2910569105691057,0.5,,,Random,0,
pro20_ade_p4,0.22653061224489796,0.6,,,Random,0,
pro20_ade_p4,0.27123287671232876,0.7,,,Random,0,
pro20_ade_p4,0.2625,0.8,,,Random,0,
pro20_ade_p4,0.23478260869565215,0.9,,,Random,0,
pro21_ade_p4,0.24813559322033898,0.05,,,Random,0,
pro21_ade_p4,0.23727598566308244,0.1,,,Random,0,
pro21_ade_p4,0.24516129032258066,0.2,,,Random,0,
pro21_ade_p4,0.2258064516129032,0.3,,,Random,0,
pro21_ade_p4,0.25698924731182793,0.4,,,Random,0,
pro21_ade_p4,0.24415584415584415,0.5,,,Random,0,
pro21_ade_p4,0.23739837398373984,0.6,,,Random,0,
pro21_ade_p4,0.2673913043478261,0.7,,,Random,0,
pro21_ade_p4,0.2688524590163935,0.8,,,Random,0,
pro21_ade_p4,0.2866666666666666,0.9,,,Random,0,
pro22_ade_p4,0.2615384615384616,0.05,,,Random,0,
pro22_ade_p4,0.22601626016260162,0.1,,,Random,0,
pro22_ade_p4,0.26055045871559634,0.2,,,Random,0,
pro22_ade_p4,0.25263157894736843,0.3,,,Random,0,
pro22_ade_p4,0.2567901234567901,0.4,,,Random,0,
pro22_ade_p4,0.24477611940298508,0.5,,,Random,0,
pro22_ade_p4,0.3037037037037037,0.6,,,Random,0,
pro22_ade_p4,0.24500000000000002,0.7,,,Random,0,
pro22_ade_p4,0.25384615384615383,0.8,,,Random,0,
pro22_ade_p4,0.2333333333333333,0.9,,,Random,0,
pro23_acf_p4,0.24271844660194172,0.05,,,Random,0,
pro23_acf_p4,0.24742268041237114,0.1,,,Random,0,
pro23_acf_p4,0.2906976744186046,0.2,,,Random,0,
pro23_acf_p4,0.2986666666666667,0.3,,,Random,0,
pro23_acf_p4,0.234375,0.4,,,Random,0,
pro23_acf_p4,0.24150943396226415,0.5,,,Random,0,
pro23_acf_p4,0.2619047619047619,0.6,,,Random,0,
pro23_acf_p4,0.2774193548387097,0.7,,,Random,0,
pro23_acf_p4,0.25,0.8,,,Random,0,
pro23_acf_p4,0.2666666666666667,0.9,,,Random,0,
pro24_adf_p4,0.23883495145631067,0.05,,,Random,0,
pro24_adf_p4,0.2762886597938144,0.1,,,Random,0,
pro24_adf_p4,0.26279069767441865,0.2,,,Random,0,
pro24_adf_p4,0.24533333333333335,0.3,,,Random,0,
pro24_adf_p4,0.215625,0.4,,,Random,0,
pro24_adf_p4,0.25660377358490566,0.5,,,Random,0,
pro24_adf_p4,0.21904761904761907,0.6,,,Random,0,
pro24_adf_p4,0.28387096774193543,0.7,,,Random,0,
pro24_adf_p4,0.25,0.8,,,Random,0,
pro24_adf_p4,0.19999999999999998,0.9,,,Random,0,
pro25_acf_p4,0.22999999999999998,0.05,,,Random,0,
pro25_acf_p4,0.23609022556390977,0.1,,,Random,0,
pro25_acf_p4,0.22203389830508474,0.2,,,Random,0,
pro25_acf_p4,0.25631067961165044,0.3,,,Random,0,
pro25_acf_p4,0.25000000000000006,0.4,,,Random,0,
pro25_acf_p4,0.27123287671232876,0.5,,,Random,0,
pro25_acf_p4,0.20689655172413796,0.6,,,Random,0,
pro25_acf_p4,0.24651162790697673,0.7,,,Random,0,
pro25_acf_p4,0.2857142857142857,0.8,,,Random,0,
pro25_acf_p4,0.24615384615384617,0.9,,,Random,0,
pro29_ace_p4,0.2584415584415584,0.05,,,Random,0,
pro29_ace_p4,0.25753424657534246,0.1,,,Random,0,
pro29_ace_p4,0.26307692307692304,0.2,,,Random,0,
pro29_ace_p4,0.25309734513274335,0.3,,,Random,0,
pro29_ace_p4,0.265979381443299,0.4,,,Random,0,
pro29_ace_p4,0.26000000000000006,0.5,,,Random,0,
pro29_ace_p4,0.225,0.6,,,Random,0,
pro29_ace_p4,0.225,0.7,,,Random,0,
pro29_ace_p4,0.24516129032258066,0.8,,,Random,0,
pro29_ace_p4,0.2,0.9,,,Random,0,
pro31_adf_p4,0.27222222222222225,0.05,,,Random,0,
pro31_adf_p4,0.2485294117647059,0.1,,,Random,0,
pro31_adf_p4,0.2628099173553719,0.2,,,Random,0,
pro31_adf_p4,0.2358490566037736,0.3,,,Random,0,
pro31_adf_p4,0.2511111111111111,0.4,,,Random,0,
pro31_adf_p4,0.2853333333333333,0.5,,,Random,0,
pro31_adf_p4,0.19999999999999998,0.6,,,Random,0,
pro31_adf_p4,0.2909090909090909,0.7,,,Random,0,
pro31_adf_p4,0.2,0.8,,,Random,0,
pro31_adf_p4,0.24285714285714283,0.9,,,Random,0,
pro3_ace_p4,0.2619718309859155,0.05,,,Random,0,
pro3_ace_p4,0.22835820895522385,0.1,,,Random,0,
pro3_ace_p4,0.2420168067226891,0.2,,,Random,0,
pro3_ace_p4,0.26346153846153847,0.3,,,Random,0,
pro3_ace_p4,0.2449438202247191,0.4,,,Random,0,
pro3_ace_p4,0.23783783783783785,0.5,,,Random,0,
pro3_ace_p4,0.23728813559322032,0.6,,,Random,0,
pro3_ace_p4,0.2636363636363636,0.7,,,Random,0,
