Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
Actor_Critic,pro13_ace_p4,0.05,0.0001,0.5,1,0.7508771929824561,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.1,0.0001,0.5,1,0.7407407407407407,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.2,0.001,0.8,1,0.75,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.3,0.0001,0.99,1,0.7619047619047619,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.4,0.01,0.8,1,0.8333333333333334,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.5,0.01,0.1,1,0.8333333333333334,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.6,0.5,0.99,1,0.825,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.7,0.001,0.1,1,0.7777777777777778,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.8,0.0001,0.8,1,0.6666666666666666,"[None, None, None]",0,0
Actor_Critic,pro13_ace_p4,0.9,0.001,0.2,1,0.8333333333333334,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.05,0.001,0.05,1,0.375,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.1,0.5,0.05,1,0.36721311475409835,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.2,0.1,0.1,1,0.3592592592592593,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.3,0.0001,0.9,1,0.31063829787234043,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.4,0.0001,0.5,1,0.375609756097561,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.5,0.5,0.1,1,0.30000000000000004,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.6,0.0001,0.5,1,0.24444444444444446,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.7,0.0001,0.5,1,0.2571428571428571,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.8,0.0001,0.1,1,0.3142857142857143,"[None, None, None]",0,0
Actor_Critic,pro15_ade_p4,0.9,0.0001,0.5,1,0.45714285714285713,"[None, None, None]",0,0
Actor_Critic,pro18_adf_p4,0.05,0.0001,0.1,1,0.6666666666666666,"[None, None, None]",0,0
