User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p4,0.5818181818181818,0.05,0,0,Greedy,0,0.0
pro13_ace_p4,0.5384615384615384,0.1,0,0,Greedy,0,0.0
pro13_ace_p4,0.45652173913043476,0.2,0,0,Greedy,0,0.0
pro13_ace_p4,0.225,0.3,0,0,Greedy,0,0.0
pro13_ace_p4,0.6470588235294118,0.4,0,0,Greedy,0,0.0
pro13_ace_p4,0.7142857142857143,0.5,0,0,Greedy,0,0.0
pro13_ace_p4,0.5909090909090909,0.6,0,0,Greedy,0,0.0
pro13_ace_p4,0.4375,0.7,0,0,Greedy,0,0.0
pro13_ace_p4,0.2,0.8,0,0,Greedy,0,0.0
pro13_ace_p4,0.0,0.9,0,0,Greedy,0,0.0
pro15_ade_p4,0.24193548387096775,0.05,0,0,Greedy,0,0.0
pro15_ade_p4,0.288135593220339,0.1,0,0,Greedy,0,0.0
pro15_ade_p4,0.19230769230769232,0.2,0,0,Greedy,0,0.0
pro15_ade_p4,0.28888888888888886,0.3,0,0,Greedy,0,0.0
pro15_ade_p4,0.28205128205128205,0.4,0,0,Greedy,0,0.0
pro15_ade_p4,0.40625,0.5,0,0,Greedy,0,0.0
pro15_ade_p4,0.48,0.6,0,0,Greedy,0,0.0
pro15_ade_p4,0.15789473684210525,0.7,0,0,Greedy,0,0.0
pro15_ade_p4,0.25,0.8,0,0,Greedy,0,0.0
pro15_ade_p4,0.0,0.9,0,0,Greedy,0,0.0
pro17_ace_p4,0.32571428571428573,0.05,0,0,Greedy,0,0.0
pro17_ace_p4,0.3373493975903614,0.1,0,0,Greedy,0,0.0
pro17_ace_p4,0.3945578231292517,0.2,0,0,Greedy,0,0.0
pro17_ace_p4,0.2248062015503876,0.3,0,0,Greedy,0,0.0
pro17_ace_p4,0.3,0.4,0,0,Greedy,0,0.0
pro17_ace_p4,0.2967032967032967,0.5,0,0,Greedy,0,0.0
pro17_ace_p4,0.4246575342465753,0.6,0,0,Greedy,0,0.0
pro17_ace_p4,0.2777777777777778,0.7,0,0,Greedy,0,0.0
