Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro13_ace_p4,0.05,0.01,0.1,0,0.2456140350877193,0,1.008695652173913,1
QLearn,pro13_ace_p4,0.1,0.0001,0.05,0,0.6962962962962963,0,1.009174311926606,0.1
QLearn,pro13_ace_p4,0.2,0.001,0.05,0,0.7166666666666667,0,1.0103092783505154,0.05
QLearn,pro13_ace_p4,0.3,0.0001,0.05,0,0.7619047619047619,0,1.011764705882353,0.01
QLearn,pro13_ace_p4,0.4,0.1,0.2,0,0.4611111111111111,0,1.0136986301369864,0.7
QLearn,pro13_ace_p4,0.5,0.5,0.2,0,0.78,0,1.0163934426229504,0.1
QLearn,pro13_ace_p4,0.6,0.0001,0.05,0,0.7666666666666666,0,1.0204081632653061,0.1
QLearn,pro13_ace_p4,0.7,0.001,0.1,0,0.7555555555555555,0,1.0270270270270265,0.05
QLearn,pro13_ace_p4,0.8,0.01,0.5,0,0.6166666666666667,0,1.04,0.05
QLearn,pro13_ace_p4,0.9,0.0001,0.1,0,0.8,0,1.0769230769230773,0.1
QLearn,pro18_adf_p4,0.05,0.0001,0.05,0,0.4031746031746032,0,1.0078740157480315,0.1
QLearn,pro18_adf_p4,0.1,0.01,0.99,0,0.33666666666666667,0,1.0082644628099173,0.5
QLearn,pro18_adf_p4,0.2,0.0001,0.9,0,0.5358490566037736,0,1.0093457943925235,0.1
QLearn,pro18_adf_p4,0.3,0.0001,0.05,0,0.47659574468085103,0,1.0105263157894737,0.05
QLearn,pro18_adf_p4,0.4,0.01,0.05,0,0.335,0,1.0123456790123457,0.1
QLearn,pro18_adf_p4,0.5,0.001,0.1,0,0.4787878787878788,0,1.0149253731343286,0.1
QLearn,pro18_adf_p4,0.6,0.5,0.2,0,0.6148148148148148,0,1.0181818181818179,0.1
QLearn,pro18_adf_p4,0.7,0.001,0.05,0,0.52,0,1.0243902439024388,0.1
QLearn,pro18_adf_p4,0.8,0.5,0.5,0,0.6857142857142857,0,1.0344827586206897,0.1
QLearn,pro18_adf_p4,0.9,0.1,0.2,0,0.5428571428571429,0,1.0666666666666667,0.05
QLearn,pro15_ade_p4,0.05,0.0001,0.05,0,0.353125,0,1.0077519379844961,0.1
QLearn,pro15_ade_p4,0.1,0.1,0.8,0,0.3147540983606557,0,1.0081300813008132,0.5
QLearn,pro15_ade_p4,0.2,0.001,0.99,0,0.39259259259259255,0,1.0091743119266054,0.1
QLearn,pro15_ade_p4,0.3,0.01,0.05,0,0.3446808510638298,0,1.010526315789474,0.7
QLearn,pro15_ade_p4,0.4,0.001,0.05,0,0.37073170731707317,0,1.012048192771084,0.1
QLearn,pro15_ade_p4,0.5,0.001,0.05,0,0.44117647058823534,0,1.0144927536231885,0.05
QLearn,pro15_ade_p4,0.6,0.0001,0.2,0,0.40740740740740744,0,1.0181818181818185,0.05
QLearn,pro15_ade_p4,0.7,0.001,0.1,0,0.3619047619047619,0,1.0232558139534889,0.1
QLearn,pro15_ade_p4,0.8,0.0001,0.99,0,0.38571428571428573,0,1.0344827586206895,0.1
QLearn,pro15_ade_p4,0.9,0.0001,0.05,0,0.5714285714285714,0,1.0666666666666667,0.1
QLearn,pro24_adf_p4,0.05,0.0001,0.05,0,0.6213333333333333,0,1.0066225165562912,0.1
QLearn,pro24_adf_p4,0.1,0.01,0.9,0,0.5943661971830986,0,1.006993006993007,0.1
QLearn,pro24_adf_p4,0.2,0.1,0.05,0,0.5619047619047619,0,1.007874015748032,0.1
QLearn,pro24_adf_p4,0.3,0.0001,0.5,0,0.5599999999999999,0,1.0090090090090094,0.1
QLearn,pro24_adf_p4,0.4,0.0001,0.5,0,0.5872340425531914,0,1.010526315789474,0.05
QLearn,pro24_adf_p4,0.5,0.01,0.2,0,0.5025641025641026,0,1.0126582278481013,0.1
QLearn,pro24_adf_p4,0.6,0.0001,0.9,0,0.49375,0,1.0153846153846156,0.1
QLearn,pro24_adf_p4,0.7,0.0001,0.1,0,0.575,0,1.0204081632653061,0.1
QLearn,pro24_adf_p4,0.8,0.001,0.5,0,0.5375,0,1.0303030303030303,0.1
QLearn,pro24_adf_p4,0.9,0.001,0.05,0,0.6,0,1.0588235294117647,0.1
QLearn,pro23_acf_p4,0.05,0.0001,0.2,0,0.4191780821917808,0,1.0068027210884358,0.7
