User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
pro13_ace_p4,0.2436363636363636,0.05,,,Random,0,
pro13_ace_p4,0.19615384615384612,0.1,,,Random,0,
pro13_ace_p4,0.23043478260869565,0.2,,,Random,0,
pro13_ace_p4,0.23000000000000004,0.3,,,Random,0,
pro13_ace_p4,0.28823529411764703,0.4,,,Random,0,
pro13_ace_p4,0.2571428571428571,0.5,,,Random,0,
pro13_ace_p4,0.3090909090909091,0.6,,,Random,0,
pro13_ace_p4,0.275,0.7,,,Random,0,
pro13_ace_p4,0.36,0.8,,,Random,0,
pro13_ace_p4,0.2,0.9,,,Random,0,
pro15_ade_p4,0.25161290322580643,0.05,,,Random,0,
pro15_ade_p4,0.2406779661016949,0.1,,,Random,0,
pro15_ade_p4,0.26153846153846155,0.2,,,Random,0,
pro15_ade_p4,0.27111111111111114,0.3,,,Random,0,
pro15_ade_p4,0.2564102564102564,0.4,,,Random,0,
pro15_ade_p4,0.19375,0.5,,,Random,0,
pro15_ade_p4,0.368,0.6,,,Random,0,
pro15_ade_p4,0.18947368421052632,0.7,,,Random,0,
pro15_ade_p4,0.21666666666666665,0.8,,,Random,0,
pro15_ade_p4,0.2,0.9,,,Random,0,
pro17_ace_p4,0.24571428571428572,0.05,,,Random,0,
pro17_ace_p4,0.27228915662650605,0.1,,,Random,0,
pro17_ace_p4,0.25306122448979596,0.2,,,Random,0,
pro17_ace_p4,0.24651162790697673,0.3,,,Random,0,
pro17_ace_p4,0.23272727272727273,0.4,,,Random,0,
pro17_ace_p4,0.1934065934065934,0.5,,,Random,0,
pro17_ace_p4,0.2794520547945205,0.6,,,Random,0,
pro17_ace_p4,0.24074074074074076,0.7,,,Random,0,
pro17_ace_p4,0.2888888888888889,0.8,,,Random,0,
pro17_ace_p4,0.2705882352941177,0.9,,,Random,0,
pro18_adf_p4,0.26557377049180325,0.05,,,Random,0,
pro18_adf_p4,0.29655172413793107,0.1,,,Random,0,
pro18_adf_p4,0.19607843137254904,0.2,,,Random,0,
