Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro13_ace_p4,0.05,0.0001,0.9,,0.21754385964912276,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.1,0.0001,0.8,,0.6407407407407406,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.2,0.0001,0.2,,0.6708333333333333,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.3,0.001,0.05,,0.7619047619047619,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.4,0.0001,0.1,,0.8166666666666667,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.5,0.0001,0.2,,0.8133333333333335,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.6,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.7,0.0001,0.2,,0.7666666666666667,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.8,0.0001,0.5,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro13_ace_p4,0.9,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.05,0.0001,0.1,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.1,0.001,0.2,,0.6700000000000002,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.2,0.0001,0.8,,0.6264150943396227,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.3,0.0001,0.9,,0.7063829787234042,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.4,0.001,0.05,,0.175,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.5,0.001,0.2,,0.8181818181818181,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.6,0.001,0.05,,0.7777777777777778,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.7,0.0001,0.05,,0.7,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.8,0.0001,0.05,,0.8571428571428571,"[None, None, None]",0
Reinforce,pro18_adf_p4,0.9,0.001,0.05,,0.7142857142857143,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.05,0.0001,0.05,,0.425,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.1,0.0001,0.05,,0.33114754098360655,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.2,0.0001,0.2,,0.31851851851851853,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.3,0.001,0.5,,0.32340425531914896,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.4,0.0001,0.99,,0.28780487804878047,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.5,0.0001,0.05,,0.28823529411764703,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.6,0.001,0.2,,0.25925925925925924,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.7,0.0001,0.05,,0.30476190476190473,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.8,0.0001,0.8,,0.2857142857142857,"[None, None, None]",0
Reinforce,pro15_ade_p4,0.9,0.0001,0.1,,0.11428571428571428,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.05,0.0001,0.05,,0.6986301369863014,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.1,0.0001,0.2,,0.11014492753623188,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.2,0.001,0.8,,0.6098360655737706,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.3,0.0001,0.05,,0.6851851851851852,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.4,0.0001,0.5,,0.6347826086956522,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.5,0.001,0.2,,0.8,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.6,0.01,0.1,,0.12903225806451613,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.7,0.001,0.05,,0.9130434782608695,"[None, None, None]",0
Reinforce,pro23_acf_p4,0.8,0.001,0.05,,0.875,"[None, None, None]",0
