User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
44968286-f204-4ad6-a9b5-d95b38e97866,0.05,0.001,0.1,1.0,0.4819277108433735,"[0.6, 0.4375, 0.4666666666666667]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.1,0.001,0.2,0.1,0.6708860759493671,"[0.6, 0.7272727272727273, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.2,0.1,0.2,8.0,0.4714285714285714,"[0.5263157894736842, 0.5128205128205128, 0.25]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.3,0.01,0.2,8.0,0.4426229508196721,"[0.2631578947368421, 0.4857142857142857, 0.7142857142857143]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.4,0.0001,0.5,0.1,0.5849056603773585,"[0.375, 0.7333333333333333, 0.42857142857142855]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.5,0.1,0.99,10.0,0.7272727272727273,"[0.7142857142857143, 0.7916666666666666, 0.5]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.6,0.001,0.2,1.0,0.7142857142857143,"[0.7857142857142857, 0.6875, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.7,0.001,0.5,1.0,0.7037037037037037,"[0.8461538461538461, 0.5555555555555556, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.8,0.001,0.2,1.0,0.7222222222222222,"[0.875, 0.5, 0.75]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.9,0.01,0.5,8.0,0.6666666666666666,"[1.0, 0.75, 0.5]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.05,0.0001,0.2,0.1,0.6438356164383562,"[0.6842105263157895, 0.7021276595744681, 0.14285714285714285]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.1,0.01,0.2,0.1,0.2898550724637681,"[0.75, 0.0851063829787234, 0.6666666666666666]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.2,0.001,0.9,5.0,0.3442622950819672,"[0.06666666666666667, 0.3902439024390244, 0.8]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.001,0.1,0.1,0.8148148148148148,"[0.8461538461538461, 0.8108108108108109, 0.75]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.4,0.0001,0.9,0.1,0.717391304347826,"[0.6363636363636364, 0.8064516129032258, 0.25]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.5,0.1,0.5,1.0,0.7894736842105263,"[0.8181818181818182, 0.7916666666666666, 0.6666666666666666]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.6,0.001,0.1,0.1,0.7741935483870968,"[0.6666666666666666, 0.8181818181818182, 0.6666666666666666]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.7,0.1,0.1,0.1,0.7391304347826086,"[0.8, 0.7333333333333333, 0.6666666666666666]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.8,0.01,0.05,10.0,0.75,"[0.8, 0.8, 0.0]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.9,0.001,0.5,0.1,0.75,"[1.0, 0.6, 1.0]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.05,0.0001,0.8,0.1,0.5844155844155844,"[0.6818181818181818, 0.5581395348837209, 0.5]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.1,0.01,0.9,5.0,0.5342465753424658,"[0.6, 0.5121951219512195, 0.5]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.2,0.001,0.99,0.1,0.7076923076923077,"[0.7894736842105263, 0.7222222222222222, 0.5]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.3,0.001,0.9,0.1,0.7017543859649122,"[0.7894736842105263, 0.7096774193548387, 0.42857142857142855]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.4,0.01,0.8,5.0,0.6326530612244898,"[0.6875, 0.6923076923076923, 0.2857142857142857]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.5,0.1,0.2,1.0,0.6585365853658537,"[0.6875, 0.6666666666666666, 0.5]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.6,0.001,0.05,1.0,0.7272727272727273,"[0.7857142857142857, 0.6666666666666666, 0.75]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.7,0.01,0.8,8.0,0.6,"[0.5, 0.7, 0.6666666666666666]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.8,0.1,0.99,1.0,0.7058823529411765,"[0.875, 0.7142857142857143, 0.0]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.9,0.001,0.2,1.0,0.6666666666666666,"[0.5, 0.75, 1.0]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.05,0.0001,0.05,0.1,0.6341463414634146,"[0.2857142857142857, 0.6428571428571429, 0.75]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.1,0.1,0.8,10.0,0.38461538461538464,"[0.14285714285714285, 0.5384615384615384, 0.3684210526315789]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.2,0.0001,0.5,8.0,0.3142857142857143,"[0.7142857142857143, 0.2, 0.2222222222222222]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.3,0.001,0.2,1.0,0.5806451612903226,"[0.5714285714285714, 0.3333333333333333, 0.6666666666666666]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.4,0.0001,0.9,0.1,0.6923076923076923,"[0.2857142857142857, 0.8333333333333334, 0.8461538461538461]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.5,0.001,0.05,0.1,0.8181818181818182,"[0.8571428571428571, 0.6666666666666666, 0.8888888888888888]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.6,0.001,0.05,0.1,0.7222222222222222,"[0.7142857142857143, 0.6666666666666666, 0.8]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.7,0.0001,0.8,0.1,0.5384615384615384,"[0.5714285714285714, 0.5, 0.5]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.8,0.01,0.8,8.0,0.6666666666666666,"[0.75, 0.3333333333333333, 1.0]"
733a1ac5-0b01-485e-9b29-ac33932aa240,0.9,0.01,0.9,8.0,0.6,"[0, 0.6666666666666666, 0.5]"
7d014c75-453b-4188-9e4e-fb086984896a,0.05,0.0001,0.8,0.1,0.6559139784946236,"[0.3877551020408163, 0.6461538461538462, 0.8472222222222222]"
7d014c75-453b-4188-9e4e-fb086984896a,0.1,0.001,0.99,0.1,0.75,"[0.7, 0.65625, 0.8611111111111112]"
7d014c75-453b-4188-9e4e-fb086984896a,0.2,0.001,0.05,1.0,0.6858974358974359,"[0.6666666666666666, 0.6181818181818182, 0.7464788732394366]"
7d014c75-453b-4188-9e4e-fb086984896a,0.3,0.001,0.5,5.0,0.6861313868613139,"[0.631578947368421, 0.5714285714285714, 0.782608695652174]"
7d014c75-453b-4188-9e4e-fb086984896a,0.4,0.01,0.8,5.0,0.7606837606837606,"[0.631578947368421, 0.717391304347826, 0.8461538461538461]"
7d014c75-453b-4188-9e4e-fb086984896a,0.5,0.0001,0.8,1.0,0.6428571428571429,"[0.38461538461538464, 0.575, 0.7777777777777778]"
7d014c75-453b-4188-9e4e-fb086984896a,0.6,0.01,0.8,8.0,0.717948717948718,"[0.45454545454545453, 0.6451612903225806, 0.8611111111111112]"
7d014c75-453b-4188-9e4e-fb086984896a,0.7,0.001,0.8,8.0,0.7457627118644068,"[0.5555555555555556, 0.72, 0.84]"
7d014c75-453b-4188-9e4e-fb086984896a,0.8,0.0001,0.2,0.1,0.7692307692307693,"[0.7142857142857143, 0.6153846153846154, 0.8947368421052632]"
