User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
U_1,0.01,0.05,0.0001,0.05,0.4050632911392405,"[0.7708333333333334, 0.18604651162790697, 0.4583333333333333]"
U_1,0.1,0.1,0.0001,0.05,0.6986301369863014,"[0.75, 0.7073170731707317, 0.5833333333333334]"
U_1,0.05,0.2,0.5,0.05,0.6615384615384615,"[0.7894736842105263, 0.6666666666666666, 0.4]"
U_1,0.05,0.3,0.5,0.9,0.6842105263157895,"[0.7368421052631579, 0.6774193548387096, 0.5714285714285714]"
U_1,0.1,0.4,0.5,0.1,0.6122448979591837,"[0.625, 0.6538461538461539, 0.42857142857142855]"
U_1,0.1,0.5,0.1,0.1,0.6829268292682927,"[0.75, 0.6666666666666666, 0.5]"
U_1,0.1,0.6,0.1,0.9,0.696969696969697,"[0.7857142857142857, 0.6666666666666666, 0.5]"
U_1,0.1,0.7,0.01,0.05,0.72,"[0.8333333333333334, 0.7, 0.3333333333333333]"
U_1,0.1,0.8,0.1,0.8,0.5294117647058824,"[0.625, 0.42857142857142855, 0.5]"
U_1,0.1,0.9,0.1,0.8,0.7777777777777778,"[0.75, 0.75, 1.0]"
U_10,0.1,0.05,0.0001,0.9,0.4186046511627907,"[0.20270270270270271, 0.7465753424657534, 0.16129032258064516]"
U_10,0.05,0.1,0.5,0.9,0.559748427672956,"[0.3055555555555556, 0.5238095238095238, 0.75]"
U_10,0.05,0.2,0.1,0.05,0.6170212765957447,"[0.2222222222222222, 0.6666666666666666, 0.8333333333333334]"
U_10,0.01,0.3,0.5,0.2,0.7903225806451613,"[0.7878787878787878, 0.7105263157894737, 0.8490566037735849]"
U_10,0.1,0.4,0.1,0.5,0.7264150943396226,"[0.6875, 0.6571428571428571, 0.8205128205128205]"
U_10,0.01,0.5,0.5,0.1,0.7954545454545454,"[0.8260869565217391, 0.6666666666666666, 0.868421052631579]"
U_10,0.05,0.6,0.1,0.2,0.8028169014084507,"[0.8235294117647058, 0.7142857142857143, 0.8484848484848485]"
U_10,0.01,0.7,0.1,0.1,0.8679245283018868,"[0.8571428571428571, 0.5555555555555556, 0.9666666666666667]"
U_10,0.1,0.8,0.1,0.05,0.8333333333333334,"[0.5, 0.6, 0.896551724137931]"
U_10,0.01,0.9,0.1,0.2,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]"
U_11,0.01,0.05,0.0001,0.05,0.1917808219178082,"[0.7058823529411765, 0.0625, 0.0]"
U_11,0.1,0.1,0.0001,0.1,0.4117647058823529,"[0.25, 0.8571428571428571, 0.0]"
U_11,0.1,0.2,0.5,0.1,0.6,"[0.5, 0.8571428571428571, 0.3333333333333333]"
U_11,0.01,0.3,0.5,0.5,0.46153846153846156,"[0.5, 0.9166666666666666, 0.0]"
U_11,0.1,0.4,0.5,0.8,0.7391304347826086,"[0, 0.9090909090909091, 0.5833333333333334]"
U_11,0.1,0.5,0.001,0.2,0.3157894736842105,"[0, 0.8571428571428571, 0.0]"
U_11,0.1,0.6,0.5,0.5,0.13333333333333333,"[0, 0.6666666666666666, 0.0]"
U_11,0.1,0.7,0.1,0.1,0.16666666666666666,"[0, 0, 0.16666666666666666]"
U_11,0.1,0.8,0.1,0.05,1.0,"[0, 0, 1.0]"
U_11,0.1,0.9,0.1,0.05,1.0,"[0, 0, 1.0]"
U_12,0.01,0.05,0.0001,0.05,0.31543624161073824,"[0.7317073170731707, 0.10638297872340426, 0.5]"
U_12,0.1,0.1,0.0001,0.9,0.7681159420289855,"[0.6875, 0.8085106382978723, 0.6666666666666666]"
U_12,0.1,0.2,0.0001,0.9,0.819672131147541,"[0.7333333333333333, 0.8536585365853658, 0.8]"
U_12,0.01,0.3,0.5,0.8,0.7962962962962963,"[0.6923076923076923, 0.8378378378378378, 0.75]"
U_12,0.01,0.4,0.5,0.8,0.8043478260869565,"[0.8181818181818182, 0.8064516129032258, 0.75]"
U_12,0.01,0.5,0.1,0.05,0.7631578947368421,"[0.7272727272727273, 0.7916666666666666, 0.6666666666666666]"
U_12,0.1,0.6,0.001,0.05,0.7741935483870968,"[0.6666666666666666, 0.8181818181818182, 0.6666666666666666]"
U_12,0.1,0.7,0.01,0.1,0.782608695652174,"[0.8, 0.8, 0.6666666666666666]"
U_12,0.01,0.8,0.1,0.1,0.75,"[0.8, 0.7, 1.0]"
U_12,0.1,0.9,0.5,0.1,0.625,"[0.5, 0.6, 1.0]"
U_13,0.01,0.05,0.5,0.2,0.5555555555555556,"[0.5714285714285714, 0.6617647058823529, 0.2857142857142857]"
U_13,0.1,0.1,0.001,0.1,0.5925925925925926,"[0.5, 0.6875, 0.4166666666666667]"
U_13,0.1,0.2,0.1,0.05,0.4583333333333333,"[0.2222222222222222, 0.6296296296296297, 0.25]"
U_13,0.1,0.3,0.01,0.2,0.5238095238095238,"[0.6, 0.64, 0.25]"
U_13,0.1,0.4,0.1,0.9,0.5555555555555556,"[0.6, 0.7142857142857143, 0.2]"
U_13,0.1,0.5,0.01,0.05,0.7666666666666667,"[1.0, 0.6470588235294118, 0.9]"
U_13,0.1,0.6,0.01,0.2,0.4583333333333333,"[0.6666666666666666, 0.5, 0.3333333333333333]"
U_13,0.01,0.7,0.5,0.8,0.4444444444444444,"[1.0, 0.6666666666666666, 0.125]"
U_13,0.1,0.8,0.0001,0.2,0.75,"[1.0, 0.6666666666666666, 0.8]"
U_13,0.1,0.9,0.1,0.5,0.8333333333333334,"[0, 0.6666666666666666, 1.0]"
U_14,0.01,0.05,0.0001,0.05,0.30434782608695654,"[0.75, 0.13636363636363635, 0.16666666666666666]"
U_14,0.01,0.1,0.0001,0.05,0.2558139534883721,"[0.6666666666666666, 0.13636363636363635, 0.16666666666666666]"
U_14,0.1,0.2,0.001,0.1,0.5263157894736842,"[0.75, 0.6666666666666666, 0.16666666666666666]"
U_14,0.1,0.3,0.01,0.2,0.6666666666666666,"[0.75, 0.5, 0.8181818181818182]"
