Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Algo,original_dataframe_index
Actor_Critic,pro15_ade_p4,0.05,0.0001,0.2,1.0,0.2486486486486486,"[None, None, None]",0.0,0.0,ActorCritic,0
Actor_Critic,pro15_ade_p4,0.1,0.0001,0.05,1.0,0.3314285714285714,"[None, None, None]",0.0,0.0,ActorCritic,1
Actor_Critic,pro15_ade_p4,0.2,0.0001,0.1,1.0,0.3032258064516129,"[None, None, None]",0.0,0.0,ActorCritic,2
Actor_Critic,pro15_ade_p4,0.3,0.0001,0.2,1.0,0.2666666666666666,"[None, None, None]",0.0,0.0,ActorCritic,3
Actor_Critic,pro15_ade_p4,0.4,0.0001,0.9,1.0,0.2695652173913043,"[None, None, None]",0.0,0.0,ActorCritic,4
Actor_Critic,pro15_ade_p4,0.5,0.0001,0.8,1.0,0.2631578947368421,"[None, None, None]",0.0,0.0,ActorCritic,5
Actor_Critic,pro15_ade_p4,0.6,0.0001,0.5,1.0,0.225,"[None, None, None]",0.0,0.0,ActorCritic,6
Actor_Critic,pro15_ade_p4,0.7,0.0001,0.2,1.0,0.1166666666666666,"[None, None, None]",0.0,0.0,ActorCritic,7
Actor_Critic,pro15_ade_p4,0.8,0.001,0.8,1.0,0.225,"[None, None, None]",0.0,0.0,ActorCritic,8
Actor_Critic,pro15_ade_p4,0.9,0.0001,0.05,1.0,0.25,"[None, None, None]",0.0,0.0,ActorCritic,9
Actor_Critic,pro23_acf_p4,0.05,0.0001,0.05,1.0,0.5872340425531914,"[None, None, None]",0.0,0.0,ActorCritic,10
Actor_Critic,pro23_acf_p4,0.1,0.0001,0.05,1.0,0.1777777777777777,"[None, None, None]",0.0,0.0,ActorCritic,11
Actor_Critic,pro23_acf_p4,0.2,0.0001,0.8,1.0,0.105,"[None, None, None]",0.0,0.0,ActorCritic,12
Actor_Critic,pro23_acf_p4,0.3,0.1,0.1,1.0,0.6971428571428572,"[None, None, None]",0.0,0.0,ActorCritic,13
