User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
data/NDSI-2D/U_1,0.5733333333333334,0.05,0,0,Naive,"[0.2857142857142857, 0.7209302325581395, 0.5454545454545454]"
data/NDSI-2D/U_1,0.6901408450704225,0.1,0,0,Naive,"[0.75, 0.725, 0.45454545454545453]"
data/NDSI-2D/U_1,0.4126984126984127,0.2,0,0,Naive,"[0.7894736842105263, 0.17142857142857143, 0.5555555555555556]"
data/NDSI-2D/U_1,0.7272727272727273,0.3,0,0,Naive,"[0.7894736842105263, 0.7, 0.6666666666666666]"
data/NDSI-2D/U_1,0.1702127659574468,0.4,0,0,Naive,"[0.1875, 0.12, 0.3333333333333333]"
data/NDSI-2D/U_1,0.46153846153846156,0.5,0,0,Naive,"[0.1875, 0.7, 0.3333333333333333]"
data/NDSI-2D/U_1,0.7741935483870968,0.6,0,0,Naive,"[0.8571428571428571, 0.7142857142857143, 0.6666666666666666]"
data/NDSI-2D/U_1,0.4782608695652174,0.7,0,0,Naive,"[0.8181818181818182, 0.1, 0.5]"
data/NDSI-2D/U_1,0.4,0.8,0,0,Naive,"[0.125, 0.7142857142857143, 0]"
data/NDSI-2D/U_1,0.42857142857142855,0.9,0,0,Naive,"[0.6666666666666666, 0.25, 0]"
data/NDSI-2D/U_10,0.8072289156626506,0.05,0,0,Naive,"[0.8055555555555556, 0.7681159420289855, 0.8524590163934426]"
data/NDSI-2D/U_10,0.14012738853503184,0.1,0,0,Naive,"[0.19444444444444445, 0.11290322580645161, 0.13559322033898305]"
data/NDSI-2D/U_10,0.5107913669064749,0.2,0,0,Naive,"[0.8055555555555556, 0.72, 0.11320754716981132]"
data/NDSI-2D/U_10,0.47540983606557374,0.3,0,0,Naive,"[0.15625, 0.15789473684210525, 0.9038461538461539]"
data/NDSI-2D/U_10,0.34615384615384615,0.4,0,0,Naive,"[0.84375, 0.14285714285714285, 0.10810810810810811]"
data/NDSI-2D/U_10,0.3023255813953488,0.5,0,0,Naive,"[0.17391304347826086, 0.6923076923076923, 0.10810810810810811]"
data/NDSI-2D/U_10,0.6521739130434783,0.6,0,0,Naive,"[0.8235294117647058, 0.14285714285714285, 0.9032258064516129]"
data/NDSI-2D/U_10,0.29411764705882354,0.7,0,0,Naive,"[0.8571428571428571, 0.25, 0.034482758620689655]"
data/NDSI-2D/U_10,0.08823529411764706,0.8,0,0,Naive,"[0.5, 0.2, 0.037037037037037035]"
data/NDSI-2D/U_10,0.625,0.9,0,0,Naive,"[0.5, 0.2, 0.8888888888888888]"
data/NDSI-2D/U_11,0.20588235294117646,0.05,0,0,Naive,"[0.75, 0.06666666666666667, 0.0]"
data/NDSI-2D/U_11,0.4375,0.1,0,0,Naive,"[0.2857142857142857, 0.07142857142857142, 1.0]"
data/NDSI-2D/U_11,0.4642857142857143,0.2,0,0,Naive,"[0.25, 0.07692307692307693, 1.0]"
data/NDSI-2D/U_11,0.4583333333333333,0.3,0,0,Naive,"[0.0, 0.0, 1.0]"
data/NDSI-2D/U_11,0.0,0.4,0,0,Naive,"[0, 0.0, 0.0]"
data/NDSI-2D/U_11,0.0,0.5,0,0,Naive,"[0, 0.0, 0.0]"
data/NDSI-2D/U_11,0.07692307692307693,0.6,0,0,Naive,"[0, 0.5, 0.0]"
data/NDSI-2D/U_11,1.0,0.7,0,0,Naive,"[0, 0, 1.0]"
data/NDSI-2D/U_11,1.0,0.8,0,0,Naive,"[0, 0, 1.0]"
data/NDSI-2D/U_11,0.0,0.9,0,0,Naive,"[0, 0, 0.0]"
data/NDSI-2D/U_12,0.2535211267605634,0.05,0,0,Naive,"[0.7058823529411765, 0.0851063829787234, 0.2857142857142857]"
data/NDSI-2D/U_12,0.2537313432835821,0.1,0,0,Naive,"[0.7857142857142857, 0.0851063829787234, 0.3333333333333333]"
data/NDSI-2D/U_12,0.288135593220339,0.2,0,0,Naive,"[0.7857142857142857, 0.07317073170731707, 0.75]"
data/NDSI-2D/U_12,0.2692307692307692,0.3,0,0,Naive,"[0.7272727272727273, 0.08108108108108109, 0.75]"
data/NDSI-2D/U_12,0.13636363636363635,0.4,0,0,Naive,"[0.2, 0.1, 0.25]"
data/NDSI-2D/U_12,0.3333333333333333,0.5,0,0,Naive,"[0.8, 0.13043478260869565, 0.3333333333333333]"
