Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.05,0.0001,0.9,0.9473684210526315,0,1.0016420361247949
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.1,0.001,0.05,0.9548611111111112,0,1.001733102253033
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.2,0.001,0.5,0.97265625,0,1.0019493177387915
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.3,0.0001,0.05,0.9821428571428571,0,1.002227171492205
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.4,0.0001,0.05,0.96875,0,1.0025974025974027
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.5,0.0001,0.05,0.9625,0,1.0031152647975077
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.6,0.0001,0.05,0.96875,0,1.0038910505836574
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.7,0.001,0.05,0.9583333333333334,0,1.0051813471502593
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.8,0.0001,0.1,0.90625,0,1.0077519379844961
QLearn,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.9,0.0001,0.1,0.875,0,1.0153846153846153
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.05,0.01,0.05,0.8006756756756757,0,1.0016863406408094
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.1,0.0001,0.8,0.7892857142857143,0,1.0017825311942958
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.2,0.001,0.9,0.7951807228915663,0,1.0020040080160324
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.3,0.001,0.1,0.7935779816513762,0,1.0022883295194507
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.4,0.0001,0.99,0.7967914438502673,0,1.0026666666666668
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.5,0.0001,0.05,0.8012820512820513,0,1.0031948881789137
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.6,0.0001,0.1,0.784,0,1.0039840637450195
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.7,0.0001,0.1,0.7978723404255319,0,1.0052910052910053
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.8,0.001,0.9,0.7301587301587301,0,1.0078740157480315
QLearn,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.9,0.0001,0.1,0.75,0,1.0153846153846153
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.05,0.0001,0.05,0.9414348462664714,0,1.0003658982802779
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.1,0.0001,0.05,0.9474497681607419,0,1.000386249517188
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.2,0.0001,0.8,0.9556521739130435,0,1.0004345936549328
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.3,0.0001,0.05,0.9602385685884692,0,1.0004967709885741
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.4,0.0001,0.99,0.9617612977983777,0,1.0005790387955995
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.5,0.001,0.2,0.9568845618915159,0,1.0006949270326617
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.6,0.0001,0.5,0.9565217391304348,0,1.000868809730669
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.7,0.001,0.5,0.9745370370370371,0,1.001156069364162
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.8,0.0001,0.1,0.9826388888888888,0,1.001733102253033
QLearn,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.9,0.001,0.1,0.9652777777777778,0,1.0034602076124568
