User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy
pro10_bdf_p3,0.5851528384279476,0.1,0,0,OnlineSVM,"defaultdict(None, {'same': (149, 0.7516778523489933), 'modify-1': (48, 0.25), 'modify-3': (3, 0.0), 'modify-2': (29, 0.3448275862068966)})"
pro10_bdf_p3,0.5931372549019608,0.2,0,0,OnlineSVM,"defaultdict(None, {'same': (126, 0.746031746031746), 'modify-3': (3, 0.0), 'modify-1': (46, 0.34782608695652173), 'modify-2': (29, 0.3793103448275862)})"
pro10_bdf_p3,0.5617977528089888,0.3,0,0,OnlineSVM,"defaultdict(None, {'same': (112, 0.7321428571428571), 'modify-1': (44, 0.3409090909090909), 'modify-2': (20, 0.15), 'modify-3': (2, 0.0)})"
pro10_bdf_p3,0.5490196078431373,0.4,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (20, 0.25), 'modify-1': (41, 0.36585365853658536), 'same': (90, 0.7111111111111111), 'modify-3': (2, 0.0)})"
pro10_bdf_p3,0.5669291338582677,0.5,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (29, 0.3103448275862069), 'same': (82, 0.7195121951219512), 'modify-2': (14, 0.21428571428571427), 'modify-3': (2, 0.5)})"
pro10_bdf_p3,0.5196078431372549,0.6,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (8, 0.125), 'same': (68, 0.7058823529411765), 'modify-1': (24, 0.16666666666666666), 'modify-3': (2, 0.0)})"
pro10_bdf_p3,0.4935064935064935,0.7,0,0,OnlineSVM,"defaultdict(None, {'same': (49, 0.6530612244897959), 'modify-2': (7, 0.0), 'modify-1': (19, 0.2631578947368421), 'modify-3': (2, 0.5)})"
pro10_bdf_p3,0.49019607843137253,0.8,0,0,OnlineSVM,"defaultdict(None, {'same': (33, 0.6666666666666666), 'modify-1': (13, 0.23076923076923078), 'modify-2': (3, 0.0), 'modify-3': (2, 0.0)})"
pro10_bdf_p3,0.38461538461538464,0.9,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (8, 0.25), 'same': (14, 0.5714285714285714), 'modify-2': (2, 0.0), 'modify-3': (2, 0.0)})"
pro11_bcf_p3,0.5436893203883495,0.1,0,0,OnlineSVM,"defaultdict(None, {'same': (76, 0.6842105263157895), 'modify-2': (19, 0.21052631578947367), 'modify-1': (6, 0.0), 'modify-3': (2, 0.0)})"
pro11_bcf_p3,0.5217391304347826,0.2,0,0,OnlineSVM,"defaultdict(None, {'same': (65, 0.676923076923077), 'modify-2': (19, 0.21052631578947367), 'modify-1': (6, 0.0), 'modify-3': (2, 0.0)})"
pro11_bcf_p3,0.4625,0.3,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (17, 0.23529411764705882), 'same': (55, 0.6), 'modify-1': (6, 0.0), 'modify-3': (2, 0.0)})"
pro11_bcf_p3,0.463768115942029,0.4,0,0,OnlineSVM,"defaultdict(None, {'same': (47, 0.5957446808510638), 'modify-3': (2, 0.0), 'modify-2': (16, 0.25), 'modify-1': (4, 0.0)})"
pro11_bcf_p3,0.47368421052631576,0.5,0,0,OnlineSVM,"defaultdict(None, {'same': (39, 0.6153846153846154), 'modify-3': (1, 0.0), 'modify-2': (13, 0.23076923076923078), 'modify-1': (4, 0.0)})"
pro11_bcf_p3,0.43478260869565216,0.6,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (12, 0.16666666666666666), 'same': (30, 0.6), 'modify-1': (4, 0.0)})"
pro11_bcf_p3,0.5428571428571428,0.7,0,0,OnlineSVM,"defaultdict(None, {'same': (24, 0.7083333333333334), 'modify-2': (7, 0.2857142857142857), 'modify-1': (4, 0.0)})"
pro11_bcf_p3,0.5652173913043478,0.8,0,0,OnlineSVM,"defaultdict(None, {'same': (17, 0.7647058823529411), 'modify-1': (4, 0.0), 'modify-2': (2, 0.0)})"
pro11_bcf_p3,0.5,0.9,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (2, 0.0), 'same': (9, 0.6666666666666666), 'modify-2': (1, 0.0)})"
pro12_bdf_p3,0.5818181818181818,0.1,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (18, 0.5555555555555556), 'same': (27, 0.7037037037037037), 'modify-2': (7, 0.2857142857142857), 'modify-3': (3, 0.3333333333333333)})"
pro12_bdf_p3,0.6122448979591837,0.2,0,0,OnlineSVM,"defaultdict(None, {'same': (24, 0.75), 'modify-2': (7, 0.2857142857142857), 'modify-3': (3, 0.3333333333333333), 'modify-1': (15, 0.6)})"
pro12_bdf_p3,0.5813953488372093,0.3,0,0,OnlineSVM,"defaultdict(None, {'same': (20, 0.7), 'modify-3': (3, 0.0), 'modify-2': (5, 0.4), 'modify-1': (15, 0.6)})"
pro12_bdf_p3,0.6216216216216216,0.4,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (14, 0.5714285714285714), 'same': (19, 0.7368421052631579), 'modify-3': (1, 0.0), 'modify-2': (3, 0.3333333333333333)})"
pro12_bdf_p3,0.6129032258064516,0.5,0,0,OnlineSVM,"defaultdict(None, {'same': (18, 0.7777777777777778), 'modify-1': (9, 0.4444444444444444), 'modify-3': (1, 0.0), 'modify-2': (3, 0.3333333333333333)})"
pro12_bdf_p3,0.48,0.6,0,0,OnlineSVM,"defaultdict(None, {'same': (13, 0.5384615384615384), 'modify-1': (8, 0.5), 'modify-3': (1, 0.0), 'modify-2': (3, 0.3333333333333333)})"
pro12_bdf_p3,0.5789473684210527,0.7,0,0,OnlineSVM,"defaultdict(None, {'same': (8, 0.75), 'modify-1': (7, 0.5714285714285714), 'modify-3': (1, 0.0), 'modify-2': (3, 0.3333333333333333)})"
pro12_bdf_p3,0.6923076923076923,0.8,0,0,OnlineSVM,"defaultdict(None, {'same': (7, 0.7142857142857143), 'modify-2': (2, 0.5), 'modify-1': (4, 0.75)})"
pro12_bdf_p3,0.5714285714285714,0.9,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (1, 0.0), 'modify-1': (4, 0.75), 'same': (2, 0.5)})"
pro14_bdf_p3,0.3333333333333333,0.1,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (8, 0.0), 'modify-1': (19, 0.15789473684210525), 'same': (39, 0.48717948717948717)})"
pro14_bdf_p3,0.3728813559322034,0.2,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (17, 0.17647058823529413), 'same': (36, 0.5), 'modify-2': (6, 0.16666666666666666)})"
pro14_bdf_p3,0.40384615384615385,0.3,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (15, 0.13333333333333333), 'same': (32, 0.5625), 'modify-2': (5, 0.2)})"
pro14_bdf_p3,0.45454545454545453,0.4,0,0,OnlineSVM,"defaultdict(None, {'same': (30, 0.6333333333333333), 'modify-2': (4, 0.0), 'modify-1': (10, 0.1)})"
pro14_bdf_p3,0.4864864864864865,0.5,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (10, 0.1), 'same': (25, 0.64), 'modify-2': (2, 0.5)})"
pro14_bdf_p3,0.5,0.6,0,0,OnlineSVM,"defaultdict(None, {'modify-1': (8, 0.125), 'same': (20, 0.65), 'modify-2': (2, 0.5)})"
pro14_bdf_p3,0.4090909090909091,0.7,0,0,OnlineSVM,"defaultdict(None, {'same': (14, 0.5714285714285714), 'modify-1': (6, 0.16666666666666666), 'modify-2': (2, 0.0)})"
pro14_bdf_p3,0.2,0.8,0,0,OnlineSVM,"defaultdict(None, {'same': (8, 0.25), 'modify-1': (5, 0.2), 'modify-2': (2, 0.0)})"
pro14_bdf_p3,0.375,0.9,0,0,OnlineSVM,"defaultdict(None, {'modify-2': (1, 0.0), 'same': (5, 0.6), 'modify-1': (2, 0.0)})"
pro16_bce_p3,0.7741935483870968,0.1,0,0,OnlineSVM,"defaultdict(None, {'same': (62, 0.7903225806451613), 'modify-2': (50, 0.78), 'modify-1': (10, 0.7), 'modify-3': (2, 0.5)})"
pro16_bce_p3,0.7363636363636363,0.2,0,0,OnlineSVM,"defaultdict(None, {'same': (52, 0.7884615384615384), 'modify-2': (46, 0.7391304347826086), 'modify-1': (10, 0.6), 'modify-3': (2, 0.0)})"
pro16_bce_p3,0.6979166666666666,0.3,0,0,OnlineSVM,"defaultdict(None, {'same': (44, 0.7272727272727273), 'modify-2': (42, 0.7142857142857143), 'modify-1': (8, 0.625), 'modify-3': (2, 0.0)})"
