Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon
QLearn,pro18_adf_p4,0.05,0.0001,0.1,0,0.4383561643835616,0,1.0068027210884356,0.7
QLearn,pro18_adf_p4,0.1,0.0001,0.05,0,0.5217391304347826,0,1.0071942446043165,0.5
QLearn,pro18_adf_p4,0.2,0.0001,0.5,0,0.5573770491803278,0,1.0081300813008132,0.1
QLearn,pro18_adf_p4,0.3,0.0001,0.8,0,0.5925925925925926,0,1.0091743119266057,0.1
QLearn,pro18_adf_p4,0.4,0.0001,0.99,0,0.5217391304347826,0,1.010752688172043,0.1
QLearn,pro18_adf_p4,0.5,0.0001,0.1,0,0.631578947368421,0,1.0129870129870129,0.1
QLearn,pro18_adf_p4,0.6,0.0001,0.1,0,0.6129032258064516,0,1.0158730158730158,0.1
QLearn,pro18_adf_p4,0.7,0.01,0.05,0,0.6521739130434783,0,1.0212765957446808,0.1
QLearn,pro18_adf_p4,0.8,1.0,0.1,0,0.6875,0,1.0303030303030303,0.05
QLearn,pro18_adf_p4,0.9,1.0,0.1,0,0.625,0,1.058823529411765,0.05
QLearn,pro23_acf_p4,0.05,0.0001,0.1,0,0.5142857142857142,0,1.0047393364928912,0.5
QLearn,pro23_acf_p4,0.1,0.001,0.5,0,0.5050505050505051,0,1.0050251256281406,0.5
QLearn,pro23_acf_p4,0.2,1.0,0.2,0,0.6363636363636364,0,1.0056497175141244,0.1
QLearn,pro23_acf_p4,0.3,0.1,0.1,0,0.7142857142857143,0,1.006451612903226,0.1
QLearn,pro23_acf_p4,0.4,0.1,0.05,0,0.7575757575757576,0,1.0075187969924813,0.1
QLearn,pro23_acf_p4,0.5,0.5,0.05,0,0.7818181818181819,0,1.0090090090090091,0.1
QLearn,pro23_acf_p4,0.6,0.5,0.5,0,0.75,0,1.0112359550561798,0.05
QLearn,pro23_acf_p4,0.7,0.5,0.5,0,0.7878787878787878,0,1.0149253731343282,0.1
QLearn,pro23_acf_p4,0.8,0.5,0.1,0,0.9090909090909091,0,1.0222222222222221,0.05
QLearn,pro23_acf_p4,0.9,0.5,0.1,0,0.9090909090909091,0,1.0434782608695652,0.05
QLearn,pro24_adf_p4,0.05,0.5,0.2,0,0.4380952380952381,0,1.0047393364928907,0.7
QLearn,pro24_adf_p4,0.1,0.0001,0.2,0,0.6161616161616161,0,1.0050251256281404,0.05
QLearn,pro24_adf_p4,0.2,0.001,0.99,0,0.5909090909090909,0,1.0056497175141241,0.05
QLearn,pro24_adf_p4,0.3,1.0,0.1,0,0.5324675324675324,0,1.0064516129032257,0.1
QLearn,pro24_adf_p4,0.4,0.001,0.1,0,0.5303030303030303,0,1.007518796992481,0.05
QLearn,pro24_adf_p4,0.5,0.001,0.5,0,0.4909090909090909,0,1.0090090090090087,0.05
QLearn,pro24_adf_p4,0.6,0.0001,0.99,0,0.5909090909090909,0,1.0112359550561798,0.1
QLearn,pro24_adf_p4,0.7,0.0001,0.8,0,0.6060606060606061,0,1.0149253731343284,0.05
QLearn,pro24_adf_p4,0.8,0.5,0.1,0,0.7272727272727273,0,1.0222222222222226,0.05
QLearn,pro24_adf_p4,0.9,0.5,0.1,0,0.7272727272727273,0,1.043478260869565,0.1
QLearn,pro13_ace_p4,0.05,0.0001,0.05,0,0.46296296296296297,0,1.0046082949308757,0.5
QLearn,pro13_ace_p4,0.1,1.0,0.8,0,0.5392156862745098,0,1.0048780487804878,0.05
QLearn,pro13_ace_p4,0.2,0.001,0.2,0,0.6703296703296703,0,1.005464480874317,0.1
QLearn,pro13_ace_p4,0.3,0.5,0.05,0,0.7,0,1.0062111801242233,0.1
QLearn,pro13_ace_p4,0.4,0.0001,0.2,0,0.7058823529411765,0,1.0072992700729928,0.05
QLearn,pro13_ace_p4,0.5,0.0001,0.2,0,0.7543859649122807,0,1.0086956521739132,0.05
QLearn,pro13_ace_p4,0.6,0.1,0.1,0,0.8043478260869565,0,1.010752688172043,0.1
QLearn,pro13_ace_p4,0.7,0.5,0.2,0,0.7352941176470589,0,1.0144927536231885,0.05
QLearn,pro13_ace_p4,0.8,0.0001,0.99,0,0.7391304347826086,0,1.0212765957446812,0.1
QLearn,pro13_ace_p4,0.9,0.5,0.1,0,0.9166666666666666,0,1.0399999999999998,0.05
QLearn,pro15_ade_p4,0.05,0.0001,0.99,0,0.44036697247706424,0,1.004566210045662,0.1
QLearn,pro15_ade_p4,0.1,0.0001,0.2,0,0.46601941747572817,0,1.0048309178743962,0.1
QLearn,pro15_ade_p4,0.2,0.1,0.05,0,0.532608695652174,0,1.0054054054054056,0.1
QLearn,pro15_ade_p4,0.3,0.001,0.8,0,0.4875,0,1.0062111801242235,0.1
QLearn,pro15_ade_p4,0.4,0.001,0.8,0,0.5072463768115942,0,1.007194244604317,0.1
QLearn,pro15_ade_p4,0.5,0.001,0.2,0,0.47368421052631576,0,1.0086956521739128,0.05
QLearn,pro15_ade_p4,0.6,0.001,0.2,0,0.4782608695652174,0,1.0107526881720426,0.1
QLearn,pro15_ade_p4,0.7,0.0001,0.1,0,0.3142857142857143,0,1.0140845070422537,0.1
QLearn,pro15_ade_p4,0.8,0.001,0.1,0,0.391304347826087,0,1.0212765957446805,0.1
QLearn,pro15_ade_p4,0.9,0.5,0.5,0,0.5833333333333334,0,1.04,0.05
QLearn,pro22_ade_p4,0.05,0.5,0.2,0,0.7076923076923077,0,1.0038314176245209,0.1
QLearn,pro22_ade_p4,0.1,0.001,0.05,0,0.6910569105691057,0,1.0040485829959511,0.1
