Algorithm 1,Algorithm 2,t-statistic,p-value
OfflineSVM,Online SVM,-6.626756109112217,7.915780597292624e-11
OfflineSVM,WSLS,24.18335024386466,1.2694821075923506e-89
OfflineSVM,Random,23.803617094865196,1.2093875349354406e-87
OfflineSVM,Greedy,-5.705140835889252,1.8635042733355333e-08
OfflineSVM,Momentum,-3.065734148962992,0.00227347204893388
OfflineSVM,Bayesian,-0.9171838420187775,0.35943151036559473
OfflineSVM,HMM,5.164520139928161,3.3294551790119384e-07
OfflineSVM,QLearn,-7.504975755105577,2.3556765428414993e-13
OfflineSVM,Actor-Critic,-5.375406612252494,1.1129800394248414e-07
OfflineSVM,Reinforce,-4.388871658097779,1.3563195948686636e-05
OfflineSVM,SARSA,-7.248193561911926,1.3702453267389573e-12
OfflineSVM,QLearnAligned,-14.37343381347861,3.0924308385595403e-40
Online SVM,WSLS,48.98701213818672,3.459138573917243e-207
Online SVM,Random,47.59018806049341,2.1283399605717215e-201
Online SVM,Greedy,0.6832738220364175,0.4947095305179412
Online SVM,Momentum,4.801354523456296,2.0131045666700675e-06
Online SVM,Bayesian,7.841295396472009,2.1827137559366792e-14
Online SVM,HMM,11.834112892837917,4.583968783139531e-29
Online SVM,QLearn,-1.226476294703089,0.22052236344094334
Online SVM,Actor-Critic,1.0048588245146848,0.3153882436360075
Online SVM,Reinforce,1.8823351907380372,0.06029611519852735
Online SVM,SARSA,-0.8341636445335017,0.4045357826242906
Online SVM,QLearnAligned,-10.700661811607725,1.72450275679714e-24
WSLS,Random,-0.2906060286546361,0.7714576135434512
WSLS,Greedy,-40.65822955849241,3.923165206642878e-171
WSLS,Momentum,-41.89133718717417,1.0465729050877774e-176
WSLS,Bayesian,-38.934806504954835,3.328794611759678e-163
WSLS,HMM,-14.095951597160022,5.8117078117030135e-39
WSLS,QLearn,-50.22934997925753,2.9834724405625095e-212
WSLS,Actor-Critic,-39.06864691254872,7.957736007991297e-164
WSLS,Reinforce,-34.301149682021105,4.202340326503083e-141
WSLS,SARSA,-50.42664451610997,4.7611586120320835e-213
WSLS,QLearnAligned,-67.80504244165505,3.5232567040514907e-276
Random,Greedy,-39.769255838754916,4.60541066478215e-167
Random,Momentum,-40.71793015312312,2.0983247929690066e-171
Random,Bayesian,-37.79453843153683,7.182502242934951e-158
Random,HMM,-13.879052741476713,5.648103927326709e-38
Random,QLearn,-48.817223166303826,1.7268160202618752e-206
Random,Actor-Critic,-38.251740487076184,5.1189575070868576e-160
Random,Reinforce,-33.679867567186356,4.679421526585105e-138
Random,SARSA,-48.973949270703685,3.914153010075212e-207
Random,QLearnAligned,-65.5939444526466,7.385226773042406e-269
Greedy,Momentum,3.628537571767571,0.0003104547925701572
Greedy,Bayesian,6.33055109096206,4.928929808768418e-10
Greedy,HMM,10.811130089515546,6.361546742699532e-25
Greedy,QLearn,-1.7780881836609628,0.07591866325470543
Greedy,Actor-Critic,0.30765650917056714,0.7584553138241027
Greedy,Reinforce,1.1673357639586759,0.24355949074475472
Greedy,SARSA,-1.430734328724494,0.15305052842950093
Greedy,QLearnAligned,-10.160474647295029,2.051712658613576e-22
Momentum,Bayesian,2.938842990193189,0.003426850364087294
Momentum,HMM,8.683302297349043,3.9906306574080106e-17
Momentum,QLearn,-5.991988097256811,3.662033536198003e-09
Momentum,Actor-Critic,-3.2214288097700843,0.001347742342794397
Momentum,Reinforce,-2.0589844407921927,0.03994633436464384
Momentum,SARSA,-5.646599269060973,2.576118280232609e-08
Momentum,QLearnAligned,-15.604277166848044,5.108056176187845e-46
Bayesian,HMM,6.825720206557669,2.2302875818022756e-11
Bayesian,QLearn,-9.03425845119637,2.5033667556544958e-18
Bayesian,Actor-Critic,-5.862208835034017,7.70911440629166e-09
Bayesian,Reinforce,-4.502694160078895,8.129710940505103e-06
Bayesian,SARSA,-8.712271843803574,3.1850242672542463e-17
Bayesian,QLearnAligned,-18.974283360158918,1.104453924631751e-62
HMM,QLearn,-12.597101155057253,2.678628830798058e-32
HMM,Actor-Critic,-10.474155230579814,1.3049631828254073e-23
HMM,Reinforce,-9.43082451096349,9.960277001046128e-20
HMM,SARSA,-12.386771740425443,2.1415626946714123e-31
HMM,QLearnAligned,-18.668906268842537,3.899464543921097e-61
QLearn,Actor-Critic,2.075772607177567,0.03835961876240562
QLearn,Reinforce,2.8758487758341853,0.004179011880401219
QLearn,SARSA,0.40168934544828666,0.6880621791882846
QLearn,QLearnAligned,-9.354899254506702,1.8607812748921816e-19
Actor-Critic,Reinforce,0.8649520339215558,0.3874264513935871
Actor-Critic,SARSA,-1.7375837188706869,0.08282053937241209
Actor-Critic,QLearnAligned,-10.276784322113514,7.435381918963821e-23
Reinforce,SARSA,-2.565527617937659,0.01055472136081942
Reinforce,QLearnAligned,-10.475018503579271,1.2950064727742134e-23
SARSA,QLearnAligned,-9.87659709575841,2.3640011035302315e-21
