Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-14 14:14:14.192,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
zoom,Navigation,2016-06-14 14:14:38.087,0.4,23.895,0,1,1,1,0.3800685,1,57.0625,30.9375,0.0
zoom,Navigation,2016-06-14 14:14:38.299,0.5,0.212,0,1,2,2,0.338582375,1,36.5,27.0625,0.0
pan,Sensemaking,2016-06-14 14:14:39.640,0.4,1.341,0,1,2,2,0.49508512499999996,1,113.5,37.0,0.48292488895432034
pan,Sensemaking,2016-06-14 14:14:41.840,0.5,2.2,0,1,2,2,0.6329504375,1,93.625,44.5625,5.244408633197874
pan,Sensemaking,2016-06-14 14:14:57.287,0.5714285714285714,15.447,0,1,2,2,0.6327995,1,89.0,44.5,282.4558773811239
pan,Sensemaking,2016-06-14 14:14:59.502,0.625,2.215,0,1,2,2,0.65440125,1,99.375,46.375,358.9566582440933
pan,Sensemaking,2016-06-14 14:15:03.728,0.6666666666666666,4.226,0,1,2,2,0.6507815,1,89.5,44.5,285.0306926305566
pan,Sensemaking,2016-06-14 14:15:04.622,0.7,0.894,0,1,2,2,0.6324280625,1,105.0,46.375,358.4894351925909
pan,Sensemaking,2016-06-14 14:15:06.343,0.7272727272727273,1.721,0,1,2,2,0.6326205,1,89.5,44.5,325.9042675266661
pan,Sensemaking,2016-06-14 14:15:07.174,0.75,0.831,0,1,2,2,0.6326205,1,89.5,44.5,353.99622794271613
pan,Sensemaking,2016-06-14 14:15:07.741,0.7692307692307693,0.567,0,1,2,2,0.6480446875,1,97.5625,45.375,352.62099929654084
pan,Sensemaking,2016-06-14 14:15:09.486,0.7857142857142857,1.745,0,1,2,2,0.6433225,1,87.5,44.5,349.1571155539095
pan,Sensemaking,2016-06-14 14:15:10.206,0.8,0.72,0,1,2,2,0.6433225,1,87.5,44.5,352.0211384889504
