index,UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action,ROI_Cycle,probabilities
121,121,zoom,Navigation,2016-06-15 19:38:36.814,0.2205882352941176,0.7571428571428571,3.462,10,3,2,4,0.6228665,3,9,38.5418625,-105.7333625,"['South', 'SouthWest', 'SouthWest', 'SouthWest', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.0085, -111.688], [38.3697, -105.273], [36.3394, -105.219], [38.3701, -102.886], [38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189]]",Colorado,SouthWest,0.0,same,4,1.0
122,122,zoom,Navigation,2016-06-15 19:38:36.963,0.782608695652174,0.7605633802816901,0.149,10,3,2,3,0.57827975,3,9,35.0961,-99.001675,"['Other', 'South', 'South', 'SouthEast', 'South', 'NorthernRockiesPlains', 'South', 'UpperMidwest']","[[28.9428, -110.021], [34.9908, -98.8853], [29.9522, -98.2459], [32.7023, -85.0019], [35.0085, -111.96], [41.7484, -98.5357], [35.6837, -98.4657], [41.7401, -90.8979]]",Oklahoma,South,0.0,same,4,1.0
123,123,zoom,Navigation,2016-06-15 19:38:37.122,0.7857142857142857,0.7638888888888888,0.159,10,3,2,2,0.618309125,3,9,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,change,4,0.3333333333333333
136,136,zoom,Navigation,2016-06-15 19:38:59.306,0.2253521126760563,0.7671232876712328,0.955,0,3,2,4,0.619396625,3,9,48.494,-98.5404125,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.1276, -105.248], [48.4992, -98.8713], [45.1255, -98.4456], [48.458, -91.7582], [48.5, -105.248], [51.8672, -98.5139], [48.5025, -98.4831], [51.872, -91.7552]]",Montana,NorthernRockiesPlains,0.0,same,4,0.75
137,137,pan,Navigation,2016-06-15 19:39:00.645,0.7777777777777778,0.2162162162162162,1.339,0,3,2,4,0.0,3,9,50.18725,-95.11915,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[48.5025, -98.4831], [51.872, -91.7552], [48.5025, -98.4831], [51.872, -91.7552], [48.5025, -98.4831], [51.872, -91.7552], [48.5025, -98.4831], [51.872, -91.7552]]",North Dakota,NorthernRockiesPlains,2.108353819445357,same,4,0.8
138,138,zoom,Navigation,2016-06-15 19:39:01.274,0.7808219178082192,0.76,0.629,0,3,2,5,0.6397081250000001,4,9,48.5971125,-101.7785875,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[47.018, -105.154], [48.6036, -101.777], [46.9173, -101.775], [48.6054, -98.4245], [48.6097, -105.153], [50.2985, -101.777], [48.6086, -101.774], [50.1158, -98.3942]]",North Dakota,NorthernRockiesPlains,0.0,change,4,0.3333333333333333
165,165,zoom,Navigation,2016-06-15 19:39:29.027,0.2297297297297297,0.7631578947368421,0.773,0,3,2,4,0.62642325,27,10,48.5008,-105.295525,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.1258, -111.985], [48.49, -105.253], [45.1276, -105.248], [48.4992, -98.8713], [48.5219, -111.994], [51.8747, -105.251], [48.5, -105.248], [51.8672, -98.5139]]",Montana,NorthernRockiesPlains,0.0,same,4,0.7142857142857143
166,166,zoom,Navigation,2016-06-15 19:39:29.714,0.7733333333333333,0.7662337662337663,0.687,0,3,2,3,0.6344531250000001,27,10,47.8727125,-99.426225,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355], [48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,0.0,change,4,0.375
169,169,zoom,Navigation,2016-06-15 19:39:33.490,0.2368421052631578,0.7692307692307693,0.875,0,3,2,4,0.63332725,27,10,45.118775,-98.5404375,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.7504, -105.244], [45.1093, -98.502], [41.7565, -98.4982], [45.1237, -91.7562], [45.1276, -105.248], [48.4992, -98.8713], [45.1255, -98.4456], [48.458, -91.7582]]",South Dakota,NorthernRockiesPlains,0.0,same,4,0.6666666666666666
170,170,pan,Navigation,2016-06-15 19:39:35.094,0.7662337662337663,0.2151898734177215,1.604,0,3,2,4,0.30843025,27,10,40.50535,-98.05247500000002,"['SouthWest', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'South', 'UpperMidwest', 'South', 'UpperMidwest']","[[38.3755, -105.001], [41.7499, -98.5189], [39.5587, -98.4872], [41.7471, -95.1461], [39.5587, -98.4872], [41.7471, -95.1461], [39.5587, -98.4872], [41.7471, -95.1461]]",Kansas,South,358.2833042782572,same,4,0.7
