UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
0,start,Foraging,2016-06-15 16:35:58.967,0.6666666666666666,0.4,0.0,0,1,1,0,2.706976,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,change
1,zoom,Navigation,2016-06-15 16:36:37.921,0.6666666666666666,0.4,38.954,0,1,1,1,2.5047135,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'Other', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
2,zoom,Navigation,2016-06-15 16:36:38.451,0.5,0.5,0.53,0,1,1,2,2.364402,1,1,31.098675,-92.82305,"['None', 'South', 'None', 'None', 'None', 'UpperMidwest', 'South', 'Northeast']","[[19.3337, -107.299], [30.4742, -97.2569], [23.9454, -86.0958], [30.4921, -77.7951], [30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601]]",None,None,0.0,same
3,pan,Foraging,2016-06-15 16:36:39.711,0.75,0.3333333333333333,1.26,0,1,1,2,2.5599994999999995,1,1,47.3906125,-88.3725875,"['West', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other']","[[41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,Other,350.1173269992541,change
4,zoom,Foraging,2016-06-15 16:36:41.851,0.4,0.2857142857142857,2.14,0,1,1,1,2.5047135,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'Other', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,same
5,pan,Foraging,2016-06-15 16:36:43.766,0.5,0.375,1.915,0,1,1,1,2.572936,1,1,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,350.12946409479696,same
6,zoom,Foraging,2016-06-15 16:37:10.065,0.5714285714285714,0.3333333333333333,26.299,0,1,1,2,2.6040545,1,1,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'Other']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,same
7,zoom,Navigation,2016-06-15 16:37:11.507,0.6,0.5714285714285714,1.442,0,1,2,1,2.6063345,1,1,41.767250000000004,-87.9112125,"['None', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,Other,0.0,change
8,zoom,Navigation,2016-06-15 16:37:11.963,0.5,0.625,0.456,0,1,2,0,2.706976,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,same
9,pan,Foraging,2016-06-15 16:37:17.489,0.5,0.4,5.526,0,1,2,0,2.706976,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.055346569060954,change
10,pan,Foraging,2016-06-15 16:37:24.585,0.5555555555555556,0.45454545454545453,7.096,0,1,2,0,2.706976,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,359.9162763673267,same
11,zoom,Foraging,2016-06-15 16:37:25.947,0.6,0.3333333333333333,1.362,0,1,2,1,2.6063345,1,1,41.767250000000004,-87.9112125,"['None', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,Other,0.0,same
12,zoom,Foraging,2016-06-15 16:37:27.152,0.6363636363636364,0.38461538461538464,1.205,0,1,2,0,2.706976,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,same
13,zoom,Navigation,2016-06-15 16:37:28.811,0.5714285714285714,0.6666666666666666,1.659,0,1,2,1,2.6063345,1,1,41.767250000000004,-87.9112125,"['None', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,Other,0.0,change
14,zoom,Navigation,2016-06-15 16:37:29.490,0.5,0.7,0.679,0,1,2,2,2.4732365,1,1,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'Other', 'UpperMidwest', 'Other']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,same
15,pan,Navigation,2016-06-15 16:37:37.233,0.5555555555555556,0.18181818181818182,7.743,0,1,2,2,2.53624,1,1,47.3949,-82.7435,"['UpperMidwest', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,352.85438640214693,same
16,zoom,Navigation,2016-06-15 16:37:40.013,0.6,0.6666666666666666,2.78,0,1,2,3,2.5378125000000002,1,1,47.8727125,-99.42622499999999,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355], [48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,0.0,same
