Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-10 17:51:46.368,0.4,0.0,0,1,1,0,0.676744,1,0.0
zoom,Foraging,2016-06-10 17:52:15.238,0.3333333333333333,28.87,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-10 17:52:16.021,0.2857142857142857,0.783,0,1,2,1,0.643234,1,352.3260378683789
pan,Foraging,2016-06-10 17:52:18.029,0.375,2.008,0,1,2,1,0.643234,1,353.1064690771605
zoom,Navigation,2016-06-10 17:52:18.735,0.4,0.706,0,1,2,2,0.66253525,1,0.0
zoom,Navigation,2016-06-10 17:52:18.911,0.5,0.176,0,1,2,3,0.47314325,1,0.0
zoom,Navigation,2016-06-10 17:52:19.088,0.5714285714285714,0.177,0,1,2,4,0.645461125,1,0.0
zoom,Navigation,2016-06-10 17:52:19.247,0.625,0.159,0,1,2,5,0.584113375,1,0.0
zoom,Navigation,2016-06-10 17:52:19.439,0.6666666666666666,0.192,0,1,2,6,0.5151495,1,0.0
pan,Sensemaking,2016-06-10 17:52:20.202,0.4,0.763,0,1,2,6,0.6747255000000001,1,334.70940957563505
pan,Sensemaking,2016-06-10 17:52:21.082,0.5,0.88,0,1,2,6,0.6740675,1,335.5347242035827
pan,Sensemaking,2016-06-10 17:52:23.310,0.5714285714285714,2.228,0,1,2,6,0.6740675,1,343.7132209161836
zoom,Navigation,2016-06-10 17:52:24.679,0.7,1.369,0,1,2,5,0.6424013749999999,1,0.0
pan,Navigation,2016-06-10 17:52:27.713,0.18181818181818182,3.034,0,1,2,5,0.48699349999999997,1,11.432863591232056
zoom,Navigation,2016-06-10 17:52:28.279,0.6666666666666666,0.566,0,1,2,4,0.645461125,1,0.0
pan,Foraging,2016-06-10 17:52:32.369,0.4444444444444444,4.09,0,1,2,4,0.627681,1,359.9363842250565
zoom,Navigation,2016-06-10 17:52:33.023,0.6923076923076923,0.654,0,1,2,5,0.6424013749999999,1,0.0
zoom,Navigation,2016-06-10 17:52:33.841,0.7142857142857143,0.818,0,1,2,6,0.61132525,1,0.0
pan,Sensemaking,2016-06-10 17:52:35.828,0.625,1.987,0,1,2,6,0.6740675,1,336.2726803249331
zoom,Sensemaking,2016-06-10 17:52:40.543,0.2222222222222222,4.715,0,1,2,5,0.6424013749999999,2,0.0
pan,Sensemaking,2016-06-10 17:52:42.066,0.6,1.523,0,1,2,5,0.555140625,2,33.841744576650726
pan,Sensemaking,2016-06-10 17:52:46.195,0.6363636363636364,4.129,0,1,2,5,0.5607885,2,336.25227955454454
pan,Sensemaking,2016-06-10 17:53:00.897,0.6666666666666666,14.702,10,1,2,5,0.628068875,2,359.5448660247982
zoom,Navigation,2016-06-10 17:53:36.237,0.7333333333333333,35.34,0,2,2,4,0.645461125,2,0.0
zoom,Navigation,2016-06-10 17:53:36.656,0.75,0.419,0,2,2,3,0.47314325,2,0.0
zoom,Navigation,2016-06-10 17:53:37.143,0.7647058823529411,0.487,0,2,2,2,0.66253525,2,0.0
pan,Foraging,2016-06-10 17:53:38.317,0.5,1.174,0,2,2,2,0.643423625,2,359.1455168522789
pan,Foraging,2016-06-10 17:53:38.982,0.5454545454545454,0.665,0,2,2,2,0.63406,2,335.3702539412265
pan,Foraging,2016-06-10 17:53:40.995,0.5833333333333334,2.013,0,2,2,2,0.63406,2,350.14893852023704
zoom,Navigation,2016-06-10 17:53:41.735,0.7777777777777778,0.74,0,2,2,3,0.634453125,2,0.0
zoom,Navigation,2016-06-10 17:53:42.247,0.7894736842105263,0.512,0,2,2,4,0.619396625,2,0.0
pan,Navigation,2016-06-10 17:53:43.274,0.15,1.027,0,2,2,4,0.583079,2,5.133051843318591
zoom,Navigation,2016-06-10 17:53:43.871,0.7619047619047619,0.597,0,2,2,5,0.460868875,2,0.0
zoom,Navigation,2016-06-10 17:53:44.119,0.7727272727272727,0.248,0,2,2,6,0.6332275,2,0.0
pan,Sensemaking,2016-06-10 17:53:45.875,0.6923076923076923,1.756,0,2,2,6,0.633984375,2,346.0230495301139
zoom,Navigation,2016-06-10 17:53:46.479,0.782608695652174,0.604,0,2,2,5,0.460868875,2,0.0
zoom,Navigation,2016-06-10 17:53:48.720,0.7916666666666666,2.241,0,2,2,4,0.619396625,2,0.0
zoom,Navigation,2016-06-10 17:53:48.887,0.8,0.167,0,2,2,3,0.634453125,2,0.0
zoom,Navigation,2016-06-10 17:53:49.073,0.8076923076923077,0.186,0,2,2,2,0.639999875,2,0.0
zoom,Navigation,2016-06-10 17:53:49.247,0.8148148148148148,0.174,0,2,2,1,0.651583625,2,0.0
pan,Foraging,2016-06-10 17:53:53.590,0.6153846153846154,4.343,0,2,2,1,0.643234,2,353.6531936213419
pan,Foraging,2016-06-10 17:53:54.632,0.6428571428571429,1.042,0,2,2,1,0.643234,2,355.5418156477849
zoom,Navigation,2016-06-10 17:53:55.143,0.8214285714285714,0.511,0,2,2,2,0.578702375,2,0.0
zoom,Navigation,2016-06-10 17:53:55.487,0.8275862068965517,0.344,0,2,2,3,0.57393425,2,0.0
pan,Navigation,2016-06-10 17:53:56.202,0.13333333333333333,0.715,0,2,2,3,0.634953125,2,351.22545659001884
zoom,Navigation,2016-06-10 17:53:56.799,0.8064516129032258,0.597,0,2,2,4,0.634366625,2,0.0
zoom,Navigation,2016-06-10 17:53:57.087,0.8125,0.288,0,2,2,5,0.634577625,2,0.0
pan,Sensemaking,2016-06-10 17:53:58.586,0.7142857142857143,1.499,0,2,2,5,0.6431485,2,347.33521724132214
zoom,Navigation,2016-06-10 17:53:59.671,0.8181818181818182,1.085,0,2,2,4,0.634366625,2,0.0
zoom,Navigation,2016-06-10 17:53:59.864,0.8235294117647058,0.193,0,2,2,3,0.635006125,2,0.0
