Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-10 21:01:51.393,0.4,0.0,0,1,1,0,0.676744,1,0.0
pan,Foraging,2016-06-10 21:02:13.932,0.3333333333333333,22.539,0,1,1,0,0.676744,1,350.24704208115577
zoom,Foraging,2016-06-10 21:02:16.368,0.2857142857142857,2.436,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-10 21:02:20.010,0.375,3.642,0,1,1,1,0.643234,1,6.3726501377526725
pan,Foraging,2016-06-10 21:02:31.995,0.4444444444444444,11.985,0,1,1,1,0.643234,1,350.9445391929602
pan,Answering,2016-06-10 21:02:32.338,0.4,0.343,0,1,1,1,0.643234,1,0.0
pan,Foraging,2016-06-10 21:02:35.139,0.5,2.801,0,1,1,1,0.643234,1,359.4860695552312
pan,Foraging,2016-06-10 21:02:37.154,0.5454545454545454,2.015,0,1,1,1,0.643234,1,8.550676483102384
zoom,Navigation,2016-06-10 21:02:38.231,0.4,1.077,0,1,1,2,0.66253525,1,0.0
pan,Navigation,2016-06-10 21:02:39.346,0.3333333333333333,1.115,0,1,1,2,0.6578195,1,359.1799122199589
zoom,Navigation,2016-06-10 21:02:39.991,0.42857142857142855,0.645,0,1,1,3,0.47314325,1,0.0
pan,Navigation,2016-06-10 21:02:41.594,0.375,1.603,0,1,1,3,0.6438475,1,2.4748980209171463
zoom,Navigation,2016-06-10 21:02:42.615,0.4444444444444444,1.021,0,1,1,4,0.645461125,1,0.0
zoom,Navigation,2016-06-10 21:02:43.359,0.5,0.744,0,1,1,5,0.6424013749999999,1,0.0
pan,Sensemaking,2016-06-10 21:02:48.486,0.4,5.127,0,1,1,5,0.6193495,1,357.79368526563724
pan,Sensemaking,2016-06-10 21:02:52.770,0.5,4.284,10,1,1,5,0.555140625,1,12.55249586110251
zoom,Navigation,2016-06-10 21:03:01.831,0.5454545454545454,9.061,10,2,1,4,0.645461125,1,0.0
zoom,Navigation,2016-06-10 21:03:02.304,0.5833333333333334,0.473,10,2,1,3,0.47314325,1,0.0
zoom,Navigation,2016-06-10 21:03:02.919,0.6153846153846154,0.615,10,2,1,2,0.66253525,1,0.0
zoom,Navigation,2016-06-10 21:03:03.855,0.6428571428571429,0.936,10,2,1,1,0.6766325,1,0.0
pan,Foraging,2016-06-10 21:03:06.490,0.5833333333333334,2.635,10,2,1,1,0.6178287499999999,1,353.0392850166183
pan,Foraging,2016-06-10 21:03:09.018,0.6153846153846154,2.528,10,2,1,1,0.643234,1,359.26885082512626
pan,Foraging,2016-06-10 21:03:10.164,0.6428571428571429,1.146,10,2,1,1,0.643234,1,351.1354024459848
pan,Foraging,2016-06-10 21:03:11.587,0.6666666666666666,1.423,0,2,1,1,0.643234,1,16.078120895519323
zoom,Navigation,2016-06-10 21:03:13.399,0.6666666666666666,1.812,0,2,1,2,0.651013625,1,0.0
pan,Navigation,2016-06-10 21:03:16.460,0.25,3.061,0,2,1,2,0.6078665,1,353.59461514039225
zoom,Navigation,2016-06-10 21:03:17.439,0.6470588235294118,0.979,0,2,1,3,0.636739375,1,0.0
pan,Navigation,2016-06-10 21:03:18.570,0.2777777777777778,1.131,0,2,1,3,0.6463865,1,356.5327252057421
zoom,Navigation,2016-06-10 21:03:19.231,0.631578947368421,0.661,0,2,1,4,0.6345691250000001,1,0.0
pan,Navigation,2016-06-10 21:03:20.642,0.3,1.411,0,2,1,4,0.6316255,1,354.51733939999946
zoom,Navigation,2016-06-10 21:03:22.641,0.6190476190476191,1.999,0,2,1,5,0.606931,1,0.0
zoom,Navigation,2016-06-10 21:03:23.783,0.6363636363636364,1.142,0,2,1,6,0.6366316249999999,1,0.0
pan,Sensemaking,2016-06-10 21:03:25.274,0.5714285714285714,1.491,0,2,1,6,0.640712,1,5.69108527196449
zoom,Navigation,2016-06-10 21:03:25.943,0.6521739130434783,0.669,0,2,1,5,0.606931,1,0.0
pan,Navigation,2016-06-10 21:03:28.980,0.2916666666666667,3.037,0,2,1,5,0.641238625,1,10.964587441011295
pan,Navigation,2016-06-10 21:03:32.978,0.32,3.998,10,2,1,5,0.6406364999999999,1,358.9490436455258
zoom,Navigation,2016-06-10 21:03:42.714,0.6153846153846154,9.736,10,3,1,4,0.630823,1,0.0
zoom,Navigation,2016-06-10 21:03:44.056,0.6296296296296297,1.342,10,3,1,3,0.636739375,1,0.0
