UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
0,start,Foraging,2016-06-14 20:08:20.801,0.6666666666666666,0.4,0.0,0,1,1,0,0.676744,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,change
1,zoom,Navigation,2016-06-14 20:08:37.841,0.6666666666666666,0.4,17.04,0,1,1,1,0.626178375,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
2,zoom,Navigation,2016-06-14 20:08:38.252,0.5,0.5,0.411,0,1,1,2,0.5911005,1,1,31.098675,-92.82305,"['None', 'South', 'None', 'None', 'None', 'UpperMidwest', 'South', 'Northeast']","[[19.3337, -107.299], [30.4742, -97.2569], [23.9454, -86.0958], [30.4921, -77.7951], [30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601]]",None,None,0.0,same
3,pan,Foraging,2016-06-14 20:08:39.159,0.75,0.3333333333333333,0.907,0,1,1,2,0.5292859999999999,1,1,36.12645,-81.22900000000001,"['South', 'Northeast', 'South', 'Northeast', 'South', 'Northeast', 'South', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [30.5342, -90.8979], [41.7187, -71.5601], [30.5342, -90.8979], [41.7187, -71.5601], [30.5342, -90.8979], [41.7187, -71.5601]]",Louisiana,South,348.3915641914253,change
4,zoom,Navigation,2016-06-14 20:08:39.867,0.6,0.5714285714285714,0.708,0,1,1,1,0.626178375,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
5,zoom,Navigation,2016-06-14 20:08:40.547,0.5,0.625,0.68,0,1,1,0,0.676744,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,same
6,zoom,Navigation,2016-06-14 20:08:42.059,0.5714285714285714,0.6666666666666666,1.512,0,1,1,1,0.626178375,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,same
7,pan,Navigation,2016-06-14 20:08:43.566,0.625,0.2,1.507,0,1,1,1,0.643234,1,1,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,331.8538706555722,same
8,pan,Navigation,2016-06-14 20:08:45.107,0.6666666666666666,0.2727272727272727,1.541,0,1,1,1,0.643234,1,1,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,2.6391646424559396,same
9,zoom,Navigation,2016-06-14 20:08:45.635,0.7,0.5833333333333334,0.528,0,1,1,2,0.618309125,1,1,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,same
